Gallurese	Gallurese	probability
ˈɔ_l	ˈɔ_r	1.0
ˈe_u	ˈi_o	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧː	ʧː	1.0
ʦː	ʦː	1.0
ʤ	ʤ	1.0
ʣ	ʣː	1.0
ʒ	-	1.0
ʃː	ʃː	1.0
ɡ	ɡ	1.0
ɟː	ʤː	1.0
ŋ	ŋ	1.0
z	z	1.0
w	-	1.0
v	v	1.0
u_l	o_l	1.0
t	t	1.0
s	s	1.0
r_ˈa	r	1.0
r_u	r_o	1.0
r_a	r_a	1.0
pː	p	1.0
p	p	1.0
o	o	1.0
n_a	n_a	1.0
n	n	1.0
mː	m	1.0
m_u	m_e	1.0
l_u	l_o	1.0
l_t	r_t	1.0
l_i	l_e	1.0
kː	kː	1.0
j_#>	j_#>	1.0
j	j	1.0
fː	fː	1.0
f	f	1.0
e	e	1.0
d_u	d_o	1.0
cː	kː_j	1.0
c	k_j	1.0
bː	-	1.0
a_r	e_r	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_u	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
d	d	0.958
ˈa	ˈa	0.955
tː	tː	0.933
m	m	0.929
k	k	0.926
a	a	0.918
r	r	0.917
u	o	0.887
ˈo	ˈo	0.882
ʧ	ʧ	0.87
l	l	0.833
ˈɛ	ˈɛ	0.824
#>	r_e_#>	0.824
ˈɔ	ˈɔ	0.816
ɟ	ʤ	0.8
ɲː	ɲː	0.75
n_i	n_e	0.75
ɖː	lː	0.714
b	b	0.682
sː	sː	0.667
ˈu	ˈu	0.656
ˈe	ˈe	0.64
ˈi	ˈi	0.614
rː	r_n	0.6
nː	n	0.6
i	e	0.578
ʦ	ʦ	0.5
ʦ	-	0.5
rː	rː	0.4
nː	nː	0.4
ˈu	ˈo	0.344
sː	r_s	0.333
i	i	0.281
ˈi	ˈe	0.25
ɲː	n_ʤ	0.25
n_i	n	0.25
ˈe	ˈɛ	0.24
ɟ	ɡ	0.2
ɖː	ʎː	0.19
b	b_w	0.182
ˈɛ	ˈe	0.176
l	r	0.167
ˈi	e	0.136
b	v	0.136
ʧ	-	0.13
ˈe	j_ˈɛ	0.12
ˈo	ˈu	0.118
ˈɔ	ˈo	0.105
ɖː	-	0.095
#>	o_#>	0.088
#>	e_#>	0.088
r	-	0.083
ˈɔ	ˈɔ_v	0.079
k	ɡ	0.074
m	mː	0.071
tː	dː	0.067
i	ˈi	0.062
u	e	0.061
a	e	0.055
