Middle High German	Elfdalian	probability
ˈɑ_r	ˈɑ_r	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ_l	ˈɔː	1.0
ˈøː_r	a	1.0
ˈyə̯	ˈyːœ̯	1.0
ˈy_b	ʏ	1.0
ˈuə̯	ˈʉːə̯	1.0
ˈi_r	ˈɪ̃ː	1.0
ˈeː	j	1.0
ˈe	ˈɛ	1.0
ʃː	s_k	1.0
ʃ_l	l̥	1.0
ɡ̊	ɣ	1.0
ɡ_r	ɡ_r	1.0
ɛ	ˈɛ_tː	1.0
ə_r	r	1.0
ə_n	ɑ	1.0
ɑː	ˈɔː	1.0
ɑ	ɔ	1.0
x_t	tː	1.0
w_ˈei̯	w	1.0
v	f	1.0
tː	ð	1.0
s̻ː	t	1.0
s̻	t	1.0
s	s	1.0
rː	ˈʉə̯_rː	1.0
r_n	nː	1.0
p͡f	-	1.0
p	p	1.0
oː	ɑ	1.0
nː	nː	1.0
n_s	sː	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
kʰ	kʰ	1.0
k	-	1.0
i	ɪ_n	1.0
fː	p	1.0
b̥	v	1.0
r	r	0.941
ʦ	tʰ	0.848
ŋ	ŋ	0.8
ˈei̯	ˈiːe̯	0.758
w	w	0.757
ˈiə̯	j_ˈʉːə̯	0.729
n	n	0.723
b	b	0.712
ˈou̯	ˈœː	0.696
l	ɽ	0.69
ˈuː	ˈɑːu̯	0.674
ˈi	ˈɪ	0.662
f	p	0.619
ʃ	s	0.613
ˈiː	ˈɑːi̯	0.611
ˈoː	ˈœː	0.6
h	-	0.586
d	tʰ	0.586
ˈɑː	-	0.583
d̥	ð	0.582
x	k	0.573
ˈyː	ˈʏː	0.569
t	ð	0.531
ˈu	ˈʉ	0.483
kː	ɡː	0.455
ˈyː	-	0.431
d̥	d	0.418
ˈɑː	ˈɔː	0.417
h	ˈoː	0.414
xː	k	0.405
ˈoː	ˈoː	0.4
ɡ	ɡ	0.4
kː	-	0.393
ʃ	s_ʨ	0.387
f	v	0.381
ə	ɛ	0.354
t	t	0.352
ˈɛ	-	0.345
ˈo	ˈʉə̯	0.328
ˈy	-	0.325
ˈɑ	ˈɑ	0.316
ˈo	-	0.312
ˈu	-	0.306
ˈou̯	-	0.304
xː	ʨ	0.297
xː	-	0.297
ɡ	ɣ	0.292
ˈɛ	ˈæ	0.28
ˈy	ˈʉ	0.277
d	-	0.269
ˈɑ	ˈɑː	0.266
ˈiː	ˈɪː	0.256
ˈo	ˈʉ	0.255
ˈei̯	ˈɛ	0.242
ˈi	ˈɪː	0.239
x	ɣ	0.221
ˈy	ˈɛ	0.217
ˈu	ˈʉə̯	0.211
x	-	0.206
b	v	0.206
ŋ	-	0.2
ˈɛ	j	0.19
ˈy	ˈʏ	0.181
ˈuː	ˈʉː	0.178
w	-	0.176
ə	ɔ	0.17
ɡ	ʥ	0.166
ə	ɑ	0.158
ˈɑ	-	0.155
ʦ	t	0.152
kː	ʥː	0.152
ə	-	0.149
ˈuː	-	0.148
d	d	0.145
ɡ	-	0.142
ˈiə̯	ˈʉːə̯	0.137
ˈiə̯	-	0.134
ˈiː	-	0.133
ˈɛ	ˈɛ	0.126
l	l	0.125
t	d	0.116
n	nː	0.116
ˈɑ	ˈɔ	0.113
ə	ʉ	0.108
ˈo	ˈʉː	0.105
l	-	0.101
ˈɑ	ˈɔ̃ː	0.096
n	-	0.086
l	lː	0.084
b	-	0.082
ˈi	j	0.078
n	ɑ	0.075
w	ˈʉ	0.067
ˈɛ	ˈɛː	0.06
r	-	0.059
ə	kː	0.058
ˈɑ	ˈo	0.055
