Valencian	Friulian	probability
mː	e	1.0
ɫː	j	1.0
ʃ	s	1.0
b	b	0.931
e	a	0.061
e	e	0.121
i	j	0.121
l	-	0.091
t	-	0.071
w	f	0.111
w	w	0.21
ɜ	e	0.711
ɞ	e	0.721
ˈe	ˈe	0.171
ˈe	ˈi	0.221
ˈu	ˈu	0.501
ˈæ	-	0.081
j	j	0.072
j	ˈe	0.112
m	n	0.092
p	p	0.952
r	r	0.972
s	ʧ	0.22
s	s	0.732
u	ˈɛ	0.072
v	v	0.922
w	i	0.052
w	ˈoː	0.12
z	w	0.132
z	z	0.162
ð	d	0.942
ŋ	-	0.092
ŋ	ŋ	0.812
ʧ	s	0.392
ˈa	ˈa	0.62
ˈo	ˈu	0.082
ˈu	ˈo	0.102
ˈæ	ˈeː	0.152
ˈæ	ˈe	0.342
ˈɒ	ˈo	0.092
β	v	0.52
a	a	0.643
d	-	0.13
f	f	0.983
k	c	0.443
ɣ	-	0.333
ɾ	r	0.823
ˈi	ˈiː	0.153
ˈi	ˈi	0.593
ˈo	ˈoː	0.233
ˈæ	ˈɛ	0.13
ˈɒ	w	0.513
d	d	0.814
e	-	0.314
i	i	0.664
n	n	0.934
t	t	0.834
ɐ	e	0.954
ʎ	j	0.154
ʤ	ɟ	0.064
ʤ	-	0.464
β	w	0.094
d	s	0.055
w	v	0.105
ʎ	-	0.065
ˈi	ˈɛ	0.085
ˈu	ˈuː	0.275
ˈɒ	ˈuː	0.115
β	f	0.065
a	j	0.056
n	ɲ	0.066
t	ʧ	0.066
w	-	0.276
z	d	0.226
ɡ	ɡ	0.856
ɣ	v	0.126
ʤ	ʧ	0.06
ˈo	-	0.056
ˈo	ˈɔ	0.056
ŋ	n	0.097
ɣ	ɡ	0.507
ʤ	ʤ	0.377
ˈa	ˈaː	0.367
ˈe	-	0.097
ˈæ	i	0.057
ˈæ	ˈiː	0.067
ˈɒ	ˈɔ	0.197
a	-	0.108
e	u	0.078
i	a	0.198
j	-	0.708
k	k	0.418
m	-	0.118
u	u	0.248
z	-	0.48
ð	t	0.058
ɡ	ɟ	0.078
ɲ	ɲ	0.448
ʎ	l	0.778
ʧ	ʧ	0.608
ˈe	ˈa	0.068
ˈe	ˈɛ	0.158
ˈe	j_ˈɛ	0.198
ˈo	ˈo	0.508
ˈæ	j	0.08
β	-	0.248
a	e	0.099
b	-	0.069
e	i	0.39
j	ʧ	0.109
l	l	0.909
m	m	0.79
u	-	0.179
u	o	0.439
ɜ	i	0.199
ɞ	i	0.279
ɲ	n	0.499
ɾ	-	0.149
