Aragonese	Galician	probability
b	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
r	r	1.0
s	s	1.0
u	o	1.0
ŋ	ŋ	1.0
ɣ	ɣ	1.0
ʝ	-	1.0
ʧ	ʃ	1.0
θ	θ	1.0
a	ɐ	0.721
e	i	0.061
e	e	0.511
n	-	0.101
n	n	0.581
o	ʊ	0.841
ɲ	ɲ	0.621
e	ɪ	0.382
j	j	0.592
o	o	0.12
w	ˈɔ	0.112
ˈu	ˈo	0.262
i	e	0.273
p	β	0.123
ɾ	ɾ	0.983
ʎ	ʎ	0.583
β	-	0.053
l	-	0.264
ɡ	ɡ	0.964
ʃ	j_ʃ	0.384
l	l	0.705
n	ŋ	0.135
ð	-	0.055
ð	ð	0.945
ˈe	ˈe	0.885
k	k	0.956
t	t	0.96
w	-	0.176
ʃ	θ	0.616
ˈa	ˈa	0.776
ˈo	ˈɔ	0.236
i	i	0.727
p	p	0.877
ʎ	l	0.417
ˈo	ˈo_w	0.157
ˈo	ˈo	0.607
β	β	0.947
a	a	0.238
j	-	0.408
w	w	0.658
ˈa	ˈɑ	0.178
ˈi	ˈi	0.978
ˈu	ˈu	0.738
n	ɲ	0.139
ɲ	n	0.379
ˈe	ˈi	0.059
