Catalan	Catalan	probability
β_ə	ẽ	1.0
ˈɛ_w	ˈeː	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_l	ˈeː_l	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔ_n	ˈũ	1.0
ˈo_#>	ˈuː_r_#>	1.0
ˈi_t	ˈɛ_ʧ	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_n	ˈẽ_t	1.0
ˈe_j	ˈɛ	1.0
ˈa_ɾ	ˈɑː_d	1.0
ˈa_t	ˈɑː_t	1.0
ˈa_l	ˈɔ_l	1.0
ˈa_#>	ˈã_#>	1.0
ʧ	s	1.0
ʤ	d	1.0
ʎ_ˈa	l_ˈɑː	1.0
ʃ	s	1.0
ɾ_ˈɛ	r	1.0
ɾ_ˈe	ˈɛ	1.0
ɾ_ə	e_r	1.0
ɲ_ə	ɲ	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
z	-	1.0
t_ə	t_a	1.0
s_#>	#>	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r	r	1.0
p	p	1.0
n_#>	t_#>	1.0
mː	m	1.0
l_s	l_s	1.0
l_#>	#>	1.0
k_ˈɔ	k_ˈu	1.0
k_l	ʧ	1.0
k	k	1.0
f	f	1.0
d	d	1.0
a	a	1.0
<#_ˈe	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
m	m	0.906
t	t	0.886
ɾ	r	0.88
n	n	0.867
ʎ	l	0.762
β	v	0.75
<#_ə	<#	0.75
s	s	0.736
ɲ	ɲ	0.7
l	l	0.692
ə	a	0.68
ð	d	0.667
j	-	0.667
ŋ	k	0.571
w_#>	s_#>	0.556
u	u	0.524
ˈu	ˈyː	0.5
ˈa	ˈa	0.5
ʒ	ʒ	0.5
i	ĩ	0.5
i	i	0.5
b	v	0.5
ˈe	ˈɛ	0.48
w	f	0.467
w_#>	#>	0.444
ˈɛ	ˈɛ	0.44
b	b	0.438
ŋ	-	0.429
ˈu	-	0.409
ˈa	ˈɑː	0.36
ˈi	ˈiː	0.348
ð	t	0.333
w	w	0.333
j	j	0.333
#>	ˈi_#>	0.333
l	j	0.308
ˈi	ˈĩ	0.304
ɲ	n	0.3
u	-	0.286
ˈɔ	ˈɔ	0.273
ˈɔ	ˈøː	0.273
ˈo	ˈu	0.273
β	b	0.25
ʒ	ʤ	0.25
ʒ	-	0.25
<#_ə	<#_a	0.25
#>	s_#>	0.25
#>	a_#>	0.25
ˈɛ	ˈeː	0.24
ˈo	ˈũ	0.227
ˈo	ˈuː	0.227
w	-	0.2
u	y	0.19
s	ʧ	0.189
#>	ʧ_#>	0.167
ˈɛ	ˈe	0.16
ˈɛ	-	0.16
ˈe	ˈeː	0.16
ˈa	ˈã	0.14
ˈo	ˈyː	0.136
ˈo	-	0.136
n	-	0.133
ˈi	ˈi	0.13
ˈi	-	0.13
ə	e	0.13
ˈɔ	ˈoː	0.121
ˈe	ˈe	0.12
ɾ	-	0.12
ə	-	0.12
ʎ	j	0.095
m	-	0.094
ˈɔ	ˈuː	0.091
ˈɔ	ˈu	0.091
ˈu	ˈœ	0.091
ˈi	j_ˈøː	0.087
t	-	0.086
ˈe	ˈẽ	0.08
ˈe	ˈa	0.08
ˈe	-	0.08
ʎ	ʧ	0.071
ʎ	-	0.071
b	z_ɡ	0.062
ˈɔ	ˈũ	0.061
ˈɔ	-	0.061
