Proto-Germanic	West Frisian	probability
b	b	0.983
d	d	0.639
d	-	0.361
e	ə	0.504
e	-	0.261
e	ˈuə̯	0.176
e	j	0.059
i	-	0.813
i	ə	0.136
iː	-	1.0
j	-	0.69
j	j	0.262
jː	j	1.0
k	k	0.936
kʷ	k	1.0
kː	k	1.0
l	l	0.952
lː	l	1.0
m	m	0.963
mː	m	1.0
n	n	0.563
n	-	0.419
nː	n	1.0
p	p	1.0
pː	p	1.0
r	r	0.856
r	-	0.136
s	s	0.847
s	-	0.084
sː	s	1.0
t	t	0.94
tː	t	1.0
u	-	0.64
u	ə	0.261
u	ɪ	0.072
w	v	0.444
w	ʋ	0.29
w	-	0.184
w	ˈɔ	0.053
wː	ˈɔu̯	0.576
wː	ˈuː	0.424
x	h	0.546
x	-	0.255
x	χ	0.191
xʷ	-	0.441
xʷ	f	0.282
xʷ	v	0.234
z	-	0.925
z	r	0.066
ð	t	0.45
ð	-	0.28
ð	d	0.27
ŋ	-	0.534
ŋ	ɪ	0.167
ŋ	ŋ	0.131
ŋ	ˈɔ	0.131
ɑ	ə	0.546
ɑ	-	0.446
ɑi̯	ˈɛi̯	1.0
ɑː	j	1.0
ɑ̃	-	0.939
ɑ̃	ə	0.061
ɔː	ə	0.831
ɔː	-	0.135
ɔːu̯	-	1.0
ɔːː	ə	0.84
ɔːː	r	0.16
ɔ̃ː	ə	0.921
ɔ̃ː	n	0.079
ɛː	ə	0.54
ɛː	-	0.46
ɡ	ŋ	0.968
ɡʷ	ŋ	1.0
ɣ	ɡ	0.333
ɣ	-	0.282
ɣ	χ	0.166
ɣ	ɣ	0.132
ɣ	z	0.088
ɸ	f	0.905
ɸ	-	0.083
ˈe	ˈɛ	0.194
ˈe	ˈiə̯	0.112
ˈe	ˈɔ	0.107
ˈe	ˈɛi̯	0.091
ˈe	ˈɪə̯	0.087
ˈe	ˈø	0.079
ˈe	j_ˈɔ	0.061
ˈe	-	0.055
ˈe	ˈaː	0.053
ˈeu̯	ˈiə̯	0.34
ˈeu̯	j	0.321
ˈeu̯	ˈiː	0.157
ˈeu̯	ˈɪə̯	0.092
ˈeu̯	ˈoə̯	0.09
ˈeː	ˈɪ	1.0
ˈi	ˈɪ	0.433
ˈi	ˈiː	0.17
ˈi	-	0.146
ˈi	ˈi	0.119
ˈi	ˈɛ	0.094
ˈiu̯	ˈuə̯	0.51
ˈiu̯	ˈɛ	0.272
ˈiu̯	ˈyː	0.218
ˈiː	ˈi	0.417
ˈiː	ˈiː	0.389
ˈiː	ˈuː	0.097
ˈiː	ˈɛ	0.097
ˈĩː	ˈɪ	1.0
ˈu	ˈoə̯	0.235
ˈu	ˈɔ	0.204
ˈu	ˈɪ	0.15
ˈu	ˈu	0.112
ˈu	ˈuː	0.073
ˈu	-	0.064
ˈu	ˈy	0.053
ˈu	ˈyː	0.05
ˈuː	ˈuː	0.672
ˈuː	ˈoː	0.117
ˈuː	ˈɪ	0.106
ˈuː	ˈuə̯	0.072
ˈɑ	ˈa	0.314
ˈɑ	ˈaː	0.156
ˈɑ	ˈɪ	0.108
ˈɑ	ˈɔː	0.094
ˈɑ	ˈɛː	0.09
ˈɑ	ˈɪə̯	0.084
ˈɑ	ˈɛ	0.054
ˈɑi̯	ˈiə̯	0.441
ˈɑi̯	ˈɪ	0.107
ˈɑi̯	-	0.1
ˈɑi̯	ˈɪə̯	0.07
ˈɑi̯	ˈi	0.053
ˈɑi̯	ˈoə̯	0.053
ˈɑu̯	ˈɪə̯	0.658
ˈɑu̯	j	0.126
ˈɑu̯	ˈeː	0.081
ˈɑu̯	ˈuː	0.056
ˈɑː	ˈɪə̯	1.0
ˈɔ	ˈiə̯	1.0
ˈɔː	ˈuə̯	0.538
ˈɔː	ˈiə̯	0.271
ˈɔː	ˈoː	0.101
ˈɔː	ˈu̯o	0.05
ˈɛː	ˈiə̯	0.478
ˈɛː	ˈoə̯	0.334
ˈɛː	ˈø	0.077
ˈɛː	ˈɛi̯	0.057
ˈɛː	ˈaː	0.053
β	-	0.454
β	v	0.26
β	f	0.253
θ	t	0.354
θ	-	0.28
θ	d	0.265
θ	ʦ	0.1
