West Frisian	Nynorsk Norwegian	probability
b	b	0.951
b	-	0.051
d	d	0.608
d	-	0.252
d	tʰ	0.125
f	f	0.805
f	-	0.096
f	ʋ	0.089
h	h	1.0
j	-	0.533
j	ˈiː	0.097
j	j	0.092
j	ˈɛ	0.056
j	ˈʊ	0.049
k	k	0.417
k	kʰ	0.27
k	ʰkː	0.146
k	ç	0.085
k	ɡ	0.073
l	l	0.854
l	lː	0.072
l	-	0.044
l	nː	0.03
l_ə	l	1.0
m	m	0.945
m	mː	0.054
n	n	0.595
n	-	0.22
n	nː	0.181
p	p	0.856
p	pʰ	0.072
p	-	0.049
r	ɾ	0.892
r	-	0.037
r	ɾ_e	0.033
r	e_ɾ	0.025
r	nː	0.025
s	s	0.926
s	ʃ	0.051
s	sː	0.029
s_k	ʃ	1.0
t	t	0.436
t	tʰ	0.202
t	-	0.18
t	d	0.093
t	lː	0.034
t_ə	e	0.229
v	ʋ	0.7
v	-	0.256
v	ç	0.047
z	s	0.561
z	j	0.112
z	ɾ	0.112
ŋ	ŋː	0.611
ŋ	-	0.258
ŋ	ɲ	0.129
ɕ	s	0.574
ɕ	ʃ	0.275
ə	ɑ	0.42
ə	e	0.29
ə	-	0.265
ə_l	l	1.0
ɡ	ɡ	0.741
ɡ	j	0.247
ɣ	-	0.398
ɣ	ɡː	0.347
ɣ	ɡ	0.229
ɪ	ŋ	0.574
ɪ	e	0.275
ʋ	ʋ	0.558
ʋ	-	0.25
ʋ	v	0.084
ʋ	ˈɔ	0.079
ʦ	ç	0.733
ʦ	tʰ	0.265
ˈa	ˈɑ	0.429
ˈa	ˈɑː	0.272
ˈa	ˈɔ	0.14
ˈa	ˈɛ	0.092
ˈa	ˈɪ	0.056
ˈaː	ˈoː	0.255
ˈaː	ˈɑ	0.229
ˈaː	ˈɑː	0.174
ˈaː	ˈɛ	0.107
ˈaː	ˈuː	0.083
ˈeː	ˈeː	0.239
ˈeː	ˈʊ	0.239
ˈeː	ˈoː	0.151
ˈeː	ˈøː	0.151
ˈeː	ˈæʉ̯	0.095
ˈi	ˈiː	0.607
ˈi	ˈeː	0.186
ˈi	ˈæɪ̯	0.089
ˈi	ˈɪ	0.087
ˈiə̯	ˈoː	0.269
ˈiə̯	ˈæɪ̯	0.197
ˈiə̯	ˈyː	0.149
ˈiə̯	ˈøː	0.127
ˈiə̯	ˈæːɪ̯	0.077
ˈiː	ˈiː	0.525
ˈiː	ˈæɪ̯	0.139
ˈiː	ˈɑ	0.098
ˈiː	ˈɛ	0.098
ˈiː	ˈɪ	0.098
ˈoə̯	ˈɔ	0.304
ˈoə̯	ˈʊ_ɾ	0.265
ˈoə̯	ˈoː	0.129
ˈoə̯	ˈɑː	0.129
ˈoə̯	ˈuː	0.068
ˈoː	ˈʉː	0.683
ˈoː	ˈuː	0.216
ˈu	ˈʉ	0.683
ˈu	ˈʊ	0.216
ˈuə̯	ˈuː	0.715
ˈuə̯	ˈyː	0.179
ˈuə̯	ˈoː	0.062
ˈuə̯	lː	0.034
ˈuə̯_t	ˈuː	1.0
ˈuː	ˈʉː	0.308
ˈuː	ˈʉ	0.22
ˈuː	ˈʊ	0.163
ˈuː	-	0.108
ˈuː	ˈɔ	0.082
ˈyː	ˈʏ	0.488
ˈyː	ˈɔ	0.234
ˈyː	ˈʉː	0.071
ˈø	ˈoː	0.333
ˈø	ˈɛː	0.333
ˈø	ˈʏ	0.333
ˈøə̯	ˈɛ	0.229
ˈɔ	ˈʉ	0.192
ˈɔ	-	0.173
ˈɔ	ˈʊ	0.151
ˈɔ	ˈʏ	0.151
ˈɔ	ˈɔ	0.131
ˈɔu̯	ˈʉ	0.363
ˈɔu̯	ˈiː	0.174
ˈɔː	ˈɑ	0.792
ˈɔː	ˈʉː	0.154
ˈɛ	ˈeː	0.186
ˈɛ	ˈɑ	0.141
ˈɛ	-	0.123
ˈɛ	ˈʏ	0.123
ˈɛ	ˈɛ	0.115
ˈɛi̯	ˈɛ	0.295
ˈɛi̯	ˈæɪ̯	0.194
ˈɛi̯	ˈɑː	0.133
ˈɛi̯	ˈɑ	0.123
ˈɛi̯	ˈʉː	0.081
ˈɛː	ˈɑː	0.675
ˈɛː	ˈʏ	0.304
ˈɪ	ˈɪ	0.247
ˈɪ	ˈʏ	0.144
ˈɪ	ˈeː	0.139
ˈɪ	ˈɛ	0.109
ˈɪ	-	0.081
ˈɪə̯	ˈæʉ̯	0.331
ˈɪə̯	ˈœʏ̯	0.205
ˈɪə̯	ˈɑ	0.122
ˈɪə̯	ˈøː	0.106
ˈɪə̯	ʋ	0.062
ˈɵ	ˈøː	0.479
χ	ɡ	0.584
χ	-	0.118
χ	k	0.08
χ	ɡː	0.078
χ_t	ʰtː	1.0
