Franco-Provençal	Franco-Provençal	probability
ˈɛː_ð	ˈeː	1.0
ˈɛː_#>	ˈɛ_#>	1.0
ˈɛ_t	ˈɛ_k	1.0
ˈɛ_#>	ɐ_#>	1.0
ˈɔ̃	ˈõũ̯	1.0
ˈɑ̃	ˈʌ̃	1.0
ˈɑː	-	1.0
ˈy	ˈou̯_r	1.0
ˈe_ʃ_#>	z_#>	1.0
ˈe_#>	#>	1.0
ˈa_#>	ˈeə̯_#>	1.0
ʦ	θ	1.0
ʒ	-	1.0
ʎ_ˈa	ˈaː	1.0
ʃ_#>	#>	1.0
ʁ_s	r_θ	1.0
ʁ_o	ɐ_r	1.0
ʁ_a	r_ɐ	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛː	-	1.0
ɛ	ɐ	1.0
ə_#>	#>	1.0
ɔ̃	-	1.0
ɔ	u	1.0
ɑ̃	ɐ_n	1.0
ɑː	ɐ_s	1.0
z	z	1.0
y	u	1.0
w_ˈɛː	ˈou̯	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	ˈu_ɡ	1.0
v	v	1.0
p	p	1.0
o_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_w	k_v	1.0
ĩ	-	1.0
i	ɐ	1.0
f_#>	v_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_#>	#>	1.0
a	ɐ	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ð	1.0
<#_w	<#_ˈɔə̯	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
t	t	0.895
n	n	0.895
ə	ɐ	0.875
k	k	0.875
ʁ	r	0.75
ˈaː	ˈeə̯	0.7
s	s	0.697
ʃ	k	0.625
e	s	0.625
ˈĩ	-	0.6
l	l	0.579
ˈø	-	0.571
ʎ	ʧ	0.556
ð	r	0.556
o	u	0.556
j	-	0.529
ˈi	ˈi	0.524
ˈo	ˈo	0.5
u	ˈo	0.5
u	u	0.5
j_ˈe	ˈeː	0.5
j_ˈe	ˈeə̯	0.5
ʎ	j	0.444
ˈø	ˈɔə̯	0.429
ˈoː	ˈɔə̯	0.429
ˈĩ	ˈẽ_j̃	0.4
ˈe	-	0.4
e	-	0.375
ˈɛ	ˈɛ	0.357
ˈɛ	-	0.357
w	ˈo	0.357
ˈɔ	ˈɔə̯	0.333
ˈɔ	ˈou̯	0.333
ˈɔ	ˈo	0.333
ˈu	ˈɔ	0.333
ˈi	ˈɛ	0.333
ˈa	ˈʌ̃	0.316
l	j	0.316
s	θ	0.303
ˈaː	-	0.3
ˈɛː	ˈeː	0.294
ˈoː	-	0.286
w	ˈou̯	0.286
ˈe	ˈɛə̯	0.267
ˈa	ˈa	0.263
ˈɛ̃	n	0.25
ˈo	u_j	0.25
ˈo	-	0.25
ˈɛː	-	0.235
j	ˈi	0.235
j	j	0.235
ˈu	ˈɔə̯	0.222
ˈu	ˈu	0.222
ˈu	-	0.222
ð	ð	0.222
ð	-	0.222
o	ɐ	0.222
o	-	0.222
ˈɛ	ˈɛə̯	0.214
w	-	0.214
#>	ɐ_#>	0.2
ˈɛː	ˈɛ	0.176
ʁ	-	0.175
ˈɛ̃	ˈɛ_n	0.167
ˈɛ̃	ˈẽ_n	0.167
ˈɛ̃	ˈẽ	0.167
ˈɛ̃	ɲ	0.167
ˈa	ˈeə̯	0.158
ˈa	ɐ	0.158
#>	t_#>	0.156
ˈoː	ˈɔ_s	0.143
ˈoː	ˈeə̯_l	0.143
ˈi	-	0.143
w	ˈɔə̯	0.143
#>	r_#>	0.133
ʃ	z	0.125
ə	-	0.125
k	ʧ	0.125
ˈɛː	ˈɛə̯	0.118
ˈɛː	ˈeə̯	0.118
#>	l_#>	0.111
ˈa	ˈa_t	0.105
t	-	0.105
n	-	0.105
l	-	0.105
ˈe	ˈi	0.1
ˈe	ˈeə̯	0.1
#>	n_t_#>	0.089
#>	d_#>	0.089
ˈɛ̃	ˈɛ̃	0.083
ʃ	θ	0.083
ʃ	k_ɐ	0.083
ʃ	-	0.083
ʁ	r_t	0.075
ˈɛ	ˈe	0.071
ˈe	ˈɛə̯_s	0.067
ˈe	ˈeː	0.067
#>	s_#>	0.067
#>	p_#>	0.067
ˈɛː	e	0.059
