Franco-Provençal	Franco-Provençal	probability
ˈɛ̃_#>	ˈɛ_n_t_e_#>	1.0
ˈɔ	ˈɔ	1.0
ˈø	ˈɔ	1.0
ˈy	ˈo_p	1.0
ˈi_#>	e_#>	1.0
ˈe_ʃ	ʧ_e	1.0
ˈe_#>	u_#>	1.0
ˈaː_ð	ˈa_t	1.0
ˈaː	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	ʦː	1.0
ʒ	ɟ	1.0
ʃ_i	kː_a	1.0
ʁ_ə	e	1.0
ʁ_l	ʒ	1.0
ʁ_a	r_a	1.0
ɲ	ɲ	1.0
ɡ_ʎ	ɟ	1.0
ɡ	ɡ	1.0
ɛ̃	i_ɲ	1.0
ɔ̃	-	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
y	r_u	1.0
w_ˈɛː	ˈɔ	1.0
u	-	1.0
s_a	s_a	1.0
p	p	1.0
o_f	fː	1.0
n	n	1.0
l_#>	lː_u_#>	1.0
j_ˈɔ̃	n	1.0
j_ˈø	ˈe	1.0
ĩ	-	1.0
i	i	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ɟ	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.962
a	a	0.958
b	b	0.944
f	f	0.92
ˈa	ˈa	0.909
k	k	0.909
o	u	0.867
ʁ	r	0.827
v	v	0.806
ʃ	k	0.789
d	d	0.786
ˈo	ˈɔ	0.7
ˈɛː	ˈɛ	0.696
ˈĩ	ˈi_n	0.667
j_ˈe	ˈa	0.667
t	t	0.636
j	-	0.636
e	s	0.625
ˈɑː	ˈa	0.6
ˈi	ˈi	0.6
z	ʧ	0.6
ˈɑ̃	ˈa_n	0.583
#>	u_#>	0.568
ˈoː	ˈɔ	0.562
ˈu	ˈɔ	0.545
ʎ	ʎ	0.545
ə	a	0.528
ˈɛ	ˈɛ	0.5
ʃ_#>	j_#>	0.5
ʃ_#>	#>	0.5
ɛ	i	0.5
ɛ	e	0.5
ɔ	u	0.5
ɔ	-	0.5
l	l	0.48
s	s	0.457
ˈu	ˈu	0.455
ʎ	c	0.455
ˈɔ̃	ˈɔ_n	0.429
ð	r	0.412
ˈɑː	ˈa_l	0.4
z	-	0.4
e	-	0.375
w	ˈɔ	0.357
#>	e_#>	0.342
ˈɛ̃	ˈɛ_n	0.333
ˈĩ	n_e	0.333
j_ˈe	ˈe	0.333
ˈɛː	-	0.304
ˈo	ˈu	0.3
ˈɔ̃	ˈo_n	0.286
ˈɔ̃	n	0.286
l	j	0.28
ˈɛ	ˈe	0.278
ˈi	ˈe	0.267
ˈɛ̃	ˈɛ	0.25
ˈɛ̃	ɲ_u	0.25
ˈɑ̃	ˈa_ŋ	0.25
ˈoː	ˈa_l	0.25
l	lː	0.24
ð	-	0.235
ˈe	ˈɛ	0.226
ˈɛ	-	0.222
d	-	0.214
ˈe	ˈe	0.194
v	p	0.194
ˈoː	ˈo	0.188
t	tː	0.182
j	ˈo	0.182
j	j	0.182
w	ˈu	0.179
w	-	0.179
s	ʧ	0.171
ˈɛ̃	n	0.167
ˈɑ̃	ˈa	0.167
ə	-	0.167
ˈe	ˈi	0.161
ˈe	-	0.161
w	ˈo	0.143
s	-	0.143
ə	e	0.139
ˈi	-	0.133
o	ˈɔ	0.133
ˈe	ˈa	0.129
ð	ɟ	0.118
ð	t	0.118
ð	d	0.118
ə	i	0.111
ʃ	ʧ_e	0.105
ʃ	k_ˈa	0.105
ˈa	k	0.091
t	kː	0.091
t	-	0.091
k	c	0.091
f	v_e	0.08
ʁ	-	0.077
w	ˈo_k	0.071
w	w	0.071
ˈe	ˈe_s	0.065
ˈe	e	0.065
ʁ	r_t	0.058
s	ʧ_ˈɛ	0.057
s	ʦ	0.057
s	sː	0.057
s	s_ˈo	0.057
ə	r_e	0.056
b	bː	0.056
