Friulian	Catalan	probability
b	b	1.0
k	k	1.0
m	m	1.0
o	u	1.0
p	p	1.0
z	-	1.0
ŋ	ŋ	1.0
ʤ	ʒ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈɛ	1.0
ˈoː	ˈo	1.0
i	i	0.211
ɡ	ɡ	0.701
ɲ	ɲ	0.771
ʧ	s	0.691
ˈuː	ˈɔ	0.481
f	f	0.902
i	ɾ_ə	0.162
r	ɾ	0.592
s	-	0.082
t	t	0.92
ˈi	ˈe	0.32
ˈo	ˈɔ	0.272
a	-	0.263
n	n	0.873
u	ə	0.273
w	w	0.863
ɡ	k	0.063
ˈa	ˈa	0.983
ˈiː	ˈɛ	0.303
ˈu	ˈu	0.933
ˈɔ	ˈu	0.193
c	k	0.914
j	-	0.414
l	l	0.524
ˈe	ˈe	0.244
ˈo	ˈo	0.354
ˈɛ	ˈe	0.404
r	r	0.355
u	u	0.685
v	b	0.725
ɡ	ɣ	0.235
ˈo	ˈu	0.265
c	-	0.086
d	ð	0.316
d	d	0.546
l	ʎ	0.476
v	-	0.066
ˈe	ˈɛ	0.756
ˈɛ	ˈi	0.596
a	ə	0.737
d	-	0.137
i	ə	0.627
j	ʎ	0.467
n	-	0.127
w	-	0.137
ˈiː	ˈi	0.697
ˈu	ˈo	0.067
ˈɔ	ˈɔ	0.807
f	w	0.098
s	ʃ	0.118
s	s	0.8
t	j_t	0.08
ˈi	ˈi	0.68
e	ə	0.979
j	ʒ	0.119
v	β	0.209
ɲ	n	0.229
ʧ	-	0.309
ˈo	-	0.109
ˈuː	ˈu	0.519
