Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ	1.0
ˈɔə̯_r	ˈɔ_ɾ	1.0
ˈu_r	ˈu_ɾ	1.0
ˈe	ˈi	1.0
ˈa	ˈa	1.0
ʧ	k_ɾ	1.0
ŋ	m	1.0
w	t_ˈu	1.0
t_r	z	1.0
t_#>	t_u_#>	1.0
s_#>	s_u_#>	1.0
s	s	1.0
p_j	p_ɾ	1.0
o	u_z	1.0
n_ɐ	n_a	1.0
n_d	nː_u	1.0
m_b	m	1.0
m	m	1.0
k_ɐ	k_a	1.0
j̃	n_ɛ	1.0
j_ˈeə̯	j	1.0
f	f	1.0
e	e	1.0
d_ɐ	t_a	1.0
a	a	1.0
<#_ˈʌ̃	<#_ˈa	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_d	<#_d	1.0
<#	<#_i	1.0
t	t	0.933
p	p	0.929
k	k	0.897
ɡ	k	0.8
b	b	0.8
r	ɾ	0.739
ˈɔ	ˈɔ	0.7
ɐ	a	0.694
ˈo	ˈu	0.667
ˈẽ	ˈi	0.667
n	n	0.652
ˈʌ̃	ˈa	0.625
ˈɛə̯	ˈe	0.625
ˈu	ˈu	0.625
ɐ_n	a_n	0.6
l_ɐ	l_a	0.6
ˈi	ˈi	0.591
<#_r	<#_r	0.571
ɐ_r	ɛ_ɾ	0.556
v	b	0.556
ˈeə̯	ˈa	0.552
ˈɛ	ˈi	0.538
ˈou̯	ˈu	0.5
ʤ	ɡ	0.5
ʤ	-	0.5
ɲ	nː	0.5
ɲ	n_ʣ	0.5
l	l	0.5
i	i	0.5
θ	k	0.467
d	ð	0.467
#>	u_#>	0.466
ˈɔə̯	ˈo	0.462
z	k_ɛ	0.455
ɐ_r	ɾ	0.444
<#_r	<#_ɾ	0.429
ˈou̯	ˈɔ	0.4
ɐ_n	u	0.4
l_ɐ	a	0.4
ˈeə̯	ˈa_ɾ	0.379
ˈʌ̃	ˈa_n	0.375
ˈɛə̯	ˈɛ	0.375
ˈu	ˈo	0.375
ˈõũ̯	ˈɔ_n	0.375
ˈõũ̯	n	0.375
#>	ɛ_#>	0.373
z	z	0.364
ˈeː	ˈɛ	0.357
ˈeː	ˈi	0.357
ˈẽ	ˈɛ	0.333
ð	ʣ	0.333
ð	ɣ	0.333
ð	ɡ_e	0.333
ˈɔ	ˈu	0.3
v	β	0.278
l	ɖː	0.269
u	ˈɔ	0.267
u	ɔ	0.267
u	o	0.267
j	ɾ	0.267
j	j	0.267
d	t	0.267
ˈõũ̯	ˈo_n	0.25
i	ɔ̆	0.25
i	-	0.25
ɐ	ɛ	0.242
ˈo	ˈɔ	0.238
ˈɛ	ˈɛ	0.231
ˈɛ	ˈe	0.231
ˈɔə̯	ˈɔ	0.231
l	-	0.231
ɡ	-	0.2
u	-	0.2
j	ʣ_u	0.2
ˈi	ˈɛ	0.182
z	s_i	0.182
v	-	0.167
ˈɔə̯	ˈa	0.154
ˈɔə̯	-	0.154
r	r	0.152
ˈeː	z_ˈa	0.143
ˈeː	-	0.143
ˈi	ˈe	0.136
θ	ʦ	0.133
θ	t_u	0.133
θ	k_i	0.133
θ	k_e	0.133
j	ʣ	0.133
j	-	0.133
d	d	0.133
d	-	0.133
n	ŋ	0.13
n	nː	0.13
k	-	0.103
ˈou̯	ˈo	0.1
b	β	0.1
b	-	0.1
ˈo	ˈo	0.095
ˈi	ɛ	0.091
n	-	0.087
p	p_ɾ	0.071
ˈeə̯	ɾ	0.069
t	ʦ	0.067
r	ɔ̆	0.065
#>	ɾ_ɛ_#>	0.059
