Portuguese	Portuguese	probability
ˈũ	ˈu_n	1.0
ˈu	ˈu	1.0
ˈo_ɾ	ˈɔ_l	1.0
ˈo_ð	ˈu_tː	1.0
ˈi_u	ˈi_u	1.0
ˈe_w	ˈe_u	1.0
ˈa_ɫ	ˈa_l	1.0
ˈa	ˈa	1.0
ʃ_#>	#>	1.0
ɾ_ɨ	r_u	1.0
ɾ_ɐ	r_a	1.0
ɾ_u	u	1.0
ɾ_t	l_t	1.0
ɾ_n	rː	1.0
ɡ	ɡ	1.0
ɔ	-	1.0
ɐ_#>	#>	1.0
ð_ɨ	i	1.0
w_ɐ	a	1.0
v_ɨ	i	1.0
v_u	u	1.0
ũ	-	1.0
p_ˈe	p_ˈɛ	1.0
p	p	1.0
õ	u_n	1.0
o	-	1.0
k_ɾ	k_r	1.0
j̃_#>	#>	1.0
j_ɐ	n_a	1.0
j_t	tː	1.0
ĩ	-	1.0
i_ʃ	s	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_ɐ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
u	u	0.953
k	k	0.923
ˈi	ˈi	0.917
ɾ_#>	#>	0.917
ɐ	a	0.9
ð	t	0.812
m	m	0.793
t	t	0.778
l	ɖː	0.778
<#_ʁ	<#_r	0.778
ˈɔ	ˈɔ	0.773
ˈẽ	ˈɛ_n	0.75
ɐ̃	-	0.75
ʎ	cː	0.714
ɨ	i	0.692
ʒ	ɟ	0.667
z	-	0.667
n	-	0.667
i	i	0.667
v	v	0.654
#>	u_#>	0.632
ˈɐ̃	ˈa	0.625
ˈo	ˈɔ	0.621
ˈɐ_j	ˈɛ	0.6
ˈõ	ˈɔ_n	0.6
w	-	0.583
w̃	n_u	0.556
ɾ	r	0.525
ˈe	ˈi	0.522
ˈɐ	ˈa	0.5
ˈĩ	ˈi_ŋ	0.5
ˈĩ	ˈi_n	0.5
ʁ	r	0.5
ʁ	-	0.5
ɲ	ɲː	0.5
ɣ	ɡ	0.467
s	s	0.447
w̃	n_i	0.444
ɫ	l_i	0.429
β	p	0.4
ˈɐ_j	ˈe	0.4
ˈõ	ˈu_n	0.4
ɣ	k	0.4
ˈɛ	ˈɛ	0.381
ˈɛ	ˈe	0.381
ɲ	n	0.357
j	j	0.353
ʒ	-	0.333
z	z	0.333
n	n	0.333
i	-	0.333
ˈɐ	ˈɛ	0.286
ʎ	ɖː	0.286
ɫ	l	0.286
ɫ	i	0.286
ˈo	ˈu	0.276
ʃ	ʧ_i	0.269
ˈɐ̃	ˈa_n	0.25
ˈẽ	ˈɛ	0.25
ɐ̃	ɔ	0.25
w	l	0.25
s	ʧ	0.237
j	-	0.235
v	b	0.231
t	tː	0.222
<#_ʁ	<#	0.222
ˈe	ˈe	0.217
ˈɐ	ˈe	0.214
#>	i_#>	0.211
β	pː	0.2
β	p_a	0.2
β	-	0.2
ɾ	l	0.2
ʃ	s	0.192
ð	d	0.188
j	i	0.176
ˈe	ˈɛ	0.174
w	u_l	0.167
#>	a_#>	0.158
ʃ	j	0.154
ɨ	u	0.154
ˈɛ	-	0.143
ɲ	-	0.143
m	mː	0.138
ˈɔ	ˈo	0.136
ɣ	-	0.133
ˈɐ̃	ˈo	0.125
ɾ	r_i	0.125
j	ɟː	0.118
j	n	0.118
v	-	0.115
l	l	0.111
l	-	0.111
s	sː	0.105
ˈo	ˈo	0.103
ˈɛ	ˈi	0.095
ˈɔ	-	0.091
ˈe	i_d	0.087
ˈi	-	0.083
ɾ_#>	ˈa_#>	0.083
s	ʦ	0.079
s	-	0.079
ʃ	ʃː	0.077
ʃ	i	0.077
ʃ	f_j	0.077
ʃ	c	0.077
ʃ	-	0.077
ɨ	a	0.077
ɨ	-	0.077
k	-	0.077
ɾ	ˈe	0.075
ɾ	ˈa	0.075
ɐ	-	0.071
m	m_u	0.069
s	ʦː	0.053
