Swiss German	Swiss German	probability
χː_tː	d̥	1.0
χː_#>	#>	1.0
ˈøː	ˈøː	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈyə̯	-	1.0
ˈeː	ˈeˀ	1.0
ˈau̯	-	1.0
ʦ_#>	d̥_#>	1.0
ɣ̊	kʰ	1.0
ɡ̊_ə	ə	1.0
ɡ̊_r	ɡ̊_ʁ	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
ŋ_#>	nˀ_#>	1.0
æ	ə_n	1.0
z̥_ˈuː	s	1.0
z̥_#>	s_#>	1.0
v̥	f	1.0
r_ˈy	ʁ	1.0
r_#>	#>	1.0
p͡f	pʰ	1.0
m	m	1.0
l_d̥	lˀ	1.0
l_#>	l_#>	1.0
h	h	1.0
fː_#>	#>	1.0
b̥_ə	w	1.0
b̥	b̥	1.0
<#_ʋ_ˈu	<#	1.0
<#_ʋ	<#	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_j	1.0
<#_d̥	<#_ʦʰ	1.0
<#	<#_ˈɔ	1.0
z̥	s	0.941
ə	ə	0.911
n	n	0.87
sː	ð̞ˠ	0.85
ˈæi̯	ˈeˀ	0.8
ˈuə̯	ˈoˀ	0.8
ʦ	ʦʰ	0.8
ʋ	ʋ	0.8
fː	b̥	0.75
<#_ɡ̊	<#_ɡ̊	0.75
tː	d̥	0.718
ˈuː	ˈuˀ	0.7
ʒ̊	s	0.684
ˈoː	-	0.667
n_d̥	nˀ	0.667
i	-	0.667
b̥_#>	#>	0.667
tː_#>	ð̞ˠ_#>	0.643
kː	ɡ̊	0.636
d̥	-	0.615
l	l	0.6
ɡ̊_#>	#>	0.571
ɡ̊	w	0.556
ˈiː	ˈiˀ	0.545
ˈyː	-	0.538
ˈo	-	0.5
ˈiə̯	ˈyˀ	0.5
ˈiə̯	-	0.5
ˈe	ˈɛ	0.5
ˈe	-	0.5
ʃː	s_ɡ̊	0.5
ʃː	s	0.5
ŋ	ŋˀ	0.5
ŋ	-	0.5
<#_ˈɒ	<#_ˈæ	0.5
<#_ˈɒ	<#	0.5
#>	ə_#>	0.5
ˈi	ˈe	0.476
ˈu	ˈu	0.467
ˈɒ	ˈæ	0.44
ˈɒː	-	0.429
ɡ̊_#>	j_#>	0.429
r	ɐ	0.405
l	lˀ	0.4
d̥	ð̞ˠ	0.385
ˈi	-	0.381
ˈy	ˈø	0.375
ˈy	-	0.375
χː	-	0.368
ˈɒː	ˈɔˀ	0.357
tː_#>	#>	0.357
ˈu	-	0.333
n_d̥	n_ə	0.333
i	i	0.333
b̥_#>	w_#>	0.333
#>	n_#>	0.318
ʒ̊	s_ɡ̊	0.316
ˈuː	-	0.3
ˈo	ˈu	0.286
r	ʁ	0.286
ˈɒ	-	0.28
ˈiː	ˈiː	0.273
χː	ɡ̊	0.263
ˈy	ˈœ	0.25
fː	ʋ	0.25
<#_ɡ̊	<#	0.25
ˈæ	ˈe	0.238
r	ɐˀ	0.238
ˈyː	ˈyː	0.231
ˈyː	ˈyˀ	0.231
ɡ̊	jˀ	0.222
ɡ̊	j	0.222
ˈɒː	ˈæ	0.214
ˈo	ˈo	0.214
ˈæi̯	-	0.2
ˈuə̯	-	0.2
ˈu	ˈœ	0.2
ʦ	d̥	0.2
ʋ	-	0.2
ˈæ	j	0.19
ˈæ	-	0.19
ˈiː	-	0.182
kː	ˈy_ɡ̊	0.182
kː	-	0.182
ˈoː	ˈœˀ	0.167
ˈoː	ˈøˀ	0.167
ˈɒ	ˈɑ	0.16
χː	j	0.158
sː	-	0.15
ˈæ	ˈɛ	0.143
ˈi	ˈi	0.143
n	nˀ	0.13
ˈɒ	ˈʌ	0.12
χː	ˈɛ	0.105
χː	w	0.105
tː	ð̞ˠ	0.103
tː	-	0.103
ˈæ	ˈɑ	0.095
ˈæ	j_ˈɛ	0.095
#>	s_#>	0.091
#>	nˀ_#>	0.091
tː	ʦʰ	0.077
r	-	0.071
z̥	ɕ	0.059
