Campidanese	Campidanese	probability
ˈɔ_i	ˈɔ_w	1.0
ˈo_u	ˈɔ_w	1.0
ˈa_n	ˈa	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧ	s	1.0
ʦ	-	1.0
ʒ_i	w	1.0
ʒ	-	1.0
ʃ	ʃ	1.0
ɾ_ˈo	ˈɔ_r	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_u	ɾ_ə	1.0
ɾ_i	ə	1.0
ɲ	ɲ	1.0
ɭː	ʎ	1.0
ɣ_u	ʎ	1.0
ɡ	ɡ	1.0
ɛ_ɾ	ɾ	1.0
ɛ	-	1.0
ɖː_a	l_ə	1.0
ɖː	ʎ	1.0
ɔ̆	-	1.0
ɔ_z	s	1.0
ɔ	u	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð_u	t	1.0
ð_i	t	1.0
z_ŭ_#>	s_#>	1.0
w	w	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ɛ	l_t	1.0
t_u	j_t	1.0
t_a	t_ə	1.0
s_ˈɛ	s_ˈɛ	1.0
s_i	s_ə	1.0
r_u	r_n	1.0
r	r	1.0
p_ɾ	p_l	1.0
o	u	1.0
n_ʤ	ɲ	1.0
n_u_#>	#>	1.0
n_t_u_#>	n_#>	1.0
n_t_i_#>	n_#>	1.0
n_i_#>	#>	1.0
n_a	n_ə	1.0
l_u_#>	l_#>	1.0
l	l	1.0
k_ɾ	k	1.0
j	-	1.0
i_n_i_#>	#>	1.0
i_#>	#>	1.0
f	f	1.0
b	b	1.0
ă	-	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_i	<#_ə	1.0
<#	<#_ə	1.0
#>	ə_#>	1.0
a	ə	0.955
m	m	0.939
p	p	0.931
s	s	0.919
t	t	0.905
k	k	0.905
ʤ	ʒ	0.846
ˈa	ˈa	0.837
n	n	0.8
d	d	0.8
ð	ð	0.75
<#_ˈa	<#_ˈa	0.75
β	β	0.714
nː	n	0.714
ˈɛ	ˈe	0.63
e	-	0.6
ˈo	ˈɔ	0.591
ˈi	ˈi	0.581
<#_a	<#	0.545
ˈu	ˈu	0.514
ɾ_u_#>	r_#>	0.5
ɾ_u_#>	#>	0.5
ˈe	ˈɛ	0.467
<#_a	<#_ə	0.455
ˈɔ	ˈɔ	0.429
ˈu	ˈo	0.4
z	s	0.4
e	ə	0.4
ˈɛ	ˈɛ	0.37
ˈe	ˈe	0.333
i	ə	0.333
ɾ	ɾ	0.302
z	z	0.3
z	-	0.3
β	β_ɾ	0.286
nː	ɲ	0.286
ɾ	-	0.283
ˈo	ˈo	0.273
u	u	0.269
ɣ	ɣ	0.267
ɣ	k	0.267
ð	-	0.25
<#_ˈa	<#_ə	0.25
i	-	0.222
ˈɔ	ˈu	0.214
ˈɔ	ˈo	0.214
ˈi	ˈɛ	0.209
ˈi	ˈe	0.209
ˈe	ˈi	0.2
ɣ	-	0.2
n	ɲ	0.2
d	-	0.2
u	w	0.192
ʤ	-	0.154
u	ʎ	0.154
u	ə	0.154
ɾ	r	0.151
ˈɔ	-	0.143
i	i	0.139
ˈo	-	0.136
ɣ	ʤ	0.133
ɣ	ʎ	0.133
ˈa	ˈe	0.122
ɾ	l	0.113
i	w	0.111
t	-	0.095
ˈu	ˈɔ	0.086
i	ˈɛ	0.083
s	-	0.081
u	ɾ_ə	0.077
u	ɾ	0.077
u	-	0.077
p	s	0.069
m	m_b	0.061
ɾ	w_ɾ	0.057
ɾ	d_ɾ	0.057
i	w_ɾ	0.056
i	l	0.056
