Danish	Afrikaans	probability
b̥	b	0.825
b̥	p	0.169
b̥_ə	p	0.514
d̥	d	1.0
e	ə	0.264
f	f	0.949
f	v	0.059
h	ɦ	0.857
h	-	0.078
h	k	0.067
i	ə	1.0
j	-	0.249
j	k	0.217
j	χ	0.205
j	ɦ	0.132
j	ˈæː	0.066
jˀ	ˈɪə̯	0.574
jˀ	ˈɔː	0.295
k	-	0.523
k	k	0.32
k	ŋ_k	0.13
kʰ	k	0.754
kʰ	f_r	0.245
l	ɫ	0.802
l	l	0.196
lˀ	ɫ	0.537
lˀ	t	0.246
lˀ	ˈœu̯	0.141
lˀ	r	0.059
m	m	0.916
m	n	0.053
m	r_m	0.049
mˀ	m	0.608
mˀ	f	0.272
n	n	0.76
n	-	0.142
n	ŋ	0.073
nˀ	n_t	0.656
nˀ	n	0.291
nˀ	t	0.058
p	p	0.264
pʰ	p	0.264
s	s	0.959
t	t	0.491
t	-	0.239
t	χ	0.126
t	χ_t	0.126
v	-	0.361
v	f	0.361
v	v	0.214
w	χ	0.312
w	-	0.251
w	f	0.213
w	ə	0.186
wˀ	m	0.871
wˀ	-	0.061
ð̞ˠ	t	0.768
ð̞ˠ	-	0.145
ð̞ˠ	p	0.046
ð̞ˠ	r	0.046
ŋ	ŋ	1.0
ŋˀ	ŋ	1.0
ɐ	r	0.896
ɐ	-	0.066
ɐ	ə	0.044
ɐ_n	r	0.514
ɐˀ	ə	0.393
ɐˀ	r_t	0.323
ɐˀ	r	0.268
ə	-	0.983
ɡ̊	χ	1.0
ʁ	r	0.95
ʁ	-	0.056
ʋ	v	0.681
ʋ	f	0.115
ʋ	w	0.115
ʋ	ˈœu̯	0.076
ʦʰ	d	0.823
ʦʰ	t	0.168
ʨ	d	0.514
ˈa	ˈa	0.652
ˈa	ˈɑː	0.24
ˈa	ˈæ	0.075
ˈaː	ˈɑː	0.514
ˈe	ˈə	0.538
ˈe	ˈɛ	0.144
ˈe	-	0.126
ˈe	ˈa	0.095
ˈe	ˈɪə̯	0.074
ˈeˀ	ˈɪə̯	0.393
ˈeˀ	ˈəɪ̯	0.188
ˈeˀ	ˈi	0.188
ˈeˀ	ˈɛ	0.124
ˈeˀ	ˈə	0.073
ˈeː	ˈa	0.23
ˈeː	ˈi	0.23
ˈi	ˈɛ	0.448
ˈi	ˈyː	0.118
ˈiˀ	ˈəɪ̯	0.461
ˈiˀ	ˈə	0.225
ˈiˀ	ˈɪə̯	0.225
ˈiˀ	ˈœi̯	0.059
ˈiː	ˈəɪ̯	0.451
ˈiː	ˈi	0.22
ˈiː	ˈɪə̯	0.15
ˈiː	ˈɛː	0.101
ˈo	ˈʊə̯_r	0.231
ˈo	ˈʊə̯	0.207
ˈo	w	0.175
ˈo	ˈuː	0.175
ˈo	ˈœ	0.129
ˈoˀ	ˈu	0.702
ˈoˀ	ˈuːi̯	0.186
ˈoˀ	ˈɑː	0.094
ˈoː	ˈʊə̯	0.306
ˈoː	ˈœu̯	0.202
ˈoː	ˈu	0.143
ˈoː	ˈɔ	0.143
ˈoː	ˈa	0.137
ˈu	ˈɔ	0.567
ˈu	v_ˈɔ	0.277
ˈu	ˈœu̯	0.124
ˈuˀ	ˈœɪ̯	0.703
ˈuˀ	ˈi	0.132
ˈuˀ	ˈʊə̯	0.132
ˈuˀ	ˈɪə̯	0.047
ˈuː	ˈœɪ̯	0.574
ˈuː	ˈi	0.295
ˈy	ˈœɪ̯	0.45
ˈy	ˈœ	0.232
ˈy	ˈə	0.137
ˈyˀ	ˈi	0.551
ˈyˀ	ˈyː	0.168
ˈyˀ	ˈə	0.123
ˈyˀ	ˈɪə̯	0.123
ˈyː	ˈi	1.0
ˈæ	ˈɛ	0.66
ˈæ	ˈæː	0.174
ˈæˀ	ˈa	1.0
ˈø	ˈœ	0.339
ˈø	ˈə	0.339
ˈøː	ˈʊə̯	1.0
ˈœ	ˈœ	0.215
ˈœ	ˈɛ	0.187
ˈœ	ˈʊə̯	0.163
ˈœ	ˈɔ	0.123
ˈœ	ˈɪø̯	0.123
ˈœˀ	ˈʊə̯	0.344
ˈœˀ	ˈu	0.241
ˈœˀ	ˈoːi̯	0.138
ˈœˀ	ˈɔ	0.138
ˈœˀ	-	0.098
ˈœː	ˈɛ	0.264
ˈɑ	ˈa	0.403
ˈɑ	-	0.359
ˈɑ	ˈi	0.13
ˈɑ	ˈæ	0.098
ˈɑˀ	ˈa_r	0.699
ˈɑˀ	ˈɛ	0.161
ˈɑː	ˈɑː	1.0
ˈɒ	ˈʊə̯	0.07
ˈɒˀ	ˈɑː	0.264
ˈɒː	ˈɔ	0.66
ˈɒː	ˈɑː	0.174
ˈɔ	ˈɔ	1.0
ˈɔˀ	ˈɑː	0.633
ˈɔˀ	ˈʊə̯	0.123
ˈɔˀ	ˈa	0.091
ˈɔˀ	ˈɔ	0.091
ˈɔː	ˈɑː	1.0
ˈɛ	ˈa	0.409
ˈɛ	-	0.152
ˈɛ	ˈəɪ̯	0.132
ˈɛ	ˈɛ	0.115
ˈɛ	ˈɑː	0.076
ˈɛˀ	ˈi	0.302
ˈɛˀ	ˈa	0.229
ˈɛˀ	ˈəɪ̯	0.229
ˈɛˀ	ˈɪə̯	0.229
ˈɛː	ˈɪø̯	0.266
ˈɛː	ˈɛː	0.232
ˈɛː	ˈɪə̯	0.232
ˈʌ	ˈʊə̯	0.299
ˈʌ	ˈɔ	0.161
ˈʌ	ˈœu̯	0.149
ˈʌ	ˈɑː	0.149
ˈʌ	ˈa	0.11
ˈʌˀ	ˈʊə̯	1.0
