Danish	Afrikaans	probability
b̥	b	0.798
b̥	p	0.202
d̥	d	1.0
e	ə	1.0
f	f	0.9
f	v	0.075
h	ɦ	0.931
i	ə	1.0
j	ɦ	0.23
j	χ	0.227
j	-	0.196
j	k	0.179
j	ˈæː	0.089
jˀ	ə	0.512
jˀ	ˈɪə̯	0.275
jˀ	ˈɔː	0.213
k	k	0.799
k	-	0.116
k	ŋ_k	0.085
kʰ	k	0.935
l	ɫ	1.0
lˀ	ɫ	0.702
lˀ	ˈœu̯	0.171
lˀ	r	0.127
m	m	0.891
m	r_m	0.073
mˀ	m	0.706
mˀ	f	0.294
n	n	0.906
nˀ	n	0.928
nˀ	t	0.072
p	p	1.0
pʰ	p	1.0
s	s	0.969
t	t	0.744
t	χ	0.185
t	χ_t	0.071
w	χ	0.484
w	f	0.333
w	v_ə	0.124
wˀ	m	0.749
wˀ	-	0.251
ð̞ˠ	t	0.828
ð̞ˠ	-	0.078
ð̞ˠ	r	0.055
ŋ	ŋ	1.0
ŋˀ	ŋ	1.0
ɐ	r	0.684
ɐ	ə	0.108
ɐ	d_ə	0.085
ɐ	i	0.069
ɐ	-	0.054
ɐˀ	r	1.0
ə	-	0.901
ə	ˈœu̯	0.074
ɡ̊	χ	0.912
ɡ̊	-	0.088
ʁ	r	1.0
ʋ	v	0.744
ʋ	w	0.135
ʋ	f	0.102
ʦʰ	d	0.701
ʦʰ	t	0.299
ʨ	d	1.0
ˈa	ˈa	0.752
ˈa	ˈɑː	0.197
ˈa	ˈæː	0.051
ˈaː	ˈɑː	1.0
ˈe	ˈə	0.563
ˈe	ˈɛ	0.18
ˈe	ˈa	0.103
ˈe	-	0.072
ˈeˀ	ˈɪə̯	0.485
ˈeˀ	ˈəɪ̯	0.149
ˈeˀ	ˈi	0.118
ˈeˀ	ˈa	0.112
ˈeˀ	ˈə	0.112
ˈeː	ˈa	0.5
ˈeː	ˈi	0.5
ˈi	ˈæ	0.425
ˈi	ˈyː	0.234
ˈi	ˈə	0.234
ˈi	j	0.106
ˈiˀ	ˈəɪ̯	0.533
ˈiˀ	ˈə	0.228
ˈiˀ	ˈɪə̯	0.171
ˈiˀ	ˈi	0.068
ˈiː	ˈəɪ̯	0.512
ˈiː	ˈɛː	0.167
ˈiː	ˈɪə̯	0.167
ˈiː	ˈi	0.153
ˈo	ˈʊə̯	0.589
ˈo	ˈu	0.21
ˈo	w	0.143
ˈo	ˈœ	0.058
ˈoˀ	ˈu	0.709
ˈoˀ	w	0.099
ˈoˀ	ˈɑː	0.096
ˈoˀ	ˈə	0.096
ˈoː	ˈʊə̯	0.382
ˈoː	ˈu	0.218
ˈoː	ˈœu̯	0.187
ˈoː	ˈɔ	0.113
ˈoː	ˈa	0.1
ˈu	ˈɔ	0.648
ˈu	v_ˈɔ	0.306
ˈuˀ	ˈœɪ̯	0.52
ˈuˀ	ˈi	0.243
ˈuˀ	ˈɪə̯	0.106
ˈuˀ	ˈʊə̯	0.081
ˈuː	ˈœɪ̯	0.836
ˈuː	ˈi	0.101
ˈuː	-	0.063
ˈy	ˈœ	0.549
ˈy	ˈə	0.283
ˈy	ˈœɪ̯	0.168
ˈyˀ	ˈi	0.817
ˈyˀ	ˈə	0.076
ˈyˀ	ˈɪə̯	0.076
ˈyː	ˈi	0.873
ˈyː	ˈɪ	0.127
ˈæ	ˈæː	0.581
ˈæ	ˈa	0.344
ˈæ	ˈæ	0.074
ˈæˀ	ˈa	1.0
ˈæː	ˈɑː	1.0
ˈø	ˈœ	0.66
ˈø	ˈə	0.34
ˈøˀ	ˈʊə̯	1.0
ˈøː	ˈʊə̯	0.666
ˈøː	ˈu	0.334
ˈœ	ˈœ	0.246
ˈœ	ˈʊə̯	0.191
ˈœ	ˈɪø̯	0.157
ˈœ	ˈɔ	0.132
ˈœ	ˈɛ	0.098
ˈœ	-	0.071
ˈœ	ˈu	0.059
ˈœˀ	ˈʊə̯	0.548
ˈœˀ	ˈu	0.267
ˈœˀ	ˈɪø̯	0.071
ˈœˀ	-	0.052
ˈœː	ˈɛ	1.0
ˈɑ	-	0.341
ˈɑ	ˈa	0.34
ˈɑ	ˈæ	0.129
ˈɑ	ˈi	0.105
ˈɑ	ˈɪə̯	0.085
ˈɑˀ	ˈa	0.396
ˈɑˀ	ˈɑː	0.357
ˈɑˀ	ˈæ	0.123
ˈɑˀ	ˈɪə̯	0.123
ˈɑː	ˈɑː	1.0
ˈɒ	ˈœɪ̯	0.525
ˈɒ	ˈʊə̯	0.475
ˈɒˀ	ˈɑː	1.0
ˈɒː	ˈɔ	0.66
ˈɒː	ˈɑː	0.34
ˈɔ	ˈɔ	1.0
ˈɔˀ	ˈɑː	0.501
ˈɔˀ	ˈʊə̯	0.268
ˈɔˀ	ˈɔ	0.144
ˈɔˀ	ˈa	0.088
ˈɔː	ˈɑː	1.0
ˈɛ	ˈa	0.354
ˈɛ	ˈæ	0.154
ˈɛ	-	0.147
ˈɛ	ˈəɪ̯	0.096
ˈɛ	ˈɑː	0.09
ˈɛ	ˈɛ	0.066
ˈɛˀ	ˈəɪ̯	0.464
ˈɛˀ	ˈi	0.352
ˈɛˀ	ˈɪə̯	0.164
ˈɛː	ˈɛː	0.413
ˈɛː	ˈɪə̯	0.366
ˈɛː	ˈɪø̯	0.222
ˈʌ	ˈʊə̯	0.295
ˈʌ	ˈɔ	0.285
ˈʌ	ˈa	0.12
ˈʌ	ˈɪø̯	0.12
ˈʌ	ˈɑː	0.089
ˈʌ	ˈɪ	0.074
ˈʌˀ	ˈʊə̯	1.0
