East Franconian	West Flemish	probability
β	v	1.0
ˈɛː	ˈɒː	1.0
ˈɘ	-	1.0
ˈɒ_l	ˈu	1.0
ˈaʊ̯	ˈyː	1.0
ˈa	h_ˈæ	1.0
ʦ	t	1.0
ɾ_ɐ	ɾ	1.0
ɪ	ˈɛː_m	1.0
ɣ	ɦ	1.0
ɡ̊_s	s	1.0
ɡ̊_r	ɦ_ɾ	1.0
ɡ̊_n	ɦ_ə	1.0
ɡ̊	k	1.0
ə	ɦ̥	1.0
v̥	p	1.0
v	ʋ	1.0
s	z	1.0
r_ˈɪ	ɾ_ˈœ	1.0
r	ɾ	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
f	v	1.0
eː	iə̯	1.0
b̥͡v̥	p	1.0
ˈɪ	ˈɪ	0.821
ɐ	ɾ	0.81
ˈɒ	ˈɑ	0.807
n	n	0.799
l	l	0.751
b̥	b	0.735
ˈoː	ˈɒː	0.652
ˈiː	ˈiə̯	0.652
x	k	0.626
ʃ	s	0.622
ŋ	ŋ	0.607
ç	k	0.576
ˈuː	ˈuə̯	0.567
ɣ̊	ɦ̥	0.564
a	ə	0.508
ˈeː	-	0.504
i	ɪ	0.5
i	ç	0.5
ˈeː	ˈeː	0.496
d̥	d	0.488
ˈaː	ˈoː	0.485
z̥	t	0.475
ˈaɪ̯	ˈi	0.44
ɣ̊	ɦ_ə	0.436
ˈʊ	ˈu	0.418
ˈɛ	ˈæ	0.402
ˈɛ	-	0.398
x	h	0.374
ˈɔ	ˈoː	0.369
z̥	z̥	0.365
a	n	0.365
ˈaː	ˈeː	0.359
ˈɔ	ˈɔ	0.348
ˈuː	ˈoː	0.343
d̥	d̥	0.298
ŋ	ɦ_n	0.291
b̥	v̥	0.265
ˈaɪ̯	ˈiə̯	0.259
ʃ	ʃ_h	0.249
l	w	0.249
ç	h	0.248
ˈiː	ˈuə̯	0.234
ˈʊ	ˈɔ	0.223
d̥	t	0.213
ˈoː	ˈɑ	0.204
ˈɛ	ˈeː	0.199
ç	ɦ̥	0.176
ˈaɪ̯	-	0.173
z̥	-	0.161
ˈaː	ˈɛː	0.156
ˈʊ	ˈoː	0.145
ˈɔ	ˈɑ	0.144
ˈoː	-	0.143
ˈɔ	ˈœ	0.139
ˈɒ	ˈɒː	0.129
ʃ	z	0.129
ˈaɪ̯	ˈyː	0.128
a	-	0.127
ˈiː	-	0.115
ˈʊ	ˈœ	0.112
ˈɪ	ˈæ	0.106
ˈʊ	-	0.102
ŋ	n	0.102
ɐ	ə_ɾ	0.099
ɐ	ɾ_ə	0.091
ˈuː	ˈøː	0.09
n	n_d	0.077
ˈɪ	-	0.073
n	ə	0.068
ˈɒ	ˈɔ	0.064
n	-	0.056
