Sicilian	Aromanian	probability
b	b	1.0
c	-	1.0
cː	k_ʎ	1.0
d	d	1.0
kː	k	1.0
mː	m	1.0
u	u	1.0
ç	f_l	1.0
ɖː	-	1.0
ɟː	ʎ	1.0
ɽ	r	1.0
ʃ	s	1.0
ʃː	ʃ_t	1.0
ʈ	t	1.0
ʐː	-	1.0
ʤ	ʤ	1.0
ˈo	ˈu	1.0
j	ʣ	0.251
k	k	0.911
v	v	0.211
v	-	0.311
ˈɛ	ˈa	0.221
f	ç	0.222
t	ʦ	0.132
v	b	0.112
ɕ	ʧ	0.052
ɲː	ɲ	0.342
j	j	0.133
l	l	0.523
nː	m_n	0.053
p	k	0.213
v	j	0.3
w	v	0.093
ɡ	-	0.473
ɾ	-	0.113
a	-	0.084
i	-	0.284
l	ʎ	0.14
m	m	0.894
n	n	0.944
r	a_r	0.124
s	ʃ	0.24
ɪ	ə	0.104
ɾ	r	0.844
ˈɛ	ˈe	0.324
a	ə	0.745
tː	p_t	0.955
ŋ	n	0.5
ŋ	b	0.5
ʊ	ə	0.105
ʊ	i	0.155
ʊ	-	0.245
ˈi	e̯ˈa	0.385
ˈu	ˈo	0.165
i	i	0.716
j	-	0.576
m	ɲ	0.106
r	r	0.876
s	s	0.76
v	w	0.066
l	r	0.337
nː	n	0.947
p	t	0.117
p	p	0.67
w	-	0.907
ɡ	ɡ	0.527
ɪ	e	0.057
ɪ	i	0.797
ˈa	ˈa	0.567
ˈi	ˈe	0.127
ˈɔ	ˈo	0.507
ˈɛ	e̯ˈa	0.227
f	f	0.778
t	t	0.868
ɕ	ʦ	0.948
ɲː	n	0.658
ʊ	u	0.488
ˈa	ˈɨ	0.288
ˈi	ˈi	0.488
ˈu	ˈu_l	0.078
ˈu	o̯ˈa	0.208
ˈɔ	ˈu	0.318
ˈɛ	ˈi	0.228
a	a	0.129
k	-	0.089
ˈa	o̯ˈa	0.059
ˈu	ˈu	0.549
ˈɔ	o̯ˈa	0.129
