Ligurian	Ligurian	probability
ˈɛː_r	ˈɛ_r	1.0
ˈɔ	ˈɔ	1.0
ˈøː	ˈø	1.0
ˈyː_u	ˈy_r	1.0
ˈyː	ˈy	1.0
ˈy_ŋ	ˈy	1.0
ˈy	ˈø	1.0
ˈu_ŋ_#>	ˈu_#>	1.0
ˈiː	ˈi	1.0
ˈi_ŋ	ˈi	1.0
ˈe_ŋ	ˈe	1.0
ˈe_j	ˈi	1.0
ˈaː_r	ˈa_l	1.0
ˈaː_#>	ˈa_#>	1.0
ˈa_m	ˈa_m	1.0
ˈa	ˈa	1.0
ʤ_u	j	1.0
ʒ_e	s	1.0
ʒ	z	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɥ	o_d	1.0
ɔː	o	1.0
ŋ_#>	#>	1.0
y	y	1.0
v_u	f	1.0
v_e_#>	f_#>	1.0
sː	s	1.0
s_p	s_p	1.0
s_a	s_a	1.0
r_u	e_r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r	r	1.0
p	p	1.0
o	-	1.0
n	n	1.0
m	m	1.0
l_e	l_e	1.0
l	l	1.0
k	k	1.0
j_#>	#>	1.0
f	f	1.0
e_#>	#>	1.0
d_u	t	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_f_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
a	a	0.974
s	s	0.955
u_#>	#>	0.909
d	d	0.895
t	t	0.892
ˈuː	ˈu	0.857
e	e	0.846
ˈe	ˈɛ	0.815
ŋ	n	0.767
ˈaː	ˈa	0.75
ˈɛ	ˈɛ	0.714
v	-	0.667
ˈu	ˈo	0.647
ˈø	ˈɔ	0.625
ʧ	p_j	0.6
u	o	0.6
<#_a	<#_a	0.6
z	z	0.588
ˈɔː	ˈo	0.571
#>	r_#>	0.571
ɡ	ɡ	0.55
s_e	s_i	0.5
s_e	s	0.5
ˈeː	ˈe	0.474
ˈi	ˈe	0.462
j	e	0.444
ˈɔː	ˈɔ	0.429
#>	l_#>	0.429
ˈeː	ˈɛ	0.421
ʧ	ʧ	0.4
<#_a	<#	0.4
i	i	0.385
i	-	0.385
ˈø	ˈø	0.375
ɡ	k	0.35
w	w	0.333
w	-	0.333
v	ʋ	0.333
ˈi	ˈi	0.308
z	s	0.294
ˈɛ	-	0.286
ʤ	ʤ	0.286
ˈɛː	ˈɛ	0.25
ˈɛː	ˈa_t	0.25
ˈɛː	ˈa	0.25
ˈɛː	e	0.25
ʤ	ʧ	0.238
ʤ	j	0.238
ˈu	ˈu	0.235
ŋ	ŋ	0.233
ˈi	j	0.231
i	e	0.231
j	r	0.222
j	-	0.222
w	o	0.2
u	ø	0.2
u	l	0.2
ˈe	ˈe	0.185
e	-	0.154
ˈaː	ˈo	0.15
ˈuː	l	0.143
ʤ	b_j	0.143
w	ˈa_d	0.133
ˈu	ˈø	0.118
z	-	0.118
j	e_r	0.111
t	ʧ	0.108
ˈeː	-	0.105
d	t	0.105
ˈaː	ˈa_l	0.1
ɡ	-	0.1
ʤ	ˈø_l	0.095
u_#>	r_#>	0.091
