Spanish	Ligurian	probability
d	d	1.0
f	f	1.0
i	i	1.0
k	k	1.0
p	p	1.0
r	r	1.0
w	w	1.0
ŋ	ŋ	1.0
ɣ	ɡ	1.0
t	t	0.911
x	z	0.281
ɟ͡ʝ	ʧ	0.781
β	-	0.061
β	b	0.11
θ	s	0.321
l	r	0.112
m	m	0.782
n	ɲ	0.052
ɡ	-	0.112
ˈi	-	0.092
ˈo	ˈu	0.412
θ	z	0.092
e	e	0.703
l	-	0.293
n	ŋ	0.653
ð	d	0.203
ð	-	0.573
ʝ	ʤ	0.093
ˈe	ˈu	0.093
ˈe	ˈɛː	0.13
ˈo	ˈɔː	0.073
ˈo	u	0.083
θ	ʒ_e	0.183
b	b	0.194
e	ˈeː	0.054
j	j	0.074
ð	t	0.224
ɾ	r	0.354
ˈe	ˈeː	0.104
ˈi	ˈiː	0.204
ˈu	ˈyː	0.144
θ	-	0.194
e	u	0.055
e	j	0.115
n	n	0.295
ɲ	ɲ	0.485
ɲ	n	0.515
ʧ	<#_f	0.235
ˈa	ˈaː	0.165
ˈe	ˈe	0.395
ˈi	ˈi	0.615
ˈu	ˈuː	0.05
θ	ʒ	0.135
a	ˈaː	0.056
j	-	0.776
l	l	0.556
o	-	0.076
ˈo	w	0.06
θ	ʃ	0.076
a	a	0.887
ɾ	j	0.227
ʝ	l	0.907
ʧ	t	0.747
ˈa	ˈa	0.77
ˈo	ˈuː	0.077
ˈo	ˈø	0.117
ˈu	ˈy	0.467
b	v	0.748
m	ŋ	0.218
s	-	0.158
s	s	0.798
ɡ	ɡ	0.888
ˈo	ˈøː	0.068
ˈo	ˈy	0.068
ˈu	ˈu	0.338
j	ˈi	0.149
o	u	0.869
x	ʤ	0.719
ɟ͡ʝ	-	0.219
ɾ	-	0.419
ˈe	-	0.229
ˈi	ˈe_j	0.059
β	v	0.809
