Bokmål Norwegian	Saterland Frisian	probability
b	b	0.963
d	d	0.701
d	-	0.19
d	t	0.105
f	f	0.974
h	h	0.97
i	-	0.794
i	ɪ	0.206
j	h	0.379
j	-	0.197
j	ˈɔː	0.149
j	ɣ	0.141
j	j	0.088
k	k	0.916
k	x	0.084
kʰ	k	1.0
kː	ŋ	0.784
kː	k	0.216
l	l	1.0
lː	l	0.7
lː	m	0.133
lː	r	0.125
m	m	0.912
m	w	0.088
mː	m	1.0
n	n	0.978
nː	n	0.951
p	p	1.0
pʰ	p	1.0
pː	p	1.0
s	s	0.906
s	z	0.069
sː	s	1.0
t	t	1.0
tʰ	t	0.623
tʰ	d	0.323
tʰ	b	0.054
tː	t	0.587
tː	x	0.413
ŋ	x	0.611
ŋ	ɪ	0.217
ŋ	n	0.171
ŋː	ŋ	1.0
ɕ	s	0.944
ɕ	t	0.056
ə	ə	0.774
ə	-	0.219
ɡ	ɣ	0.699
ɡ	x	0.132
ɡ	-	0.1
ɡ	j	0.069
ɡː	-	0.376
ɡː	x	0.376
ɡː	z	0.185
ɡː	ɣ	0.063
ɪ	ə	1.0
ɳ	d	0.601
ɳ	r	0.399
ɾ	r	0.867
ɾ	-	0.13
ʂ	s	1.0
ʃ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	v	0.669
ʋ	f	0.113
ʋ	-	0.1
ʋ	w	0.08
ˈeː	ˈoː	0.324
ˈeː	ˈi	0.245
ˈeː	ˈeː	0.157
ˈeː	ˈɛɪ̯	0.096
ˈeː	ˈaː	0.073
ˈeː	ˈɪ	0.066
ˈiː	ˈi	0.401
ˈiː	ˈiː	0.258
ˈiː	ˈaːu̯	0.123
ˈiː	ˈɪ	0.08
ˈiː	ˈoː	0.065
ˈiː	ˈeːu̯	0.053
ˈoː	ˈoː	0.273
ˈoː	ˈɛɪ̯	0.227
ˈoː	ˈoːu̯	0.223
ˈoː	ˈiː	0.207
ˈuː	ˈoːu̯	0.699
ˈuː	ˈuː	0.13
ˈuː	ə	0.085
ˈuː	ˈɛɪ̯	0.055
ˈyː	j	0.545
ˈyː	ˈiː	0.188
ˈyː	ˈɛɪ̯	0.115
ˈyː	ˈyː	0.074
ˈyː	ˈʊ	0.059
ˈæ	ˈiː	0.66
ˈæ	ˈi	0.34
ˈæɪ̯	ˈeː	0.447
ˈæɪ̯	ˈi	0.407
ˈæɪ̯	ˈaːi̯	0.146
ˈæː	ˈɛɪ̯	0.41
ˈæː	ˈeː	0.27
ˈæː	ˈi	0.27
ˈøː	ˈoː	0.43
ˈøː	ˈeː	0.191
ˈøː	ˈɛɪ̯	0.168
ˈøː	-	0.156
ˈøː	ˈa	0.055
ˈœ	ˈeː	0.174
ˈœ	ˈɛɪ̯	0.172
ˈœ	-	0.132
ˈœ	ˈoː	0.125
ˈœ	ˈɪ	0.124
ˈœ	ˈuː	0.107
ˈœ	ˈʊ	0.054
ˈœʏ̯	ˈoː	1.0
ˈɑ	ˈɔː	0.282
ˈɑ	ˈoːu̯	0.277
ˈɑ	ˈɔ	0.135
ˈɑ	ˈoː	0.13
ˈɑ	ˈɛː	0.076
ˈɑː	ˈɔː	0.464
ˈɑː	ˈɛɪ̯	0.285
ˈɑː	ˈɛ	0.137
ˈɑː	ˈɛː	0.074
ˈɔ	ˈɔː	0.47
ˈɔ	ˈuː	0.253
ˈɔ	ˈa	0.127
ˈɔ	ə	0.082
ˈɛ	ˈɛ	0.153
ˈɛ	ˈeː	0.153
ˈɛ	ˈaː	0.118
ˈɛ	ˈa	0.118
ˈɛ	ˈɔː	0.102
ˈɛ	ˈiː	0.095
ˈɛ	ˈyː	0.052
ˈɪ	ˈɪ	0.526
ˈɪ	ˈiː	0.313
ˈɪ	ˈɛː	0.132
ˈʉ	ˈʊ	0.34
ˈʉ	v_ˈʊ	0.183
ˈʉ	ˈuː	0.159
ˈʉ	ˈɔ	0.114
ˈʉ	j_ˈʊ	0.094
ˈʉ	ˈu	0.081
ˈʉː	ˈuː	0.466
ˈʉː	ˈoː	0.202
ˈʉː	ˈɔ	0.058
ˈʉː	ˈɛɪ̯	0.058
ˈʊ	ˈuː	0.422
ˈʊ	ˈʊ	0.362
ˈʊ	ˈœː	0.216
ˈʏ	ˈɛː	0.513
ˈʏ	ˈʊ	0.219
ˈʏ	j	0.183
ˈʏ	ˈyː	0.085
