Alsatian	Danish	probability
b̥	b̥	0.923
b̥	v	0.047
b̥	-	0.035
d̥	-	0.507
d̥	ʦʰ	0.249
d̥	d̥	0.235
e	mˀ	0.215
f	f	0.713
f	-	0.092
f	b̥	0.085
f	ʋ	0.052
f	kʰ	0.026
h	h	0.955
h	-	0.041
i	-	0.152
i	i	0.152
i	ɐ	0.152
i	n	0.152
i	w	0.101
j	-	0.384
j	j	0.178
j	jˀ	0.155
j	w	0.089
k	ɡ̊	0.484
k	k	0.207
k	-	0.137
kʰ	kʰ	0.927
kʰ	-	0.049
l	l	0.71
l	lˀ	0.242
l	nˀ	0.034
l	-	0.027
m	m	0.842
m	-	0.104
m	mˀ	0.035
n	n	0.679
n	-	0.214
n	nˀ	0.077
n	ŋ	0.029
n_d̥	nˀ	1.0
n_s	s	1.0
p͡f	b̥	0.758
p͡f	ð̞ˠ	0.075
s	s	0.596
s	ð̞ˠ	0.372
s	-	0.031
t	-	0.361
t	ð̞ˠ	0.324
t	t	0.183
t	d̥	0.1
t	ʦʰ	0.033
v	w	0.461
v	-	0.265
v	jˀ	0.265
w	ˈo	0.392
w	ˈœ	0.209
w	ʋ	0.209
x	t	0.603
x	j	0.257
x	-	0.086
ŋ	ŋˀ	0.498
ŋ	ŋ	0.409
ŋ	-	0.067
ə	ə	0.439
ə	ɐ	0.281
ə	-	0.217
ə	wˀ	0.032
ə	w	0.031
ɡ̊	ɡ̊	0.803
ɡ̊	-	0.127
ɡ̊	kʰ	0.058
ʁ	-	0.577
ʁ	ʁ	0.42
ʁ_m	m	1.0
ʃ	s	0.676
ʃ	-	0.228
ʃ	k	0.095
ʋ	ʋ	0.587
ʋ	ˈo	0.165
ʋ	-	0.088
ʋ	ˈyː	0.064
ʋ	j	0.064
ʋ_ˈo	ˈu	1.0
ʦ	ʦʰ	0.566
ʦ	t	0.218
ʦ	-	0.19
ˈai̯	ˈœ	0.463
ˈaː	ˈiː	0.5
ˈaː	ˈɑ	0.5
ˈe	ˈe	0.333
ˈe	ˈɛ	0.105
ˈe	-	0.102
ˈe	ˈɛˀ	0.098
ˈe	ˈæ	0.098
ˈei̯	ˈɛˀ	0.138
ˈei̯	ˈyˀ	0.138
ˈei̯	ˈeˀ	0.138
ˈeː	ˈøː	0.253
ˈeː	ˈeˀ	0.253
ˈeː	ˈi	0.155
ˈeː	ˈiˀ	0.146
ˈeː	ˈɛ	0.055
ˈi	ˈe	0.416
ˈi	ˈœ	0.088
ˈi	ˈiˀ	0.088
ˈi	ˈɛ	0.088
ˈi	ˈy	0.058
ˈiː	ˈiː	0.196
ˈiː	ˈiˀ	0.171
ˈiː	ˈyˀ	0.157
ˈiː	ˈœˀ	0.145
ˈiː	ˈi	0.11
ˈo	ˈu	0.629
ˈo	ˈɒː	0.111
ˈo	ˈoː	0.064
ˈo_ʁ	ɐˀ	1.0
ˈoː	ˈœˀ	0.298
ˈoː	ˈɔˀ	0.163
ˈoː	ˈʌˀ	0.108
ˈoː	ˈœ	0.108
ˈoː	ˈɒˀ	0.079
ˈu	ˈœ	0.259
ˈu	ˈɔ	0.197
ˈu	ˈʌ	0.149
ˈu	ɐˀ	0.13
ˈu	ˈœˀ	0.086
ˈyː	ˈuˀ	0.807
ˈyː	ˈɔ	0.142
ˈæ	ˈeˀ	0.268
ˈæ	ˈɛː	0.155
ˈæ	ˈɑˀ	0.155
ˈæ	j	0.095
ˈæ	ˈiˀ	0.095
ˈæː	ˈeː	0.392
ˈæː	ˈɑ	0.226
ˈæː	ˈœˀ	0.064
ˈæː	ˈuˀ	0.064
ˈø	ˈuˀ	1.0
ˈøi̯	ˈuˀ	1.0
ˈøː	ˈoː	0.66
ˈøː	ˈoˀ	0.142
ˈœ	ˈʌ	0.463
ˈɒ	ˈa	0.347
ˈɒ	ˈɛ	0.127
ˈɒ	ˈʌ	0.082
ˈɒ	ˈɑ	0.071
ˈɒ	ˈɑː	0.054
ˈɒː	ˈa	0.311
ˈɒː	ˈɑˀ	0.158
ˈɒː	ˈɔˀ	0.132
ˈɒː	ˈɛ	0.132
ˈɒː	ˈɛː	0.09
ˈɔi̯	ˈoː	0.046
ˈəi̯	ˈeˀ	0.683
ˈəi̯	ˈɛ	0.153
ˈəi̯	ˈoˀ	0.067
ˈəi̯	ˈɛˀ	0.047
ˈɛ	ˈe	0.163
ˈɛ	ˈeˀ	0.163
ˈʊː	ˈoˀ	0.548
ˈʊː	ˈœˀ	0.133
ˈʊː	ˈo	0.088
ˈʊː	ˈʌˀ	0.064
ˈʊː	ˈøː	0.062
