Alsatian	Danish	probability
b̥	b̥	0.84
b̥	-	0.16
d̥	-	0.459
d̥	ʦʰ	0.29
d̥	d̥	0.251
e	mˀ	1.0
eː	-	1.0
f	f	0.601
f	b̥	0.195
f	-	0.118
f	kʰ	0.053
h	h	0.873
h	j	0.127
i	-	0.208
i	ə	0.174
i	i	0.128
i	ɐ	0.128
i	ɐˀ	0.127
i	e	0.118
i	w	0.118
j	w	0.388
j	-	0.331
j	j	0.159
j	ˈe	0.122
k	ɡ̊	0.471
k	k	0.433
k	-	0.096
kʰ	kʰ	0.97
l	l	0.686
l	lˀ	0.257
l	-	0.057
m	m	0.828
m	-	0.13
n	n	0.722
n	nˀ	0.163
n	-	0.092
p͡f	b̥	0.668
p͡f	ð̞ˠ	0.332
s	s	0.629
s	ð̞ˠ	0.369
t	ð̞ˠ	0.496
t	t	0.225
t	d̥	0.138
t	-	0.085
t	s	0.055
v	w	0.429
v	-	0.373
v	jˀ	0.198
w	ˈœ	0.842
w	ˈo	0.158
x	t	0.548
x	-	0.365
x	j	0.087
ŋ	ŋˀ	0.717
ŋ	ŋ	0.259
ə	ə	0.397
ə	-	0.248
ə	ʌ	0.128
ə	ɐ	0.116
ɡ̊	ɡ̊	0.78
ɡ̊	kʰ	0.124
ɡ̊	j	0.079
ʁ	-	0.601
ʁ	ʁ	0.391
ʃ	k	0.422
ʃ	s	0.396
ʃ	-	0.182
ʋ	ʋ	0.698
ʋ	-	0.179
ʦ	ʦʰ	0.656
ʦ	t	0.278
ʦ	-	0.066
ˈai̯	ˈœ	1.0
ˈaː	ˈyː	0.415
ˈaː	ˈiː	0.386
ˈaː	ˈɑ	0.199
ˈe	ˈe	0.436
ˈe	ˈæ	0.194
ˈe	ˈɛˀ	0.069
ˈe	ˈu	0.069
ˈe	ˈoˀ	0.061
ˈei̯	ˈeˀ	0.25
ˈei̯	ˈyˀ	0.25
ˈei̯	ˈɑ	0.181
ˈei̯	ˈɑˀ	0.181
ˈei̯	ˈɛˀ	0.138
ˈeː	ˈeˀ	0.326
ˈeː	ˈiˀ	0.275
ˈeː	ˈɛ	0.177
ˈeː	ˈøː	0.16
ˈeː	ˈɔˀ	0.062
ˈi	ˈe	0.462
ˈi	ˈiˀ	0.172
ˈi	ˈø	0.085
ˈi	ˈɛ	0.074
ˈi	ˈʌ	0.051
ˈiː	ˈi	0.188
ˈiː	ˈiˀ	0.173
ˈiː	ˈyˀ	0.15
ˈiː	ˈiː	0.145
ˈiː	ˈyː	0.137
ˈiː	-	0.061
ˈo	ɐˀ	0.617
ˈo	ˈu	0.176
ˈo	ˈɒː	0.114
ˈoː	ˈɔˀ	0.216
ˈoː	ˈœˀ	0.161
ˈoː	ˈɔː	0.149
ˈoː	ˈœ	0.11
ˈoː	ˈɒˀ	0.107
ˈoː	ˈɛ	0.073
ˈoː	ˈøː	0.069
ˈu	ˈɔ	0.348
ˈu	ˈʌ	0.302
ˈu	ˈœ	0.109
ˈu	ɐˀ	0.051
ˈu	ˈɶ	0.05
ˈyː	ˈuˀ	0.715
ˈyː	ˈɔ	0.122
ˈyː	ˈʌ	0.082
ˈyː	ˈuː	0.081
ˈæ	ˈɑˀ	0.327
ˈæ	ˈɛ	0.255
ˈæ	ˈɛː	0.206
ˈæ	ˈiˀ	0.168
ˈæː	ˈeː	0.763
ˈæː	ˈuˀ	0.119
ˈæː	ˈœˀ	0.059
ˈæː	ˈɑ	0.059
ˈø	ˈuˀ	1.0
ˈøi̯	ˈuˀ	1.0
ˈøː	ˈoˀ	0.824
ˈøː	ˈoː	0.176
ˈœ	ˈʌ	1.0
ˈɒ	ˈa	0.285
ˈɒ	ˈɑ	0.155
ˈɒ	ˈɛ	0.123
ˈɒ	ˈɛː	0.078
ˈɒ	ɐ	0.065
ˈɒ	ˈʌ	0.063
ˈɒ	ˈyː	0.056
ˈɒː	ˈa	0.367
ˈɒː	ˈɑˀ	0.254
ˈɒː	ˈɛ	0.115
ˈɒː	ˈɛˀ	0.115
ˈɒː	ˈæˀ	0.06
ˈɔi̯	ˈoː	1.0
ˈəi̯	ˈeˀ	0.617
ˈəi̯	ˈɛˀ	0.223
ˈəi̯	ˈoˀ	0.102
ˈəi̯	ˈɛ	0.057
ˈɛ	ˈe	0.738
ˈɛ	ˈeˀ	0.262
ˈʊː	ˈoˀ	0.393
ˈʊː	ˈʌ	0.187
ˈʊː	ˈøː	0.135
ˈʊː	ˈœˀ	0.112
ˈʊː	ˈo	0.075
ˈʊː	ˈʌˀ	0.053
