English	English	probability
ˈɜː	-	1.0
ˈəʊ̯_ɫ	ˈɑ_w	1.0
ˈiː_n	ɑ	1.0
ˈiː_#>	ˈai̯_#>	1.0
ˈaɪ̯_d	ˈai̯_t	1.0
ˈaɪ̯_#>	ˈɑi̯_ɡ̊_#>	1.0
ʤ	k	1.0
ʃ_#>	ʃ_#>	1.0
ɹ	r	1.0
ɪ	-	1.0
ɜː	r_ˈɛ	1.0
əʊ̯	-	1.0
ə_n	a	1.0
ŋ	ŋ	1.0
z	-	1.0
tʰ	ʦ	1.0
t_#>	ʦ_#>	1.0
s_#>	s_#>	1.0
pʰ	f	1.0
kʰ	k	1.0
h	h	1.0
b	b	1.0
<#_ɹ	<#_r	1.0
<#_n	<#_n	1.0
n	n	0.939
w	v	0.917
f	f	0.913
m	m	0.905
l	w	0.905
ɡ	ɡ	0.833
ˈɐ	ˈu	0.8
ə	ɛ_r	0.696
ˈaʊ̯	ˈɑi̯	0.692
θ	d	0.636
ˈɪ	ˈɘ̟	0.625
ˈʊ	ˈʏ	0.6
ʧ	k	0.6
d	t	0.579
s	z	0.552
ˈɔː	ˈɔ	0.5
ˈɔː	ˈi̯ø	0.5
ˈɒ	ˈɑ	0.5
ˈɒ	-	0.5
ˈæ	ˈɑ	0.5
ʃ	ʃ	0.5
ɫ	w	0.5
ð	t_ɛ	0.5
ð	d	0.5
v	v	0.5
v	n	0.5
j	j	0.5
j	-	0.5
p	f	0.444
ˈuː	ˈi	0.429
k	x	0.429
ˈʊ	-	0.4
ˈəʊ̯	ˈei̯	0.4
ˈəʊ̯	ˈa	0.4
ʧ	ç	0.4
ˈiː	ˈi	0.375
k	k	0.357
s	ʃ	0.345
#>	a_#>	0.341
ˈɑː	ˈɔ_w	0.333
ˈɑː	ˈɔ	0.333
ˈɑː	-	0.333
ʃ	ʃ_ˈi̯ø	0.333
p	f_a	0.333
ˈaɪ̯	ˈai̯	0.304
ˈæ	ˈɔ	0.3
t	t	0.3
t	s	0.3
d	d̥	0.289
ˈuː	ˈʏ	0.286
ˈuː	n	0.286
ˈeɪ̯	ˈɑ	0.273
ˈaɪ̯	ˈɘ̟	0.261
ˈiː	-	0.25
ˈe	ˈɛ	0.235
ˈe	ˈu	0.235
ˈe	-	0.235
p	p	0.222
ə	r	0.217
#>	ɡ̊_#>	0.205
ˈəʊ̯	-	0.2
ˈɐ	ˈʏ	0.2
ˈæ	-	0.2
θ	t	0.182
θ	-	0.182
ˈeɪ̯	ˈɔ	0.182
ˈeɪ̯	ˈi̯ø	0.182
ˈeɪ̯	ˈa	0.182
ˈeɪ̯	-	0.182
#>	n_#>	0.182
ˈe	ˈɑ	0.176
ˈɪ	-	0.167
ʃ	ʧ	0.167
ɫ	u	0.167
ɫ	l	0.167
ɫ	-	0.167
ɡ	-	0.167
t	s_a	0.167
ˈaʊ̯	ˈʏ	0.154
ˈaʊ̯	-	0.154
k	ç	0.143
t	x_t	0.133
ˈaɪ̯	ˈɑi̯	0.13
ˈɪ	ˈɑ	0.125
ˈiː	ˈɑi̯	0.125
ˈiː	ˈɑ	0.125
ˈiː	ˈø	0.125
ˈe	ˈɘ̟	0.118
s	s	0.103
t	ʦ	0.1
m	m_ˈø	0.095
l	w_ˈi	0.095
ˈaɪ̯	ˈɑ_x	0.087
ˈaɪ̯	ɟ_a	0.087
ˈaɪ̯	x	0.087
ə	-	0.087
f	b̥	0.087
ˈɪ	ˈʏ	0.083
w	-	0.083
d	d	0.079
k	c	0.071
#>	x_#>	0.068
#>	w_#>	0.068
n	-	0.061
d	d_a	0.053
