Bokmål Norwegian	Alsatian	probability
#>	#>	0.833
#>	t_#>	0.067
<#	<#	0.964
b	b̥	0.936
b	-	0.065
d	t	0.489
d	d̥	0.405
d	s	0.056
d	p͡f	0.054
e	ˈɔi̯	0.251
f	f	1.0
h	h	0.943
h	-	0.06
i	i	0.126
j	-	0.358
j	x	0.175
j	ˈɛ	0.175
j	ɡ̊	0.139
j	ʋ	0.084
k	ʃ	0.506
k	-	0.308
k	k	0.124
k_#>	#>	1.0
kʰ	kʰ	0.735
kʰ	ɡ̊	0.144
kʰ	ʁ	0.107
kː	k	1.0
l	l	1.0
lː	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.752
n	-	0.123
n	m	0.057
n	ʃ	0.057
n_#>	#>	1.0
nː	n	0.444
nː	n_d̥	0.443
nː	l	0.087
p	f	0.761
p	p͡f	0.232
s	s	0.51
s	ʃ	0.481
sː	s	1.0
t	s	0.629
t	t	0.311
t	ʦ	0.059
tʰ	ʦ	0.577
tʰ	d̥	0.4
tː	x	0.413
tː	s	0.232
tː	ʦ	0.232
tː	t	0.069
ç	kʰ	0.126
ŋ	n	0.574
ŋ	-	0.288
ŋː	ŋ	1.0
ə	ə	0.715
ə	-	0.204
ə	i	0.079
ə_#>	#>	1.0
ɡ	ɡ̊	0.617
ɡ	-	0.266
ɡ	j	0.101
ɡ_#>	#>	0.251
ɡː	k	0.794
ɡː	-	0.165
ɪ	i	0.501
ɳ	ʁ_n	0.517
ɳ	ʁ	0.45
ɾ	ʁ	0.951
ʂ	s	1.0
ʃ	ʃ	1.0
ʈ	ʦ	0.501
ʋ	ʋ	0.432
ʋ	-	0.209
ʋ	f	0.129
ʋ	w	0.097
ʋ	ə	0.064
ʋ	v	0.055
ˈeː	ˈei̯	0.307
ˈeː	ˈæ	0.233
ˈeː	ˈɒː	0.153
ˈeː	ˈæː	0.113
ˈeː	ˈe	0.078
ˈeː	ˈəi̯	0.076
ˈiː	ˈiː	0.468
ˈiː	ˈi	0.332
ˈiː	ˈeː	0.093
ˈiː	ˈiː_t	0.075
ˈoː	ˈoː	0.74
ˈoː	ˈɒ	0.124
ˈoː	ˈɒː	0.092
ˈuː	ˈʊː	0.45
ˈuː	ˈo	0.247
ˈuː	ˈøː	0.121
ˈuː	ˈəi̯	0.082
ˈuː	-	0.064
ˈyː	ˈiː	0.922
ˈyː	ˈei̯	0.064
ˈæ	ˈæ	1.0
ˈæɪ̯	ˈəi̯	0.463
ˈæɪ̯	j	0.282
ˈæɪ̯	ˈaː	0.214
ˈæː	ˈe	0.629
ˈæː	ə	0.361
ˈøː	ˈoː	0.449
ˈøː	ˈeː	0.231
ˈøː	ˈiː	0.098
ˈøː	ˈæː	0.078
ˈøː	ˈʊː	0.078
ˈøː	ˈœ	0.063
ˈœ	ˈi	0.29
ˈœ	ˈiː	0.29
ˈœ	ˈoː	0.11
ˈœ	w	0.076
ˈœ	ˈai̯	0.076
ˈœ	ˈʊː	0.076
ˈœʏ̯	ˈʊː	0.501
ˈɑ	ˈɒ	0.704
ˈɑ	ˈɒː	0.157
ˈɑ	ˈoː	0.062
ˈɑ	ˈɒ_s	0.062
ˈɑː	ˈɒ	0.607
ˈɑː	ˈɒː	0.349
ˈɔ	ˈo	0.45
ˈɔ	ˈu	0.226
ˈɔ	ˈɒ	0.13
ˈɛ	ˈe	0.265
ˈɛ	ˈəi̯	0.196
ˈɛ	ˈi	0.185
ˈɛ	ˈɒ	0.113
ˈɛ	ˈɒː	0.113
ˈɛ	ˈeː	0.087
ˈɪ	ˈi	0.807
ˈɪ	ˈe	0.124
ˈɪ	ˈiː	0.05
ˈʉ	ˈo	0.456
ˈʉ	ˈu	0.165
ˈʉ	ˈe	0.165
ˈʉ	ˈyː	0.165
ˈʉː	ˈyː	0.487
ˈʉː	ˈo	0.107
ˈʉː	ˈʊː	0.107
ˈʉː	ˈø	0.085
ˈʉː	ˈøi̯	0.085
ˈʉː	ˈæː	0.083
ˈʉː	ˈiː	0.05
ˈʊ	ˈu	0.517
ˈʊ	ˈi	0.45
ˈʏ	ˈu	0.692
ˈʏ	ˈi	0.287
