Afrikaans	Old Norse	probability
b	b	0.983
d	d	0.471
d	θ	0.381
d	ð	0.117
f	f	0.647
f	v	0.275
i	ɑː	1.0
j	-	0.761
j	ˈeː	0.239
k	k	0.417
k	kʰ	0.222
k	c	0.178
k	ɡ	0.054
m	m	0.886
m	mː	0.056
n	n	0.615
n	nː	0.208
n	-	0.146
p	p	0.732
p	v	0.13
p	pː	0.081
p	-	0.057
r	r	0.842
r	rː	0.066
s	s	0.901
t	t	0.371
t	ð	0.21
t	-	0.143
t	tʰ	0.095
t	d	0.087
v	v	0.532
v	-	0.223
v	x	0.166
v	ç	0.055
w	v	0.656
w	tʰ	0.259
w	ˈɛː	0.052
ŋ	ŋ	0.878
ŋ	-	0.122
ə	i	0.357
ə	-	0.342
ə	u	0.145
ə	ɑ	0.088
ɦ	h	0.835
ɦ	ç	0.165
ɫ	l	0.84
ɫ	lː	0.093
ˈa	ˈɑ	0.545
ˈa	ˈa	0.101
ˈa	ˈɑː	0.095
ˈa	ˈɛ	0.088
ˈa	ˈɔ	0.088
ˈa	ˈe	0.058
ˈi	ˈoː	0.311
ˈi	j	0.194
ˈi	ˈiː	0.125
ˈi	ˈyː	0.09
ˈi	ˈeː	0.081
ˈi	ˈɛ	0.079
ˈoːi̯	ˈɑu̯	1.0
ˈu	ˈoː	0.594
ˈu	ˈøː	0.406
ˈuː	ˈoː	1.0
ˈuːi̯	ˈyː	0.5
ˈuːi̯	ˈøː	0.5
ˈyː	ˈuː	0.491
ˈyː	ˈyː	0.407
ˈyː	ˈɛ	0.102
ˈæ	ˈe	1.0
ˈæː	j_ˈɑ	0.515
ˈæː	ˈɑ	0.34
ˈæː	ˈɛ	0.075
ˈæː	-	0.071
ˈœ	ˈy	0.679
ˈœ	ˈu	0.203
ˈœ	ˈo	0.118
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈɑ	0.747
ˈœu̯	lː	0.147
ˈœu̯	a	0.106
ˈœɪ̯	ˈuː	0.885
ˈœɪ̯	ˈyː	0.079
ˈɑː	ˈɑː	0.428
ˈɑː	ˈɑ	0.36
ˈɑː	ˈe	0.089
ˈɑː	ˈo	0.053
ˈɔ	ˈu	0.698
ˈɔ	ˈo	0.154
ˈɔ	ˈɔː	0.067
ˈɔː	ˈɑ	0.686
ˈɔː	j	0.314
ˈə	ˈi	0.614
ˈə	ˈy	0.228
ˈə	ˈe	0.067
ˈəɪ̯	ˈɛi̯	0.407
ˈəɪ̯	ˈiː	0.342
ˈəɪ̯	ˈi	0.123
ˈəɪ̯	r	0.078
ˈɛ	ˈøː	0.393
ˈɛ	ˈe	0.286
ˈɛ	ˈi	0.149
ˈɛ	ˈyː	0.058
ˈɛ	ˈɑ	0.055
ˈɛː	ˈɑ	0.816
ˈɛː	ˈe	0.184
ˈɪ	ˈu	0.552
ˈɪ	ˈɔ	0.448
ˈɪø̯	ˈo	0.664
ˈɪø̯	ˈɛ	0.174
ˈɪø̯	ˈu	0.162
ˈɪə̯	ˈɛi̯	0.297
ˈɪə̯	j	0.277
ˈɪə̯	ˈe	0.208
ˈɪə̯	ˈi	0.105
ˈʊə̯	ˈo	0.375
ˈʊə̯	ˈøy̯	0.141
ˈʊə̯	ˈɑu̯	0.132
ˈʊə̯	ˈy	0.12
ˈʊə̯	ˈɑː	0.089
χ	ɡ	0.301
χ	ɣ	0.265
χ	tː	0.129
χ	ɟ	0.128
χ	ɡː	0.076
χ	ɟː	0.058
