East Frisian Low Saxon	Zeelandic	probability
χ	x	1.0
ˈʏə̯_ɣ̊	x_ə	1.0
ˈʏə̯	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	ˈɪ	1.0
ˈɛə̯	ˈæ	1.0
ˈɔː	ˈɛː	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒːɒ̯	ˈɛː	1.0
ˈɑːʊ̯	ˈɑu̯_w	1.0
ˈœːy̯	ˈɔ	1.0
ˈœy̯	ˈuː	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈiː	1.0
ˈyːʏ̯	t_ə	1.0
ˈyː	ˈiː	1.0
ˈuːu̯	ˈyː	1.0
ˈuː	ˈyː	1.0
ˈoːo̯	ˈʊə̯	1.0
ʊ	ˈuː	1.0
ɫ	ɫ	1.0
ɡ̊	k	1.0
ə	ə	1.0
ɑɪ̯	iː	1.0
z	z	1.0
w	ʋ	1.0
r_ˈɒːɒ̯	ɾ_ˈɛː	1.0
p	p	1.0
o	-	1.0
m	m	1.0
j	j	1.0
b	b	1.0
f	v	0.97
t	t	0.925
ˈɑ	ˈɑ	0.914
ˈɒː	ˈɛː	0.907
l	ɫ	0.903
d	d	0.875
d̥	d̥	0.856
ˈiː	ˈi	0.853
r	ɾ	0.844
ˈoː	ˈʊə̯	0.84
ɡ	x	0.831
v	ʋ	0.831
s	s	0.814
v̥	v̥	0.812
ˈʊ	ˈɔ	0.79
ˈɛ	ˈæ	0.772
k	k	0.725
ˈeː	ˈeː	0.723
ˈɑːɑ̯	ˈɑ	0.696
z̥	z̥	0.676
ɐ	ɾ	0.622
ŋ	ŋ	0.613
ˈɛːɪ̯	ˈiː	0.6
ˈøːø̯	-	0.593
ˈɪ	ˈɪ	0.575
ˈœ	ˈøː	0.559
ˈøː	ˈøː	0.528
n	n	0.524
s_k	s_x	0.513
ˈɑː	ˈɑ	0.5
ˈɑː	ˈæ	0.5
ˈeːe̯	ˈeː	0.5
ˈeːe̯	-	0.5
s_k	s	0.487
ˈæɪ̯	ˈɪə̯	0.474
ˈɑʊ̯	ˈuː	0.455
ˈœ	-	0.441
ˈøːø̯	ˈøː	0.407
ˈɛːɪ̯	ˈɪə̯	0.4
ŋ	ŋ_k	0.387
ˈɑʊ̯	ˈu	0.329
z̥	-	0.324
n	ə	0.311
ˈɑːɑ̯	-	0.304
ˈøː	ˈʏ	0.299
ˈeː	ˈɛː	0.277
ˈɪ	ˈi	0.275
k	k_ə	0.275
ˈæɪ̯	ˈiː	0.265
ˈɛ	-	0.228
ˈɑʊ̯	-	0.215
ˈʊ	ˈʏ	0.21
ɐ	ə_ɾ	0.209
v̥	-	0.188
s	z	0.186
ˈøː	ˈʊə̯	0.173
ɡ	x_ə	0.169
v	v	0.169
ɐ	ɾ_ə	0.161
ˈoː	ˈoː	0.16
r	ˈɔ_ɾ	0.156
ˈæɪ̯	ˈæi̯	0.155
ˈɪ	-	0.15
ˈiː	ˈyː	0.147
d̥	-	0.144
d	-	0.125
ˈæɪ̯	ˈiːə̯	0.106
n	n_d	0.095
ˈɒː	-	0.093
ˈɑ	ˈɒː	0.086
t	t_ə	0.075
n	n_ə	0.07
l	l	0.07
