Sassarese	Sassarese	probability
β	v	1.0
ˈɛ_tː	ˈɛə̯_t	1.0
ˈɔ_ɬ	ˈɔə̯_r	1.0
ˈɔ_n	ˈõũ̯	1.0
ˈu_n	ˈou̯_n	1.0
ˈo_n	ˈõũ̯	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_ɮ	ˈe	1.0
ˈa_ɬ	ˈeə̯	1.0
ˈa_tː	ˈa_t	1.0
ˈa_r	ˈeə̯_l	1.0
ˈa_n_i_#>	ˈʌ̃_#>	1.0
ˈa_n	ˈʌ̃	1.0
ˈa_#>	ˈeə̯_#>	1.0
ʧː	ʧ	1.0
ʧ	ʧ	1.0
ʦː	θ	1.0
ʦ_i	z	1.0
ʤː	-	1.0
ʣ	ð	1.0
ʒ	z	1.0
ʎː	j	1.0
ʃː	s	1.0
ɬ	s	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
x	k	1.0
w	v	1.0
v	v	1.0
tː_ˈu	w	1.0
tː	t	1.0
t_i	t	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
pː	p	1.0
o	u	1.0
nː	-	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː	k	1.0
k	k	1.0
i_ɬ	s	1.0
fː	f	1.0
f	f	1.0
e	a	1.0
dː_a	d_ɐ	1.0
bː	-	1.0
a_r	r	1.0
a_n	ɐ_n	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔə̯	1.0
<#_ˈa	<#_ˈʌ̃	1.0
<#_ʦ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_s	1.0
#>	n_#>	1.0
u_#>	#>	0.967
a	ɐ	0.957
p	p	0.935
n	n	0.929
d	d	0.917
b	b	0.85
ɲː	ɲ	0.714
r	r	0.667
ˈo	ˈou̯	0.579
i	-	0.571
ʤ	ð	0.556
ˈu	ˈo	0.529
j	j	0.529
ʦ	θ	0.5
ʦ	z	0.5
xː	r_k	0.5
xː	k	0.5
u	u	0.5
dː	l	0.45
ʤ	ʤ	0.444
ˈa	ˈeə̯	0.421
ˈɛ	ˈɛ	0.37
ˈu	ˈu	0.353
ˈɛ	ˈɛə̯	0.333
ˈɔ	ˈɔə̯	0.323
ˈɔ	ˈɔ	0.323
ˈe	ˈeː	0.308
ˈi	ˈi	0.3
dː	t	0.3
j	-	0.294
ɲː	n_ð	0.286
i	ɐ	0.286
ˈe	ˈɛ	0.269
ˈi	ˈɛ	0.267
ˈa	ˈʌ̃	0.263
r	l	0.255
dː	d	0.25
ˈe	ˈi	0.231
ˈo	ˈɔ	0.211
ˈo	ˈo	0.211
ˈa	ˈa	0.211
ˈi	ˈẽ	0.2
ˈe	ˈɛə̯	0.192
j	r	0.176
u	ɐ	0.167
b	v	0.15
ˈɛ	ˈẽ	0.148
ˈɔ	ˈou̯	0.129
ˈɔ	ˈo	0.129
i	i	0.127
u	l	0.125
ˈu	-	0.118
ˈi	ɐ_r	0.1
ˈɔ	ˈu	0.097
u	s	0.083
u	-	0.083
d	-	0.083
ˈɛ	ˈeː	0.074
ˈɛ	-	0.074
n	j̃	0.071
ˈi	ˈeː	0.067
ˈi	i	0.067
p	-	0.065
ˈa	ˈeə̯_l	0.053
ˈa	-	0.053
