Bulgarian	Bulgarian	probability
ˈ_#>	#>	1.0
ˈ	ˈ	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ɫ	ɫ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ɛ	1.0
ɛ_#>	ɛ_#>	1.0
ɐ_r	r̩	1.0
z̥	z̥	1.0
x_a	v_a	1.0
vʲ_a	v_ɛ	1.0
vʲ	v	1.0
v_a	v_a	1.0
v	v	1.0
u	u	1.0
tʲ	t	1.0
s_ɛ	s_ɛ	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	r_k	1.0
r_#>	r_#>	1.0
pʲ	p	1.0
p	p	1.0
o_#>	o_#>	1.0
o	o	1.0
nʲ	n	1.0
n_a	n_a	1.0
mʲ	m	1.0
m	m	1.0
lʲ	l	1.0
l	l	1.0
k	k	1.0
j_ɐ	ɛ	1.0
j	j	1.0
i_ˈ	i	1.0
f	f	1.0
d̥	d̥	1.0
dʲ	d_i	1.0
b̥	b̥	1.0
bʲ	-	1.0
b	b	1.0
a_ˈ	ɛ	1.0
<#_ɫ	<#_ɫ	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
#>	a_#>	1.0
d	d	0.955
n	n	0.933
t	t	0.893
i	i	0.889
ɔ	o	0.87
z	z	0.867
a	a	0.775
r	r	0.708
ɤ_ˈ	a_ˈ	0.636
x	-	0.571
ɛ	ɛ	0.535
ɐ	a	0.526
ʃ	ʃ	0.5
ʃ	c	0.5
ɤ	o	0.5
x	f	0.429
ɛ	ɛ_ˈ	0.372
ɤ_ˈ	ˈ	0.364
ɤ	u	0.25
ɤ	r̩	0.25
a	ɛ	0.225
ɐ	-	0.158
z	ʣ	0.133
ɐ	o	0.132
ɔ	ɔ	0.13
r	r̩	0.125
r	-	0.125
i	i_ˈ	0.111
t	-	0.107
ɐ	ɔ	0.105
ɐ	ɛ	0.079
n	ɲ	0.067
