Latin	Latin	probability
ˈʊ_k	w	1.0
ˈɪ_k	æɛ̯	1.0
ˈɛ̃ː	i	1.0
ˈɛ_t	j_æɛ̯	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_n	ã	1.0
ˈɛ_lʲː	oʊ̯	1.0
ˈɛ_k	i	1.0
ˈɔ_s	o	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈyː	ɪ	1.0
ˈuː_n	œ̃ʏ̯̃	1.0
ˈu	-	1.0
ˈoː_t	u	1.0
ˈoː_n	ɒ̃ʊ̯̃	1.0
ˈoː_d	øʏ̯	1.0
ˈoe̯	æɛ̯	1.0
ˈo	œ	1.0
ˈiː_n	ẽɪ̯̃	1.0
ˈiː_k	i	1.0
ˈi	-	1.0
ˈe	j	1.0
ˈaː_t	e	1.0
ˈaː_r	e	1.0
ˈaː_n	ẽɪ̯̃	1.0
ˈae̯	j_ɛ	1.0
ˈa_ɫ	oʊ̯	1.0
ˈa_ŋ	ã	1.0
ˈa_t	æɛ̯	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_k	æɛ̯	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	ẽɪ̯̃	1.0
ʊ_ɫ	j	1.0
ʊ_s	øʏ̯	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	ɛ	1.0
ɛ̃	-	1.0
ɛ_r	ʁ	1.0
ɛ_n	œ_n	1.0
ɛ_d	w	1.0
ɛ_#>	#>	1.0
ŋ_k	ẽɪ̯̃	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
t_r	ʁ	1.0
t_i	s	1.0
t_ãː_#>	#>	1.0
sː	s	1.0
s_p	e_p	1.0
s_#>	#>	1.0
rː	ʁ	1.0
r_ˈaː	ʁ_æɛ̯	1.0
r_ˈa	ʁ	1.0
r_ɛ	ɛ_ʁ	1.0
r_n	ʁ	1.0
r	ʁ	1.0
p_ɛ	v	1.0
o	-	1.0
nː	-	1.0
n_ʊ̃ː	ẽɪ̯̃	1.0
n_ɛ	d	1.0
n_i	ẽɪ̯̃	1.0
n_ãː	n	1.0
n_a	n	1.0
mː	m	1.0
m_ɪ_n	a_m	1.0
lʲː_ãː	l	1.0
lʲː	l	1.0
lʲ	l	1.0
kʰ	ɛ_f	1.0
k_ˈiː	z	1.0
k_ˈa	ʃ	1.0
k_ɛ̃ː_#>	#>	1.0
k_ɛ	t	1.0
k_t	i	1.0
k_r	k_ʁ	1.0
k_i	s	1.0
j	ʒ	1.0
ĩː	i	1.0
iː	-	1.0
i_ʊ̃ː	i	1.0
i	-	1.0
h	-	1.0
fː	f	1.0
f	f	1.0
eː	-	1.0
e	-	1.0
ãː_#>	#>	1.0
ãː	ɲ	1.0
au̯	-	1.0
a_t	æɛ̯	1.0
a_n	ã	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_œ	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
