North Frisian	Nynorsk Norwegian	probability
b	b	0.965
d	d	0.582
d	-	0.296
d	tʰ	0.057
d	t	0.054
dʲ	-	0.87
dʲ	d	0.13
f	f	0.816
f	ʋ	0.099
f	-	0.053
h	h	0.862
h	j	0.138
i	-	0.566
i	e	0.174
i	ɑ	0.136
i	ɪ	0.125
j	-	0.412
j	ɡ	0.278
j	j	0.209
j	ɡː	0.065
k	k	0.392
k	kʰ	0.373
k	ɕ	0.086
k	ɡ	0.066
l	l	0.844
l	lː	0.105
lʲ	lː	0.488
lʲ	l	0.322
lʲ	ɾ	0.191
m	m	0.836
m	mː	0.104
m	-	0.059
n	n	0.793
n	nː	0.159
nʲ	n	0.411
nʲ	nː	0.33
nʲ	-	0.129
nʲ	ˈiː	0.129
p	p	0.555
p	pʰ	0.187
p	ʰpː	0.166
p	-	0.092
r	ɾ	0.933
r	-	0.067
s	s	0.815
s	ʃ	0.082
s	-	0.052
t	t	0.467
t	tʰ	0.326
t	ɕ	0.063
t	-	0.062
tʲ	t	0.784
tʲ	ʰtː	0.172
v	ʋ	0.473
v	-	0.346
v	kʰ_ʋ	0.09
w	ˈiː	0.391
w	ɡː	0.217
w	e	0.216
w	ɑ	0.103
w	ɡ	0.073
x	ʰtː	0.718
x	s	0.125
x	k	0.097
x	ɡ	0.06
z	t	0.537
z	s	0.317
z	ɾ	0.115
ŋ	ŋː	0.661
ŋ	ŋ	0.21
ŋ	-	0.066
ŋ	ɲ	0.063
ə	ɑ	0.482
ə	-	0.264
ə	e	0.189
ɛi̯	e	1.0
ɡ	ɡ	0.963
ʃ	s	0.45
ʃ	ʃ	0.401
ʃ	ɕ	0.149
ˈa	ˈɛ	0.153
ˈa	ˈɑ	0.146
ˈa	ˈʏ	0.103
ˈa	ˈɪ	0.094
ˈa	ˈɑː	0.086
ˈa	-	0.084
ˈa	ˈæː	0.083
ˈa	ˈeː	0.077
ˈa	ˈuː	0.059
ˈa	ˈʉ	0.055
ˈai̯	ˈɪ	0.635
ˈai̯	ˈæː	0.243
ˈai̯	ˈyː	0.121
ˈaː	ˈeː	0.282
ˈaː	ˈoː	0.275
ˈaː	ˈœ	0.186
ˈaː	ˈɔ	0.146
ˈaː	ˈiː	0.11
ˈeː	ˈʏ	0.208
ˈeː	ˈeː	0.19
ˈeː	ˈɛ	0.167
ˈeː	ˈɑː	0.096
ˈeː	ˈiː	0.068
ˈeː	ˈɑ	0.062
ˈeː	j	0.055
ˈeː	ˈoː	0.055
ˈi	ˈiː	0.504
ˈi	ˈɪ	0.209
ˈi	ˈʊ	0.08
ˈi	ˈeː	0.074
ˈi	ˈɛ	0.061
ˈiː	ˈæɪ̯	0.219
ˈiː	ˈyː	0.211
ˈiː	ˈœʏ̯	0.118
ˈiː	ˈʉː	0.116
ˈiː	ˈiː	0.104
ˈiː	ˈoː	0.081
ˈiː	ˈɪ	0.06
ˈu	ˈœ	0.666
ˈu	ˈɛ	0.334
ˈuː	ˈæʉ̯	0.25
ˈuː	ˈoː	0.239
ˈuː	ˈɑ	0.223
ˈuː	ˈuː	0.071
ˈuː	ˈœʏ̯	0.069
ˈuː	ˈeː	0.066
ˈuː	ˈʉː	0.06
ˈyː	ˈʉː	0.358
ˈyː	ˈæʉ̯	0.141
ˈyː	ˈʉ	0.128
ˈyː	ˈɛ	0.109
ˈyː	ˈoː	0.104
ˈyː	-	0.057
ˈøː	ˈʉː	0.513
ˈøː	ˈʉ	0.374
ˈøː	ˈyː	0.068
ˈœ	ˈɑ	0.526
ˈœ	ˈuː	0.182
ˈœ	ˈɔ	0.112
ˈœ	ˈʏ	0.112
ˈœi̯	ˈuː	1.0
ˈɒ	ˈɑ	0.445
ˈɒ	ˈuː	0.204
ˈɒ	ˈæɪ̯	0.118
ˈɒ	ˈɛ	0.086
ˈɒ	ˈɑː	0.076
ˈɒ	ˈɔ	0.071
ˈɒː	ˈɑː	0.496
ˈɒː	ˈɛ	0.208
ˈɒː	ˈɑ	0.121
ˈɒː	ˈeː	0.105
ˈɒː	ˈoː	0.069
ˈɔ	ˈʊ	0.466
ˈɔ	ˈɔ	0.365
ˈɔ	ˈuː	0.168
ˈɔi̯	ˈɛ	1.0
ˈɔu̯	ˈoː	0.382
ˈɔu̯	-	0.244
ˈɔu̯	ˈɑ	0.127
ˈɔu̯	ˈuː	0.094
ˈɔu̯	ˈɔ	0.078
ˈɔu̯	jː	0.075
ˈɔː	ˈɑ	0.283
ˈɔː	ˈʉː	0.248
ˈɔː	j_ˈœ	0.13
ˈɔː	ˈɔ	0.129
ˈɔː	ˈʉ	0.104
ˈɔː	ˈoː	0.068
ˈɛ	ˈøː	0.489
ˈɛ	ˈɪ	0.333
ˈɛ	ˈæ	0.177
ˈɛi̯	ˈøː	0.269
ˈɛi̯	ˈoː	0.207
ˈɛi̯	ˈɛ	0.179
ˈɛi̯	ˈeː	0.162
ˈɛi̯	nː	0.106
ˈɛi̯	ˈɑː	0.077
ˈɛː	ˈoː	0.334
ˈɛː	ˈɑ	0.286
ˈɛː	ˈeː	0.164
ˈɛː	ˈuː	0.102
ˈɛː	ˈæː	0.057
ˈɛː	ˈøː	0.057
ˈʊ	ˈʉ	0.447
ˈʊ	ˈɑ	0.229
ˈʊ	ˈʏ	0.189
ˈʊ	ˈoː	0.063
ˈʊ	ˈʉː	0.062
ˈʏ	ˈʏ	0.691
ˈʏ	ˈʉː	0.223
ˈʏ	ˈʉ	0.087
