Pennsylvania German	Ripuarian	probability
b	b	1.0
d	d	0.887
d	t	0.11
f	f	0.945
f	v	0.036
f	p	0.035
h	h	0.924
h	k	0.076
j	j	0.582
j	ɣ	0.173
j	n	0.114
k	k	0.647
k	ɕ	0.197
k	x	0.102
k	-	0.05
kʰ	k	0.901
kʰ	-	0.091
l	l	0.978
l	n	0.028
m	m	1.0
n	n	0.796
n	ŋ	0.178
n	l	0.03
p	f	0.536
p	p	0.445
p_t	p	1.0
p͡f	f	0.238
s	s	0.569
s	z	0.348
s	ʦ	0.055
s	t	0.031
t	t	0.724
t	k	0.215
t	-	0.06
v	v	0.733
v	n	0.113
v	ʋ	0.113
x	x	0.75
x	-	0.183
x_t	x	1.0
ç	ɕ	0.727
ç	k	0.103
ç	ŋ	0.103
ç	-	0.061
ç_t	ɕ	1.0
ŋ	ŋ	1.0
ɑ	ɐ	0.933
ɑ	-	0.047
ɑ	ˈyː	0.035
ɑ_t	t	0.116
ə	ə	0.839
ə	-	0.156
ɡ	j	0.898
ɡ	k	0.093
ɣ	ɣ	0.561
ɣ	-	0.18
ɣ	n	0.11
ɪ	ɪ	0.437
ɪ	-	0.213
ɪ	ə	0.186
ɾ	ʀ	1.0
ɾ_ə	ɐ	1.0
ɾ_ɪ	ɐ	1.0
ʃ	ʃ	0.872
ʃ	s	0.118
ʃ_ʋ	z	1.0
ʋ	ʋ	0.911
ʋ	v	0.084
ʦ	ʦ	1.0
ˈa	ˈa	0.657
ˈa	ˈaː	0.231
ˈa	ˈɛː	0.043
ˈa	ˈe	0.042
ˈa	ˈoː	0.04
ˈaɪ̯	ˈiː	0.336
ˈaɪ̯	ˈyː	0.139
ˈaɪ̯	ˈeɪ̯	0.095
ˈaɪ̯	ˈʏ	0.078
ˈaɪ̯	ˈɛ	0.072
ˈaɪ̯	ˈeː	0.062
ˈaɪ̯	ˈœ	0.062
ˈaɪ̯	ˈøː	0.054
ˈaɪ̯	ˈɔʏ̯	0.052
ˈaɪ̯	ˈɪ	0.044
ˈaʊ̯	ˈuː	0.619
ˈaʊ̯	ˈaʊ̯	0.271
ˈaʊ̯	ˈɔ	0.097
ˈaː	ˈoː	0.212
ˈaː	ˈɔ	0.184
ˈaː	ˈɛː	0.16
ˈaː	ˈa	0.14
ˈaː	ˈaː	0.14
ˈaː	ˈʊ	0.14
ˈeː	ˈeː	0.333
ˈeː	ˈiː	0.159
ˈeː	ˈeː_n	0.139
ˈeː	ˈɛː	0.135
ˈeː	ˈyː	0.118
ˈeː	ˈʏ	0.078
ˈiː	ˈeː	0.491
ˈiː	ˈøː	0.258
ˈiː	ˈiː	0.145
ˈiː	ˈɪ	0.095
ˈoː	ˈuː	0.428
ˈoː	ˈoː	0.382
ˈoː	ˈøː	0.091
ˈoː	ˈɔ	0.091
ˈuː	ˈoː	1.0
ˈɔ	ˈɔ	0.7
ˈɔ	ˈo	0.116
ˈɔ	ˈaʊ̯	0.088
ˈɔ	ˈu	0.081
ˈɔɪ̯	ˈeɪ̯	1.0
ˈɔː	ˈaː	0.265
ˈɔː	ˈoː	0.21
ˈɔː	ˈaʊ̯	0.192
ˈɔː	ˈa	0.158
ˈɔː	ˈɔ	0.062
ˈɔː	ˈɛ	0.051
ˈɔː	ˈøː	0.045
ˈɛ	ˈɛ	0.575
ˈɛ	ˈɛː	0.154
ˈɛ	ˈœ	0.102
ˈɛ	ˈɪ	0.067
ˈɛ	ˈe	0.054
ˈɛ	ˈiː	0.038
ˈɛː	ˈɛ	0.304
ˈɛː	ˈiː	0.265
ˈɛː	ˈɛː	0.2
ˈɛː	ˈoː	0.152
ˈɛː	ʀ	0.053
ˈɛː_ɑ	ˈɛː	1.0
ˈɪ	ˈɪ	0.306
ˈɪ	ˈe	0.287
ˈɪ	ˈœ	0.141
ˈɪ	ˈɛ	0.079
ˈɪ	ˈʏ	0.079
ˈɪ	ˈa	0.045
ˈɪ	ˈeː	0.045
ˈʊ	ˈo	0.356
ˈʊ	ˈoː	0.15
ˈʊ	ˈu	0.114
ˈʊ	ˈœ	0.086
ˈʊ	ˈyː	0.069
ˈʊ	ˈɔ	0.069
ˈʊ	ˈuː	0.068
ˈʊ	ˈʊ	0.068
