Latin	Latin	probability
ˈɪ	ˈi	1.0
ˈɛ̃ː	ˈu_ɪ	1.0
ˈyː	-	1.0
ˈuː	ˈu	1.0
ˈu	ˈu	1.0
ˈoː_t	ˈu_tː	1.0
ˈoː_r	ˈu_ɾ	1.0
ˈoe̯	ˈe	1.0
ˈi	ˈi	1.0
ˈeː	ˈi	1.0
ˈaː	ˈa	1.0
ˈae̯	ˈɛ	1.0
ˈa	ˈa	1.0
ʊ̃ː	ʊ	1.0
ʊ_ɫ	cː	1.0
ɫ_ˈɛ	l_ˈɛ	1.0
ɪ̃	-	1.0
ɪ_t	i_t	1.0
ɡʷ	ɡ	1.0
ɡ_ɫ	ɟ	1.0
ɡ_ɪ_d	dː	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	ɪ	1.0
ɛ_r	ɪ_ɾ	1.0
ŋ_n	ɲː	1.0
ŋ_k	n	1.0
uː	-	1.0
u	-	1.0
tʰ	t	1.0
t_ˈeː	t_ˈi	1.0
t_r	ʈ_ɽ	1.0
t_i	ʦː	1.0
sː	sː	1.0
s_k	ʃː	1.0
rː	ʐː	1.0
r_ʊ̃ː	ɾ_ʊ	1.0
r_n	ɾ_n	1.0
r_k	r_k	1.0
p_ʊ̃ː	p_ʊ	1.0
p_ɫ	c	1.0
oː	-	1.0
nː	nː	1.0
n_i	ɲː	1.0
n_d	nː	1.0
mː	-	1.0
lʲː	ɖː	1.0
lʲ_i	ɟː	1.0
lʲ	l	1.0
k_ʊ	ˈɔ	1.0
k_ɛ̃ː	ɕ_ɪ	1.0
k_t	tː	1.0
k_r	k_ɾ	1.0
ĩː	-	1.0
iː_#>	ɪ_#>	1.0
i_ãː	a	1.0
i	-	1.0
fː	fː	1.0
f_ɫ	ç	1.0
f	f	1.0
eː	i	1.0
e	-	1.0
d_i	j	1.0
ãː	a	1.0
aː	a	1.0
au̯	a_w	1.0
a	a	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_h	<#	1.0
ˈɛ	ˈɛ	0.944
n	n	0.926
ˈiː	ˈi	0.917
p	p	0.911
ɛ̃ː	ɪ	0.905
ˈɔ	ˈɔ	0.889
t	t	0.886
w	v	0.875
ˈʊ	ˈu	0.864
m	m	0.811
ɛ	ɪ	0.75
ŋ	ŋ	0.75
#>	ʊ_#>	0.75
ɫ	l	0.739
s	s	0.725
ˈoː	ˈu	0.692
k	k	0.679
tː	tː	0.667
s_#>	j_#>	0.667
n_e	ɲː	0.667
kː	kː	0.667
j	j	0.6
ɔ	-	0.571
r	ɾ	0.545
b	b	0.542
ˈaː_t	ˈa_t	0.5
ˈaː_t	ˈa	0.5
ʊ	u	0.5
ʊ	-	0.5
iː	i	0.5
iː	-	0.5
ae̯	ɪ	0.5
ae̯	-	0.5
ɪ	-	0.476
d	d	0.458
r	r	0.418
j	ʤ	0.4
d	ɾ	0.375
tː	ʈː	0.333
s_#>	#>	0.333
n_e	ɲ	0.333
kː	-	0.333
kʷ	k	0.333
<#	<#_ˈɔ	0.333
<#	<#_n	0.333
<#	<#_a	0.333
ˈoː	-	0.308
ɡ	ɡ	0.292
ɡ	-	0.292
b	v	0.292
ɪ	i	0.286
ɔ	u	0.286
ɡ	j	0.25
ŋ	n	0.25
#>	ɪ_#>	0.25
ɪ	ɪ	0.238
kʷ	ɕ	0.222
kʷ	w	0.222
kʷ	k_w	0.222
s	ʃ	0.2
k	ɕ	0.189
ɫ	-	0.174
ɛ	i	0.173
ɔ	o	0.143
ˈʊ	ˈɔ	0.136
m	-	0.135
k	-	0.132
w	-	0.125
b	-	0.125
t	-	0.114
ˈɔ	ˈo	0.111
ɛ̃ː	ʊ	0.095
p	-	0.089
ˈiː	ɪ	0.083
ɡ	ɕ	0.083
ɡ	w	0.083
d	j	0.083
d	-	0.083
s	z	0.075
ˈɛ	-	0.056
m	mː	0.054
