Logudorese	Logudorese	probability
β	β	1.0
ˈɔ_ɾ	ˈo_ɾ	1.0
ʦ	-	1.0
ɾ_u	ɾ_e	1.0
ɾ_b	ɾ_β	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɣ_u	o	1.0
ɛ_ɾ	ɾ	1.0
ɛ_n	b_ɾ	1.0
ɔ_l	o_l	1.0
ð_ɛ_#>	t_#>	1.0
z_ɛ̆	s	1.0
z_ɔ̆	s	1.0
z_u	z	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ_#>	j_#>	1.0
t_a	t_a	1.0
p_j	p_l	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
o	-	1.0
n_ʣ	ɲ	1.0
n_t	ˈe_n	1.0
m_b	ŋ_k	1.0
l_ˈi	l_ˈe	1.0
k_ˈɔ	k_ˈo	1.0
k_ɾ	k_l	1.0
k_ɛ	ʃ_ˈe	1.0
k_i	θ	1.0
i_n	b_ɾ	1.0
f	f	1.0
ă	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʧ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a	<#_a	1.0
n	n	0.953
l	l	0.939
a	a	0.931
ɛ_#>	#>	0.923
u	o	0.921
d	d	0.867
ˈa	ˈa	0.833
ɾ	ɾ	0.819
m	m	0.818
s	s	0.808
ɔ	o	0.8
t	t	0.786
ˈu	ˈu	0.781
b	b	0.778
ð	ð	0.75
<#_i	<#_e	0.75
k	k	0.738
ʣ	ʎ	0.714
ˈo	w_ˈe	0.7
ˈi	ˈi	0.614
r	ɾ_n	0.6
nː	ɲ	0.6
<#	<#_a	0.6
i	e	0.562
ɛ	e	0.56
ɖː	ʎ	0.556
z	s	0.538
ˈɔ	w_ˈe	0.5
ɣ_ɛ	ˈe_θ	0.5
ɣ_ɛ	ˈe	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
e	e	0.5
e	-	0.5
ɣ	ɣ	0.471
z	-	0.462
ɖː	l	0.444
ˈɛ	ˈe	0.44
ɣ	θ	0.412
ˈe	ˈe	0.4
ˈe	j_ˈe	0.4
r	ˈe_r	0.4
nː	-	0.4
<#	<#_k	0.4
ɡ	ɡ	0.375
ɡ	-	0.375
ˈɛ	j_ˈe	0.32
j	-	0.312
ˈo	ˈo	0.3
ˈi	ˈe	0.295
ˈɔ	ˈo	0.292
ʣ	-	0.286
ɡ	ʧ	0.25
i	-	0.25
<#_i	<#	0.25
ɛ	ˈe	0.24
ˈu	ˈo	0.219
k	θ	0.214
ˈe	j	0.2
ɔ	-	0.2
s	-	0.192
j	ˈe_ʎ	0.188
i	ˈi	0.188
ˈɛ	j	0.16
t	j_t	0.143
d	ð	0.133
ˈɔ	w	0.125
ɾ	l	0.125
ð	t	0.125
ð	-	0.125
j	β_j	0.125
j	ˈe	0.125
j	ʎ	0.125
j	u	0.125
ɛ	β	0.12
ɣ	j	0.118
b	ʧ	0.111
b	ɡ	0.111
m	ŋ	0.091
m	m_b	0.091
ˈɔ	-	0.083
ˈɛ	ʝ	0.08
ɛ	ɾ	0.08
ɛ_#>	w_#>	0.077
ˈa	-	0.076
t	-	0.071
ˈa	a	0.061
l	l_ˈe	0.061
