Limburgish	Limburgish	probability
β_ˈɪː	w	1.0
ˈʏː	-	1.0
ˈʏ_n	ˈu_nː	1.0
ˈʏ	mː	1.0
ˈʊ	ˈu	1.0
ˈɪː	ˈi	1.0
ˈɔu̯	ˈuː	1.0
ˈɔ_l	ˈu_lː	1.0
ˈɔ	ˈu	1.0
ˈɑː_n	ˈɑ_n	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈœː	ˈu	1.0
ˈœ	ˈu_ɣ	1.0
ˈæ	ˈɑ	1.0
ˈuː	ˈuː	1.0
ˈu	ˈɑu̯	1.0
ˈi_x	ˈe_k	1.0
ˈaː_t	ˈɑ_t	1.0
ʃ	s_k	1.0
ʀ_#>	r_#>	1.0
ɪ	-	1.0
ɦ	x	1.0
ɣ	ɣ	1.0
ɡ	ɣ_j	1.0
ə_m	m_ɑ	1.0
ə_l	l_ɑ	1.0
ə_#>	n_ɑ̃_#>	1.0
ŋ	ŋ	1.0
w	l	1.0
i	e_x	1.0
b	b	1.0
<#_ˈɛː	<#_ˈɑi̯	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
z	s	0.923
n	n	0.907
β	w	0.862
l	l	0.848
m	m	0.84
v	ɸ	0.839
ʀ	r	0.825
ˈaː	ˈɑ	0.789
z̥	s	0.778
ˈɛːi̯	-	0.75
ˈɛː	ˈɑi̯	0.688
ˈɒː	ˈɛː	0.667
ˈøː	ˈɔː	0.667
ˈæː	ˈe	0.667
ˈiː	ˈiː	0.667
ˈʊː	ˈu	0.64
ˈyː	ˈɑu̯	0.6
t	t	0.594
ˈɔː	ˈɑu̯	0.571
ˈoː	ˈu	0.571
p	p	0.562
s	s	0.56
k	k	0.556
d	d	0.513
ˈɛ	ˈi	0.5
ˈɛ	-	0.5
ˈœi̯	ˈiu̯	0.5
ˈœi̯	-	0.5
v̥	β_ɑ	0.5
d	θ	0.487
#>	z_#>	0.449
ˈɔː	ˈu	0.429
ˈoː	ˈɔː	0.429
ˈyː	-	0.4
x	ɣ_ɑ	0.381
ˈɪ	ˈi	0.375
ˈɪ	-	0.375
ˈeː	ˈe	0.375
ˈeː	ˈeu̯	0.344
ˈɒː	ˈɑ	0.333
ˈøː	-	0.333
ˈæː	ˈɑ	0.333
ˈiː	-	0.333
x	x_t	0.333
j	ð	0.333
ə	ɑ_n	0.328
t	t_ɑ	0.312
p	p_ɑ	0.312
#>	ɑ̃_#>	0.303
v̥	ɸ	0.3
d̥	ð	0.3
ˈi	ˈɑi̯_w	0.273
ˈi	-	0.273
ˈɪ	nː	0.25
ˈɛːi̯	jː	0.25
j	l	0.25
j	j	0.25
ˈʊː	ˈɔː	0.24
s	s_k	0.24
z̥	s_ɑ̃	0.222
v̥	β	0.2
s	s_t	0.2
d̥	θ	0.2
x	ɣ	0.19
ˈɛː	ˈi	0.188
ˈi	ˈɑi̯	0.182
ˈi	ˈe	0.182
#>	ɑ_z_#>	0.18
j	ð_ɑ	0.167
ə	-	0.164
v	β	0.161
m	m_ɑ	0.16
k	j	0.148
β	xʷ	0.138
d̥	θ_ɑ̃	0.133
d̥	d_ɑ	0.133
ˈɛː	-	0.125
p	pː	0.125
ˈʊː	-	0.12
k	ɡ_ɑ	0.111
k	k_i	0.111
ˈaː	ˈɑ_l	0.105
ˈaː	-	0.105
d̥	d	0.1
x	x	0.095
ˈeː	ˈɑ	0.094
ˈeː	ˈi	0.094
t	tː	0.094
ˈi	ˈĩː	0.091
l	l_ɑ	0.091
ə	ɑ	0.09
ə	i	0.09
ʀ	z	0.079
z	s_w	0.077
ə	u	0.075
k	kʷ_ɑ	0.074
n	nː	0.07
d̥	ð_i	0.067
d̥	d_u	0.067
ʀ	r_ɑ	0.063
ˈeː	ˈe_ð	0.062
l	ˈe_l	0.061
ə	ɛː	0.06
ə	ɑ̃	0.06
#>	s_#>	0.056
