Bellunese	Ligurian	probability
f	f	1.0
i	i	1.0
k	k	1.0
m	m	1.0
p	p	1.0
w	w	1.0
z	ʒ	1.0
ð	z	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʧ	ʤ	1.0
θ	s	1.0
a	a	0.961
j	ʤ	0.771
ˈɛ	ˈeː	0.341
o	w	0.092
t	t_u	0.12
v	v	0.952
ˈɔ	ˈɔː	0.782
d	-	0.213
r	-	0.123
ˈo	ˈøː	0.153
b	-	0.14
n	n	0.524
s	s_u	0.084
t	t	0.674
ˈi	ˈi	0.774
ˈu	ˈy	0.494
ˈɛ	ˈɛ	0.104
l	-	0.055
r	j	0.225
ˈa	ˈɛː	0.195
ˈɛ	ˈɛː	0.185
b	b	0.86
e	i	0.136
e	-	0.336
o	u	0.836
r	r	0.606
ˈi	ˈiː	0.226
ˈo	ˈu	0.56
ˈu	ˈyː	0.506
d	d	0.787
l	l	0.587
s	ʃ	0.117
t	t_e	0.177
ŋ	ŋ	0.957
ˈa	ˈa	0.737
ˈo	ˈuː	0.287
ˈɛ	ˈe	0.37
e	e	0.528
ˈa	ˈaː	0.068
j	-	0.229
l	l_u	0.359
n	ŋ	0.449
s	s	0.799
ˈe	ˈe	0.909
ˈɔ	ˈø	0.109
ˈɔ	ˈɔ	0.109
