Pennsylvania German	Gothic	probability
#>	#>	0.715
#>	n_#>	0.15
#>	a_#>	0.051
<#	<#	0.98
b	b	0.951
b	t	0.056
d	θ	0.407
d	d	0.371
d	t	0.1
d	ð	0.089
f	f	0.588
f	p	0.131
f	p_s	0.118
f	i_f	0.078
f	f_s	0.053
h	h	1.0
j	j	0.74
j	ɡ	0.145
k	ɡ_s	0.334
k	ɣ	0.178
k	x	0.148
k	h	0.1
k	k	0.1
kʰ	k	0.944
kʰ	-	0.051
l	l	0.877
l	lː	0.104
m	m	0.66
m	m_s	0.221
m	-	0.085
n	n	0.719
n	nː	0.101
n	n_θ	0.058
p	f_s	0.362
p	b	0.239
p	β	0.239
p	p	0.108
s	s	0.643
s	t	0.234
s	-	0.06
t	θ	0.299
t	t	0.179
t	d_s	0.146
t	t_s	0.102
t	θ_s	0.102
t	d	0.089
v	β	0.653
v	ʍ	0.199
v	f	0.126
x	h	1.0
ç	k	0.54
ç	h	0.189
ç	x	0.127
ç	ɣ	0.092
ŋ	ŋ_ɡ	0.582
ŋ	ŋ	0.214
ŋ	h	0.186
ɑ	a	0.319
ɑ	r	0.282
ɑ	-	0.182
ɑ	oː	0.115
ɑ	ˈiː_s	0.056
ə	a	0.531
ə	-	0.137
ə	u	0.104
ə	j_a	0.088
ə	aː	0.051
ɡ	ɡ	0.922
ɡ	k	0.067
ɣ	ɡ	0.644
ɣ	h	0.249
ɪ	a	0.235
ɪ	u	0.235
ɪ	ˈi	0.137
ɪ	-	0.087
ɾ	r	0.923
ɾ	j	0.077
ʃ	s	0.599
ʃ	s_k	0.257
ʃ	k_s	0.136
ʋ	w	0.927
ʋ	ʍ	0.074
ʦ	t	1.0
ˈa	ˈa	0.922
ˈaɪ̯	ˈiː	0.333
ˈaɪ̯	ˈiu̯	0.247
ˈaɪ̯	ˈiː_s	0.147
ˈaɪ̯	ˈoː	0.097
ˈaɪ̯	j	0.078
ˈaɪ̯	ˈɛː	0.078
ˈaʊ̯	ˈuː	0.871
ˈaʊ̯	ˈu	0.08
ˈaː	ˈa_r	0.348
ˈaː	ˈɔ_r	0.31
ˈaː	ˈa	0.174
ˈaː	ˈɔ	0.127
ˈeː	ˈɔː	0.21
ˈeː	ˈɛː	0.188
ˈeː	ˈɛː_w	0.183
ˈeː	ˈɛ	0.139
ˈeː	ˈɛː_n	0.139
ˈeː	ˈi	0.105
ˈiː	ˈiu̯	0.944
ˈiː	ˈi	0.051
ˈoː	ˈɔː	0.419
ˈoː	ˈeː	0.27
ˈoː	ˈɔ	0.212
ˈoː	ˈu	0.063
ˈuː	ˈoː	0.843
ˈuː	ˈuː	0.135
ˈɔ	ˈu	0.803
ˈɔ	ˈɔː	0.145
ˈɔɪ̯	ˈa	1.0
ˈɔː	ˈa	0.388
ˈɔː	ˈɔː	0.319
ˈɔː	ˈɔ	0.105
ˈɔː	ˈeː	0.102
ˈɔː	ˈiu̯	0.061
ˈɛ	ˈa	0.314
ˈɛ	ˈɛ	0.238
ˈɛ	ˈi	0.207
ˈɛ	w	0.082
ˈɛ	ˈɛː	0.082
ˈɛ	ˈu	0.066
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	0.903
ˈɪ	ˈu	0.062
ˈʊ	ˈu	0.761
ˈʊ	ˈoː	0.111
ˈʊ	ˈuː	0.108
