Latin	Logudorese	probability
ae̯	a	1.0
au̯	a	1.0
e	-	1.0
f	f	1.0
j	j	1.0
kː	k	1.0
nː	nː	1.0
oː	o	1.0
rː	rː	1.0
sː	sː	1.0
tː	t	1.0
u	-	1.0
uː	u	1.0
ɡʷ	b	1.0
ˈeː	ˈe	1.0
ˈoː	ˈo	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
ˈɔ	ˈo	1.0
b	-	0.311
k	ɣ	0.311
ɔ	ˈo	0.191
ɛ̃ː	e_n	0.051
ɡ	b	0.201
ɪ	e	0.1
ˈiː	ˈi	0.891
ãː	a	0.742
d	ɖ	0.062
eː	e	0.802
iː	-	0.552
n	-	0.052
ɪ	ˈi	0.062
ʊ	u	0.852
ˈʊ	ˈu	0.882
a	a	0.793
aː	-	0.223
ãː	-	0.113
d	-	0.33
kʷ	k	0.493
lʲː	sː	0.123
p	β	0.113
r	r	0.863
a	-	0.114
i	j	0.124
i	-	0.754
lʲ	-	0.864
s	z	0.14
s	s	0.784
ŋ	ŋ	0.284
ɛ̃ː	e	0.904
ɫ	-	0.174
ˈa	-	0.074
ˈaː	ˈa	0.934
i	u	0.055
k	-	0.245
k	k	0.445
m	m	0.865
n	n	0.875
t	ð	0.365
w	b	0.595
ɛ̃	<#_i	0.5
ɛ̃	e	0.5
ɡ	ɡ	0.5
ʊ	i	0.055
lʲ	l	0.136
t	-	0.056
t	t	0.546
ˈa	ˈa	0.926
ˈaː	<#_i	0.066
ˈiː	e	0.076
aː	a	0.777
d	d	0.527
kʷ	b	0.507
m	-	0.107
r	-	0.097
ɛ	-	0.097
ɛ	e	0.827
ɫ	l	0.687
ʊ	-	0.087
ˈɪ	ˈi	0.917
b	b	0.618
eː	i	0.198
iː	i	0.448
l	l	0.928
lʲː	ɖː	0.678
p	p	0.808
ŋ	-	0.108
ŋ	m	0.608
ɪ	i	0.548
ɫ	r	0.138
ˈɛ	ˈe	0.958
ˈʊ	ˈo	0.118
ãː	ʣ_a	0.069
d	ð	0.059
lʲː	-	0.199
w	-	0.39
ɔ	o	0.809
ɡ	-	0.299
ɪ	-	0.29
ʊ̃ː	u	0.859
