Štokavian	Slovak	probability
âː	ˈa	1.0
ǎː	ˈa	1.0
ê	ˈɛ	1.0
êː	ˈæ	1.0
ě	ˈɛ	1.0
iː	iː	1.0
îː	ˈi	1.0
k	k	1.0
m	m	1.0
o	ɔ	1.0
ôː	ˈɔ	1.0
ǒ	ˈɔ	1.0
r	r	1.0
r̩̂	ˈr̩	1.0
r̩̂	ˈr̩	1.0
s	s	1.0
û	ˈɫ̩	1.0
z	z	1.0
ɲ	ɲ	1.0
ʎ	l	1.0
ʧ	ʧ	1.0
ʨ	ʦ	1.0
d	t	0.11
e	-	0.161
j	j	0.451
p	p	0.951
ɡ	iː_#>	0.091
a	ɔ	0.052
â	ˈɛ	0.112
d	ɟ	0.442
i	i	0.812
l	l	0.272
ô	ˈɔ	0.772
ûː	ˈu	0.422
ʒ	ʒ	0.62
ʦ	-	0.142
î	ˈi	0.783
l	ɫ	0.523
n	ɲ	0.433
ô	ˈɛ	0.103
x	x_iː	0.313
b	b	0.724
a	ɛ	0.255
l	ʎ	0.195
n	n_iː	0.05
ô	ʊ̯ˈɔ	0.125
t	c	0.335
t	t	0.665
ʋ	v	0.175
ʋ	ʋ	0.825
a	-	0.126
b	p	0.276
î	-	0.217
n	n	0.517
x	x	0.687
a	a	0.568
â	ˈa	0.888
d	d	0.448
i	-	0.188
ɡ	ɦ	0.718
ʒ	ʃ	0.38
ʦ	ʦ	0.858
e	ɛ	0.839
j	-	0.549
ûː	ˈuː	0.119
ûː	ˈɫ̩	0.459
ɡ	x	0.169
