Friulian	Friulian	probability
ˈɛ_t	ˈi_t	1.0
ˈɛ_r	r	1.0
ˈɛ_l	ʎ	1.0
ˈɔː	ˈɔ	1.0
ˈuː_r_#>	ˈu_#>	1.0
ˈoː_s	ˈɛ_w	1.0
ˈoː_r	ˈo	1.0
ˈoː	-	1.0
ˈo_d	w_ɾ	1.0
ˈiː_#>	ˈi_#>	1.0
ˈi_l	ˈi_l	1.0
ˈeː_#>	ˈɛ_#>	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈa_r	ˈa_ɾ	1.0
ˈa	ˈa	1.0
ʧ_#>	#>	1.0
ʤ	ʒ	1.0
ɟ	-	1.0
ŋ_k	ŋ	1.0
ŋ_#>	#>	1.0
z_v	b	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈɔ	1.0
w_ˈa	ˈɔ	1.0
v_j	b_ˈɛ	1.0
v_i	b_ə	1.0
t_e	t_ə	1.0
s_ˈa	s_ˈa	1.0
s_k	s_k	1.0
s_e	a	1.0
r_ˈa	ɾ_ˈa	1.0
o_#>	#>	1.0
o	u	1.0
n_t_#>	n_#>	1.0
m	m	1.0
l_s	l_s	1.0
l_i_#>	ʎ_#>	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈe	1.0
i_s	ə_s	1.0
f	f	1.0
e_m	mː	1.0
d_ˈu	t_ˈo	1.0
b_e	β_ə	1.0
b	b	1.0
a_v	ə_β	1.0
a_d	ə_ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_j	<#_ʎ	1.0
<#_a	<#_ə	1.0
p	p	0.939
e	ə	0.926
c	k	0.917
n	n	0.9
<#_l	<#_ʎ	0.882
ˈu	ˈu	0.846
a	ə	0.846
d	d	0.773
l	l	0.765
ˈi	ˈi	0.724
ˈe	ˈɛ	0.714
f_#>	w_#>	0.714
<#	<#_ə	0.714
ˈuː	ˈɔ	0.7
t	t	0.7
ɲ	ɲ	0.692
ŋ	ŋ	0.667
z	-	0.667
s	s	0.659
ˈɛ	ˈe	0.643
ɡ	ɡ	0.625
ˈɔ	ˈɔ	0.6
ˈeː	ˈɛ	0.6
u	u	0.6
d_e	ð_ə	0.6
r	ɾ	0.596
i	ə	0.594
v	b	0.583
ˈiː	ˈɛ	0.571
ˈo	ˈo	0.516
ʧ	s	0.5
ʧ	-	0.5
w	w	0.5
a_r	ɾ_ə	0.5
a_r	ɾ	0.5
ˈiː	ˈi	0.429
#>	ə_#>	0.409
ˈɔ	-	0.4
ˈeː	-	0.4
u	-	0.4
d_e	ə	0.4
r	r	0.346
ŋ	ɲ	0.333
z	ɾ	0.333
j	ˈe	0.333
ɲ	n	0.308
ˈuː	ˈu	0.3
w	-	0.286
f_#>	p_#>	0.286
<#	<#_ɡ	0.286
#>	w_#>	0.273
ɡ	ɣ	0.25
v	β	0.25
l	ʎ	0.235
i	i	0.219
ˈɛ	ˈɛ	0.214
w	ˈɔ	0.214
j	ʒ	0.208
ˈi	ˈe	0.207
ˈo	ˈɔ	0.194
ˈo	ˈu	0.194
ˈe	ˈe	0.19
j	ˈɛ	0.167
s	ə_s	0.159
ˈu	ˈo	0.154
a	i	0.154
t	-	0.15
ˈɛ	ˈi	0.143
d	ð	0.136
#>	n_#>	0.136
ɡ	k	0.125
j	ʎ	0.125
j	-	0.125
i	-	0.125
<#_l	<#	0.118
t	j_t	0.1
ˈo	-	0.097
ˈe	ˈe_j	0.095
s	ʃ	0.091
d	ʤ	0.091
#>	ˈi_#>	0.091
#>	s_#>	0.091
v	w_ɾ	0.083
v	-	0.083
c	-	0.083
ˈi	-	0.069
i	ʎ	0.062
p	s	0.061
r	-	0.058
