Franco-Provençal	Franco-Provençal	probability
ˈɛː_ʁ	ˈa_r	1.0
ˈɛ_t	ˈæ_k	1.0
ˈɔ̃_#>	ˈo_#>	1.0
ˈɑ̃_#>	ˈa_#>	1.0
ˈɑː	ˈa	1.0
ˈo_#>	z_ˈa_l_t_ɾ_e_s_#>	1.0
ˈo	ˈo	1.0
ˈĩ_#>	ˈi_#>	1.0
ˈĩ	ˈi	1.0
ˈe_l	ˈe_ʎ	1.0
ˈe_#>	r_#>	1.0
ʦ	-	1.0
ʒ	ʤ	1.0
ʎ_ə	ʎ_ɐ	1.0
ʎ_#>	ʎ_#>	1.0
ʃ_ə	k_a	1.0
ʃ_j	k_ˈa	1.0
ʃ_#>	w_#>	1.0
ʁ_ə	e_r	1.0
ʁ_s	r_s	1.0
ɲ	ɲ	1.0
ɛ̃	e_n	1.0
ɛː	-	1.0
ɛ_ʁ	e_r	1.0
ə_#>	#>	1.0
ɔ̃	-	1.0
ɔ	o	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
ð_ə	r	1.0
z	-	1.0
w_ˈɛː	ˈo	1.0
w_ˈa	ˈɒ_k	1.0
v_ˈe	β_ˈæ	1.0
u	-	1.0
s_a	s_a	1.0
p	p	1.0
l_#>	l_#>	1.0
k_ʁ	k_ɾ	1.0
k_w	k_w	1.0
k	k	1.0
f_#>	w_#>	1.0
e	e_s	1.0
b_ʁ	ɾ	1.0
a_#>	#>	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ˈo	<#_ˈɒ	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#_a	1.0
m	m	0.958
f	f	0.92
s	s	0.912
t	t	0.9
d	d	0.875
b	b	0.867
ɡ	ɡ	0.833
ˈaː	ˈa	0.778
l	l	0.773
v	v	0.727
n	n	0.7
ˈɛː	ˈæ	0.667
ˈu	ˈu	0.667
ˈa	ˈa	0.667
ʃ	k	0.667
ˈi	ˈi	0.636
ˈɔ̃	ˈɒ_n	0.6
o_#>	e_#>	0.6
ʎ	ʎ	0.571
ʁ	ɾ	0.533
ˈɔ	ˈɒ	0.5
ˈɔ	ˈo	0.5
ˈø	ˈɒ	0.5
ˈoː	ˈɒ	0.5
i	ɐ	0.5
i	-	0.5
<#	<#_ʎ	0.5
<#	<#_ɡ	0.5
ð	ɾ	0.458
j	-	0.458
ʎ	l	0.429
w_ˈe	ˈɒ	0.429
#>	t_#>	0.429
o	o	0.421
ð	ʤ	0.417
a	ɐ	0.408
ˈɔ̃	ˈɒ	0.4
ˈɑ̃	ˈa_n	0.4
o_#>	#>	0.4
ə	e	0.393
w	-	0.375
ʁ	r	0.356
ˈɛ	-	0.333
ˈu	ˈɒ	0.333
ˈø	ˈo	0.3
ˈe	ˈi	0.3
n	-	0.3
ˈɛ̃	ˈe_n	0.286
w_ˈe	ˈɒ_k	0.286
w_ˈe	ˈu	0.286
a	ɜ	0.286
ˈɛ	ˈæ	0.278
o	-	0.263
ə	ɜ	0.25
w	ˈu	0.25
l	ʎ	0.227
ˈɛ	ˈe	0.222
ˈoː	ˈa_l	0.222
ˈaː	w	0.222
ˈa	ˈa_r	0.222
ʃ	s	0.222
ˈɛ̃	ɲ	0.214
ˈɛ̃	-	0.214
ə	ɞ	0.214
o	ɞ	0.211
ˈɑ̃	ˈa_ŋ	0.2
ˈɑ̃	ˈa_m	0.2
ˈɑ̃	ˈa	0.2
ˈø	-	0.2
ˈe	ˈæ	0.2
ˈe	ˈe	0.2
ˈe	ˈa	0.2
ˈɛː	ˈe	0.19
a	ɞ	0.184
v	β	0.182
ˈɛ	ˈi	0.167
ˈoː	-	0.167
ɡ	ɣ	0.167
j	ˈi	0.167
ˈɛ̃	ˈe	0.143
ˈɛ̃	n	0.143
ˈɛː	ˈe_j	0.143
ə	ɐ	0.143
#>	s_#>	0.143
ˈi	ˈæ	0.136
ˈi	-	0.136
b	β	0.133
ð	w_ɾ	0.125
w	ˈɒ	0.125
w	ˈæ	0.125
w	w	0.125
j	ˈe	0.125
j	ˈa	0.125
j	i	0.125
d	-	0.125
a	a	0.122
ˈoː	ˈu	0.111
ˈa	-	0.111
ʃ	k_ˈa	0.111
o	ɜ	0.105
ˈe	ˈe_s	0.1
t	-	0.1
ˈi	ˈi_w	0.091
v	-	0.091
#>	w_#>	0.089
#>	k_#>	0.089
s	-	0.088
f	-	0.08
#>	r_#>	0.071
ʁ	r_t	0.067
#>	ŋ_k_#>	0.054
#>	p_#>	0.054
