Northern Low Saxon	Northern Low Saxon	probability
ˈʊ_n	ˈʏ	1.0
ˈɛɪ̯	-	1.0
ˈɛ_l	ˈɛː_d	1.0
ˈɔː	ˈœ_ʀ	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈoː_ɐ	ʀ	1.0
ˈeː_l	l	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ɪ	i	1.0
ə	-	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x	x	1.0
v_ˈʊ	ˈʊ	1.0
v_ˈɪ	v	1.0
tʰ	t	1.0
r_ˈaʊ̯	ʀ	1.0
r	ʀ	1.0
p	-	1.0
n_n	n_ə	1.0
l_d	lʲ	1.0
j	ɡ	1.0
i	i	1.0
h	h	1.0
f_#>	#>	1.0
d_r	d_ʀ	1.0
b_m	p_ə	1.0
aɪ̯	ɛi̯	1.0
<#_r	<#_ʀ	1.0
l	l	0.952
ˈaɪ̯	ˈiː	0.857
v	v	0.84
ŋ	ŋ	0.818
t	t	0.818
f	f	0.793
b	b	0.783
ˈʊ	ˈʊ	0.778
s	s	0.778
ˈiː	ˈi	0.733
<#_kʰ	<#_k	0.727
ˈɛ	-	0.667
ˈøː	-	0.667
m	m	0.667
#>	ə_#>	0.667
ˈɔ	-	0.625
ˈaː	-	0.6
ʃ	ʃ	0.56
n	n	0.547
ˈuː	ˈʏ	0.538
ɐ	ə_ʀ	0.516
ˈœ	ˈeː	0.5
ˈœ	-	0.5
ç	-	0.5
ʃ	s	0.44
ˈeː	-	0.429
ɐ	ʀ	0.419
ˈɔʏ̯	ˈɛ	0.4
ˈaː	ˈuː_l	0.4
ˈɪ	ˈi	0.391
ˈɔ	ˈɔː	0.375
ɡ	k	0.375
n_d	nʲ	0.375
n_d	n	0.375
d	t	0.338
ˈɛ	ˈeː	0.333
ˈøː	ˈɔː	0.333
ˈoː	-	0.333
ç	ç	0.333
#>	v̥_#>	0.333
ˈaʊ̯	ˈuː	0.32
ˈɪ	ˈa	0.304
n	ə	0.297
ˈeː	ˈɛː	0.286
ˈeː	ˈaː	0.286
ɡ	ɡ	0.281
ˈʏ	ˈʏ	0.273
ˈʏ	ˈeː	0.273
ˈʏ	ˈa	0.273
<#_kʰ	<#	0.273
ˈa	ˈɒ	0.25
n_d	n_t	0.25
ˈaʊ̯	ˈyː	0.24
ˈuː	ˈœː	0.231
ˈuː	-	0.231
ˈʊ	ˈœ	0.222
s	ʀ_s	0.222
ˈɪ	-	0.217
b	p	0.217
f	v̥	0.207
ˈɔʏ̯	ˈɛi̯	0.2
ˈɔʏ̯	ˈiː	0.2
ˈɔʏ̯	-	0.2
ˈaʊ̯	ˈœ	0.2
ˈa	ˈœ	0.2
d	d	0.191
ˈoː	ˈɒː	0.19
m	m_ə	0.185
ˈʏ	-	0.182
ŋ	d_ə	0.182
t	tʲ	0.182
ç	ŋ	0.167
ˈa	ˈeː	0.15
m	v_ə	0.148
ˈoː	ˈɛi̯	0.143
ˈoː	ˈɔu̯	0.143
ˈaɪ̯	-	0.143
ˈiː	ˈɛ	0.133
ˈiː	-	0.133
d	d̥	0.132
ɡ	j	0.125
ˈaʊ̯	ˈɔ	0.12
ˈaʊ̯	-	0.12
d	tʲ	0.118
d	dʲ	0.103
ˈa	ˈʊ	0.1
ˈa	ˈɔː	0.1
ˈa	ˈɒː	0.1
ˈa	ˈa_ʀ	0.1
ˈoː	ˈɛː	0.095
ˈoː	ˈaː	0.095
ɡ	k_ə	0.094
n	nʲ	0.094
ˈɪ	ˈai̯	0.087
v	ˈuː	0.08
v	-	0.08
ɐ	ˈɔ_ʀ	0.065
ɡ	x	0.062
ɡ	j_ə	0.062
