East Franconian	Icelandic	probability
β	v	1.0
ˈɪ_ɡ̊	ˈɪ	1.0
ˈɘ	-	1.0
ˈɒː	ˈaː_c	1.0
ˈeː	-	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈa	1.0
ʃ_d̥	s_t	1.0
ɪ	ɑu̯	1.0
ɣ	ɡ̊	1.0
ɡ̊_n	ɡ̊ː	1.0
ə	r̥	1.0
ɐ_n	r_t͡n̥	1.0
ɐ_d̥	r_ð	1.0
z̥_ɐ	ʰt͡n̥	1.0
z̥_n	t_a	1.0
n_s	sː	1.0
j	-	1.0
eː	aːu̯	1.0
b̥͡v̥	pʰ	1.0
m	m	0.902
r	r	0.898
v	v	0.89
h	h	0.8
f	f	0.755
b̥	b̥	0.719
ˈaɪ̯	ˈiː	0.714
ɣ̊	-	0.706
kʰ	kʰ	0.667
x	k	0.602
l	l	0.58
ɾ	ð	0.555
s	s	0.555
a	a	0.538
ˈuː	ˈoːu̯	0.493
ʦ	tʰ	0.474
ʃ	s	0.451
ɾ	ð_ɪ	0.445
ɡ̊	-	0.439
ˈaː	ˈɛːi̯	0.432
x	ʰt	0.398
n	n	0.384
s	t	0.374
ˈɪ	ˈɪ	0.369
d̥	ð	0.369
ˈɒ	ˈa	0.356
ˈoː	ˈɑːu̯	0.345
ŋ	ŋ	0.343
ˈɪ	-	0.337
kʰ	cʰ	0.333
ˈʊ	ˈʏ	0.332
ˈaː	-	0.33
ɐ	r	0.329
a	-	0.328
ɡ̊	ʰc	0.327
ç	ɡ̊	0.327
ʦ	t	0.326
d̥	θ	0.321
ɐ	r̥	0.318
ʃ	s_c	0.313
ˈiː	j	0.311
ˈuː	-	0.301
ˈɔ	ˈʏ	0.3
ɣ̊	ɣ	0.294
ˈɔ	-	0.292
ˈɛ	-	0.287
ˈɛ	ˈɛ	0.286
ˈiː	-	0.284
n	nː	0.284
ˈɔ	ˈɔ	0.267
ç	k	0.266
ˈʊ	ˈu	0.254
ˈɒ	ˈɑu̯	0.253
f	p	0.245
ˈaː	ˈœːy̯	0.239
ʃ	s_k	0.236
ɡ̊	ɟ̊	0.234
ˈɪ	ˈi	0.231
ˈoː	ˈaː	0.219
ˈoː	ˈaːu̯	0.217
l	t͡l̥	0.216
ˈuː	ˈœːy̯	0.205
ç	x	0.205
l	l̥	0.204
ˈaɪ̯	-	0.201
ç	ʰt	0.201
ʦ	ʰt	0.2
h	ç	0.2
d̥	d̥	0.192
ˈɒ	-	0.181
ˈiː	j_ˈoːu̯	0.18
b̥	v_ʏ	0.175
ˈʊ	-	0.174
ŋ	ʰk	0.171
ŋ	a	0.161
n	-	0.145
ˈɔ	ˈɪ	0.142
ˈɒ	ˈaː	0.138
ˈʊ	ˈɔ	0.136
a	ɡ̊_a	0.134
ŋ	ˈuː_a	0.125
ˈoː	ˈɔː	0.114
v	-	0.11
ˈɛ	ˈɛː	0.106
b̥	-	0.106
ˈɛ	ˈa	0.105
ˈoː	ˈœ	0.105
ɐ	ʏ	0.105
ˈʊ	ˈoːu̯	0.104
ŋ	ɲ	0.102
r	-	0.102
ˈiː	j_ˈuː	0.101
ɐ	ɪ	0.099
ŋ	-	0.098
m	v_a	0.098
ˈaɪ̯	ˈɛ	0.085
ˈɒ	ˈɛ	0.074
ˈɛ	ˈau̯	0.073
ˈɛ	j_ˈɛ	0.072
ˈɛ	j	0.071
s	s_j	0.071
n	t͡n̥	0.067
n	j_a	0.067
ˈɪ	ˈɪː	0.063
ˈiː	ˈɪː	0.062
ˈiː	ˈaːi̯	0.062
d̥	-	0.056
ɐ	ˈɛː_r̥	0.055
