Upper Franconian	Upper Franconian	probability
β	b	1.0
ˈɛː	ˈɛː	1.0
ˈɒː	ˈa	1.0
ˈaʊ̯	ˈao̯	1.0
ˈa	ˈa	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɣ̊	-	1.0
ə	a	1.0
ɐ_n	ʁ_a	1.0
ŋ_a	ŋ	1.0
z̥_n	s_a	1.0
z̥	s	1.0
v̥	f	1.0
v	ʋ	1.0
t	d	1.0
s_d̥	ʃ_d	1.0
s	s	1.0
r	ʁ	1.0
n_a	n	1.0
l_d̥	l_d	1.0
l	l	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
eː	eə̯	1.0
d̥_n	d	1.0
b̥	b	1.0
<#_ˈɒ	<#_ˈɛ	1.0
d̥	d	0.955
ʦ	ʦ	0.938
m	m	0.893
ˈɒ	ˈa	0.875
ˈɛ	ˈɛ	0.85
ɡ̊	ɡ	0.706
ˈɘ	-	0.667
b̥͡v̥	-	0.667
ˈaː	ˈɔe̯	0.65
ˈʊ	ˈo	0.643
ˈaɪ̯	ˈəi̯	0.636
a	a	0.6
ŋ	ɡ_a	0.571
ɐ	ʌ	0.558
x	x	0.538
ˈeː	ˈɛː	0.5
ç	ɡ	0.5
ç	ç	0.5
n	n	0.5
ɐ	ʕ	0.442
ˈɔ	ˈo	0.438
ŋ	ŋ	0.429
ˈɪ	ˈi	0.409
ˈoː	ˈɔː	0.4
ˈoː	ˈaː	0.4
a	-	0.4
ˈuː	ˈuə̯	0.381
ˈuː	ˈoː	0.381
ˈɔ	ˈɔ	0.375
ˈaɪ̯	ˈae̯	0.364
ˈʊ	ˈu	0.357
ˈɘ	ˈʌ	0.333
b̥͡v̥	p͡f	0.333
x	ɡ	0.308
ˈiː	ˈiə̯	0.304
ˈiː	ˈi	0.304
ˈeː	ˈeː	0.3
ɡ̊	kʰ	0.294
ˈaː	ˈao̯	0.25
n	a	0.241
ˈɪ	ˈɪ	0.227
ˈiː	ˈiː	0.217
ˈoː	ˈoː	0.2
ˈeː	-	0.2
ˈɔ	ˈa	0.188
ˈɪ	ˈe	0.182
n	-	0.172
x	ç	0.154
ˈɛ	-	0.15
ˈuː	ˈuː	0.143
ˈɒ	-	0.125
m	b_a	0.107
ˈaː	-	0.1
ˈuː	-	0.095
ˈɪ	ˈɛ	0.091
ˈɪ	ˈu	0.091
ˈiː	ˈeː	0.087
ˈiː	-	0.087
n	n_d	0.086
ʦ	ʣ	0.062
