Québécois French	Franco-Provençal	probability
aœ̯	ˈø	1.0
d	d	1.0
f	f	1.0
o	ˈoː	1.0
p	p	1.0
v	v	1.0
y	ˈu	1.0
ɑ	ˈa	1.0
ɥ	w	1.0
ʣ	d	1.0
ʦ	t	1.0
a	ˈa	0.451
e	ˈaː	0.091
e	e	0.301
ẽɪ̯̃	ˈɛ̃	0.521
u	ˈoː	0.21
æɛ̯	ɛ	0.101
æɛ̯	ˈe	0.201
øʏ̯	w	0.361
œ	ˈɛː	0.111
œ	ə	0.801
ɑɔ̯	ˈoː	0.761
ẽɪ̯̃	ˈɑ̃	0.192
i	ˈe	0.062
j	ʎ	0.152
l	-	0.102
u	o	0.232
øʏ̯	ˈu	0.192
ɔ	ɔ	0.22
ɛ	ˈɛ	0.522
ɲ	ɲ	0.782
ʒ	ð_o	0.132
b	b	0.993
e	j_ˈe	0.173
i	ˈi	0.713
l	l_a	0.083
u	ˈu	0.193
w	w	0.933
æɛ̯	ˈɛ	0.073
æɛ̯	ˈaː	0.083
æɛ̯	ˈɛː	0.23
ɪ	ˈi	0.233
ʁ	ʁ_o	0.063
a	ˈaː	0.084
e	ˈa	0.344
m	m	0.804
n	n	0.554
oʊ̯	ˈe_l	0.704
t	t	0.884
z	z	0.854
ɒ̃ʊ̯̃	ˈɔ̃	0.954
ʁ	ð	0.084
a	a	0.465
i	j	0.225
s	s_ə	0.135
u	ˈo	0.365
ɔ	ˈo	0.105
ɔ	ˈɔ	0.675
ʃ	ʃ	0.985
ʒ	ʒ	0.35
ã	ˈɛ̃	0.466
ã	ˈɑ̃	0.496
m	m_a	0.196
oʊ̯	ˈoː	0.296
t	t_a	0.116
z	z_ə	0.146
ʁ	ʁ_a	0.056
ʁ	ʁ	0.606
ẽɪ̯̃	ˈĩ	0.287
j	j	0.467
k	k	0.957
s	s	0.817
w	-	0.067
æɛ̯	ˈa	0.27
øʏ̯	w_ˈe	0.447
ɪ	ˈe	0.767
ʁ	ð_ə	0.127
n	n_a	0.418
œ	w_ˈe	0.088
ɛ	ˈe	0.478
ɲ	ɲ_ə	0.218
ʒ	ð	0.518
j	-	0.299
l	l	0.79
ɑɔ̯	ˈø	0.239
ɡ	ɡ	0.959
