Emilian	Auvergnat	probability
θ_ˈiː	ʃ	1.0
ˈɛ_s	ˈe	1.0
ˈɔ_t	ˈœ_j	1.0
ʤ	ʎ	1.0
ŋ_n	n	1.0
ð	ʤ	1.0
z_l	lː	1.0
w_ˈaː	ˈa	1.0
w	-	1.0
v_r	b_ʀ	1.0
v_e	w_ʀ	1.0
s_t	ˈɔ_t	1.0
r_t	ˈɔ_ʀ	1.0
r_a	ʀ	1.0
k_ˈɛ	ʧ_ˈa	1.0
k_r	k_ʀ	1.0
j_ˈa	l_ˈã	1.0
e_r	ə	1.0
d_e	j_ʀ	1.0
a_r	ɒ_ʀ	1.0
p	p	0.895
ˈʌu̯	ˈu	0.886
f	f	0.879
b	b	0.839
ŋ	ŋ	0.812
t	t	0.809
m	m	0.791
a	ɔ	0.783
ˈɔ	w	0.781
θ	s	0.76
n	n	0.721
l	l	0.699
ˈɛː	ˈe	0.678
u	u	0.645
v	v	0.626
k	ʧ	0.594
ɲ	ɲ	0.589
ˈa_j	ˈɪ	0.579
ʧ	ʎ	0.574
ˈʌ	-	0.572
r	ʀ	0.571
z	ʀ	0.546
j	l	0.509
e	ʀ	0.501
ˈæ	ˈɪ̃	0.5
ˈæ	ˈẽ	0.5
j	-	0.491
ˈaː	ˈa	0.487
d	d	0.486
s	s	0.482
ˈiː	ˈɪ	0.476
ɡ	ɡ	0.465
ˈe	ˈĩ	0.449
ˈʌ	w_ˈɔ̃	0.428
ʧ	k_l	0.426
ˈuː	ˈy	0.421
ˈa_j	ˈe	0.421
ɲ	-	0.411
ˈo	w	0.409
ˈɛ	ˈe	0.404
ˈe	ˈi	0.404
ˈɔː	w	0.401
ˈiː	ˈi	0.385
i	-	0.383
s	ɪ	0.375
v	vʲ	0.374
ˈɛ	ˈa	0.351
ˈɔː	w_ˈɔ	0.333
ˈa	ˈã	0.33
r	ə	0.329
k	k	0.325
ˈɛː	ˈa	0.322
i	ə	0.317
i	ĩ	0.3
z	s	0.294
ˈuː	ˈu	0.283
n	ŋ	0.279
ˈa	ˈa	0.277
ˈaː	ˈã	0.256
ˈo	ˈỹ	0.245
ɡ	-	0.245
ˈɔ	ˈu	0.219
e	e	0.218
ˈa	ˈɪ	0.194
ˈo	ˈy	0.186
u	œ	0.185
e	-	0.178
u	ũ	0.17
ɡ	k	0.168
b	-	0.161
ˈo	ˈũ	0.16
z	ʒ	0.16
ˈɔː	-	0.156
d	j_ʀ	0.155
ˈuː	w	0.15
l	w	0.149
ˈuː	ˈœ	0.147
ˈe	l	0.146
t	-	0.146
s	s_ə	0.143
ˈiː	ˈe_j	0.14
ˈaː	ˈe_j	0.137
d	dʲ	0.134
m	mʲ	0.126
ˈa	ˈẽ	0.124
θ	t	0.122
f	fʲ	0.121
d	-	0.121
ˈaː	-	0.12
θ	ʧ	0.118
ˈʌu̯	-	0.114
ˈɛ	l	0.114
ˈɔː	ˈɔ	0.11
a	ɒ	0.11
p	-	0.105
d	z	0.104
e	ə	0.102
ŋ	n	0.089
l	ʎ	0.086
m	ˈɔ_m	0.083
k	-	0.081
ˈɛ	ˈe_j	0.077
ˈa	ˈe	0.074
a	ã	0.07
ɡ	ˈɔ_k	0.066
l	-	0.065
ɡ	ɡʲ	0.056
ŋ	m	0.056
