Luxembourgish	Dutch	probability
b	b	1.0
d	d	1.0
h	ɦ	1.0
j	j	1.0
kʰ	k	1.0
m	m	1.0
p	p	1.0
pʰ	p	1.0
v̥	v̥	1.0
w	ʋ	1.0
z	z	1.0
ɡ	χ	1.0
ʦ	t	1.0
ˈiə̯	ˈeː	1.0
ˈoː	ˈaː	1.0
ˈuə̯	ˈɑ	1.0
ˈuː	ˈɔ	1.0
ˈæ	ˈɑ	1.0
ˈæːɪ̯	ˈɛi̯	1.0
ˈæːʊ̯	ˈœy̯	1.0
ˈɑʊ̯	ˈœy̯	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
ˈɛː	ˈaː	1.0
ˈʊ	ˈu	1.0
d̥	d̥	0.961
s	t	0.671
ɐ	ə_ɾ	0.231
ə	-	0.111
ʀ	ɾ	0.901
ˈeː	ˈɛi̯	0.141
ˈiː	ˈeː	0.411
ˈɑɪ̯	ˈɛi̯	0.181
ˈɜɪ̯	ˈeː	0.111
v	v	0.192
ŋ	χ_#>	0.092
ŋ	n	0.352
ɐ	ɾ	0.632
ˈaː	ˈoː	0.322
ˈɑɪ̯	ˈœy̯	0.582
ˈə	-	0.062
χ	χ	0.592
ŋ	ŋ_ə	0.113
ˈɑ	ˈɪ	0.563
ˈəʊ̯	ˈaː	0.163
ˈəʊ̯	ˈu	0.23
ə	ə	0.84
ˈe	ˈʏ	0.544
ˈeː	ˈeː	0.834
ˈo	ˈoː	0.284
ˈə	ˈɪ	0.254
ˈɜɪ̯	ˈu	0.074
k	-	0.175
n	n_d	0.05
t	d̥	0.185
t	t	0.815
ŋ	ŋ	0.425
ɕ	k	0.485
ʃ	z	0.125
ˈaː	ˈaː	0.095
ˈi	ˈoː	0.355
ˈiː	ˈɪ	0.195
ˈiː	ˈɛ	0.395
ˈu	ˈoː	0.285
ˈu	ˈu	0.715
ˈə	ˈʏ	0.295
ˈɜɪ̯	ˈoː	0.145
f	f	0.086
f	v	0.666
k	χ	0.556
s	s	0.296
ˈe	ˈɪ	0.456
ˈi	ˈi	0.526
ˈo	ˈɔ	0.716
ˈɜɪ̯	ˈi	0.336
l	ɫ	0.887
ɐ	-	0.137
ʃ	s	0.567
ˈaː	ˈɑu̯	0.057
ˈaː	ˈɑ	0.407
ˈɑ	ˈɑ	0.437
ˈɑɪ̯	ˈyː	0.237
ˈəʊ̯	ˈoː	0.607
ˈɜɪ̯	ˈaː	0.187
f	p	0.248
l	-	0.058
v	ʋ	0.808
ɕ	χ	0.478
ʃ	s_χ	0.258
ˈɜɪ̯	ˈi_χ	0.148
χ	k	0.408
k	k	0.269
n	n	0.909
ˈaː	ˈɑ_ɾ	0.119
ˈi	ˈu	0.119
ˈə	ˈɛ	0.389
