Luxembourgish	Dutch	probability
b	b	1.0
d	d	0.903
d	-	0.048
d	t	0.048
e	ɪ	0.519
f	v	0.659
f	f	0.169
f	p	0.156
h	ɦ	1.0
j	j	1.0
k	k	0.399
k	χ	0.263
k	-	0.229
k	ŋ	0.086
kʰ	k	1.0
l	ɫ	0.849
l	l	0.073
l	-	0.05
m	m	1.0
n	n	0.949
n	-	0.054
p	p	1.0
s	t	0.509
s	s	0.49
t	t	0.891
t	-	0.061
t	d	0.049
tʰ	t	1.0
v	ʋ	0.717
v	v	0.275
w	ʋ	1.0
z	z	1.0
ŋ	ŋ	0.763
ŋ	n	0.236
ɐ	ɾ	0.972
ɕ	χ	0.545
ɕ	k	0.323
ɕ	-	0.071
ɕ	ŋ	0.062
ə	ə	0.713
ə	-	0.262
ɡ	χ	0.924
ɡ	-	0.078
ʀ	ɾ	0.85
ʀ	-	0.095
ʀ	ɾ_n	0.057
ʃ	s	0.636
ʃ	z	0.139
ʃ	s_χ	0.109
ʃ	ɾ_s	0.072
ʃ	χ	0.041
ʑ	χ	0.27
ʦ	t	1.0
ˈaː	ˈɑ	0.495
ˈaː	ˈoː	0.26
ˈaː	ˈɑ_ɾ	0.102
ˈaː	ˈɑu̯	0.071
ˈaː	ˈaː	0.07
ˈe	ˈɪ	0.361
ˈe	ˈʏ	0.202
ˈe	ˈi	0.153
ˈe	ˈeː	0.153
ˈe	ˈu	0.11
ˈeː	ˈeː	0.617
ˈeː	ˈɛi̯	0.163
ˈeː	ˈɛ	0.131
ˈeː	ˈoː	0.073
ˈi	ˈoː	0.321
ˈi	ˈi	0.279
ˈi	ˈu	0.137
ˈi	ˈɪ	0.126
ˈi	ˈeː	0.087
ˈiə̯	ˈeː	0.758
ˈiə̯	ˈaː	0.192
ˈiə̯_d	ˈeː	1.0
ˈiː	ˈɛ	0.372
ˈiː	ˈeː	0.254
ˈiː	ˈɪ	0.146
ˈiː	ˈɔ	0.106
ˈiː	-	0.074
ˈo	ˈɔ	0.784
ˈo	ˈɑu̯	0.107
ˈo	ˈoː	0.107
ˈoː	ˈaː	0.871
ˈoː	ˈɛ	0.118
ˈu	ˈu	0.457
ˈu	ˈoː	0.202
ˈu	ˈaː	0.145
ˈu	ˈɛ	0.1
ˈuə̯	ˈɑ	0.403
ˈuə̯	ˈøː	0.232
ˈuə̯	ˈaː	0.15
ˈuə̯	ˈoː	0.15
ˈuː	ˈɔ	0.675
ˈuː	ˈoː	0.304
ˈæ	ˈɑ	1.0
ˈæɪ̯	ˈɛi̯	1.0
ˈæːɪ̯	ˈɛi̯	0.631
ˈæːɪ̯	ˈɪ	0.132
ˈæːɪ̯	ˈi	0.132
ˈæːɪ̯	ˈœy̯	0.101
ˈæːʊ̯	ˈœy̯	1.0
ˈɑ	ˈɑ	0.45
ˈɑ	ˈɪ	0.395
ˈɑ	-	0.062
ˈɑ	ˈɛ	0.057
ˈɑ	ˈɔ	0.049
ˈɑɪ̯	ˈɛi̯	0.253
ˈɑɪ̯	ˈyː	0.22
ˈɑɪ̯	ˈɔ	0.145
ˈɑɪ̯	ˈi	0.145
ˈɑɪ̯	w	0.108
ˈɔ	ˈɔ	0.74
ˈɔ	ˈœy̯	0.151
ˈə	ˈɛ	0.298
ˈə	ˈɪ	0.226
ˈə	ˈʏ	0.171
ˈə	ˈɛi̯	0.145
ˈə	ˈi	0.07
ˈəɪ̯	ˈi	0.289
ˈəɪ̯	ˈoː	0.198
ˈəɪ̯	ˈaː	0.172
ˈəɪ̯	ˈi_χ	0.117
ˈəɪ̯	ˈu	0.102
ˈəʊ̯	ˈoː	0.615
ˈəʊ̯	ˈu	0.174
ˈəʊ̯	ˈaː	0.167
ˈɛ	ˈɛ	0.608
ˈɛ	ˈɛi̯	0.143
ˈɛ	ˈeː	0.092
ˈɛː	ˈaː	0.53
ˈɛː	ˈɛ	0.265
ˈɛː	ˈɑ	0.171
ˈʊ	ˈu	0.815
ˈʊ	ˈɔ	0.157
ˈʊɪ̯	ˈɔ	0.519
χ	k	0.492
χ	χ	0.48
