Afrikaans	Afrikaans	probability
ˈʊə̯_r	ˈuː	1.0
ˈɛː	jː	1.0
ˈɔː	-	1.0
ˈœu̯	-	1.0
ˈæː	-	1.0
ˈyː	-	1.0
ˈoː	-	1.0
ŋ_k	kː	1.0
w	ˈøː	1.0
v̥	f	1.0
s_k	ɧ	1.0
r_t	ʈː	1.0
r_d̥	ɖ	1.0
n_#>	#>	1.0
i	ɔ	1.0
d̥_#>	#>	1.0
d̥	d	1.0
d_ˈi	j_ˈʉː	1.0
b	b	1.0
<#_ɫ	<#_l	1.0
<#_v_ˈɔ	<#_ˈɵ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
ɫ	l	0.914
ɦ	h	0.905
r	r	0.879
v	v	0.778
ˈəɪ̯	ˈiː	0.769
n	n	0.739
m	m	0.731
s	s	0.724
ˈœ	ˈʏ	0.714
ˈu	ˈuː	0.714
k	k	0.667
t	t	0.655
ˈœɪ̯	ˈʉː	0.636
ˈə	ˈɪ	0.632
v̥_#>	v_#>	0.625
χ	ɡ	0.588
p	p	0.583
ˈa	ˈa	0.581
ˈæ	-	0.571
ə	ɛ	0.519
d	d	0.515
ˈɪø̯	ˈoː	0.5
ˈɪø̯	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ŋ	ŋː	0.5
j	d	0.5
j	-	0.5
ə	-	0.481
ˈʊə̯	ˈøː	0.435
ˈɑː	ˈoː	0.435
ˈæ	ˈɛ	0.429
v̥_#>	v_a_#>	0.375
ˈə	-	0.368
ˈɔ	ˈɵ	0.368
ˈɑː	ˈɑː	0.348
ˈɪə̯	ˈɛ	0.333
ˈɪə̯	ˈeː	0.333
d	tʰ	0.333
ˈɔ	ˈɔ	0.316
ˈœ	-	0.286
ˈu	ˈøː	0.286
m	mː	0.269
ˈʊə̯	-	0.261
p	pː	0.25
t	tː	0.241
ˈəɪ̯	ˈeː	0.231
ˈɪə̯	-	0.222
ˈi	ˈʉː	0.222
ˈi	ˈyː	0.222
v	-	0.222
ŋ	ŋ	0.214
ˈɔ	ˈʊ	0.211
ˈa	-	0.194
ˈœɪ̯	ˈɵ	0.182
ˈœɪ̯	-	0.182
χ	j	0.176
n	nː	0.174
ˈi	j_ˈʉː	0.167
ˈi	-	0.167
p	pʰ	0.167
ŋ	ɳ	0.143
ŋ	-	0.143
k	kː	0.143
ˈʊə̯	ˈœ	0.13
ˈɑː	-	0.13
ˈa	ˈɑː	0.129
χ	ɡː	0.118
ˈɪə̯	ˈɛː_d	0.111
ˈi	ˈɛː	0.111
ˈi	ˈeː	0.111
ˈɔ	ˈœ	0.105
t	-	0.103
r	-	0.103
ˈa	ˈɛ	0.097
ɦ	j	0.095
k	ɕ	0.095
k	-	0.095
d	-	0.091
ˈʊə̯	ˈɔ	0.087
ˈʊə̯	ˈœː	0.087
ˈɑː	ˈa	0.087
ɫ	lː	0.086
s	ɧ	0.086
s	s_k	0.086
d	ɕ	0.061
χ	k_t	0.059
χ	-	0.059
s	sː	0.052
s	-	0.052
