Brazilian Portuguese	Lombard	probability
#>	#>	0.955
<#	<#	1.0
<#_a	<#	1.0
<#_h	<#	1.0
a	a	0.607
a	ˈa	0.262
a	u	0.065
a	e	0.053
b	b	0.521
b	ʋ	0.229
b	-	0.118
b	f	0.103
d	d	0.809
d	-	0.095
d	t	0.081
d_u	t	1.0
e	e	0.391
e	i	0.15
e	-	0.131
e	a	0.099
e	ˈeː	0.099
e	u	0.076
ẽ	ĩ	0.315
ẽ	-	0.194
ẽ	u	0.194
ẽ	ã	0.12
f	f	1.0
h	-	0.639
h	d	0.339
h_#>	#>	1.0
i	a	0.288
i	-	0.149
i	ẽ	0.13
i	i	0.121
i	e	0.097
i	u	0.071
i	j	0.069
i_#>	#>	1.0
ĩ	ĩ	1.0
j	-	0.715
j	ˈa	0.108
j	ʧ	0.062
j	j	0.054
j_#>	#>	1.0
j̃	ɲ	0.433
j̃	-	0.207
j̃	ˈi	0.136
j̃	a	0.1
j̃	n	0.097
j̃_#>	#>	1.0
j̃_u	ɲ	1.0
k	k	0.992
l	l	1.0
m	m	1.0
n	n	0.95
n	m	0.053
o	u	0.735
o	o	0.134
o	e	0.084
õ	ũ	0.431
õ	u	0.106
p	p	0.987
p_u	p	1.0
s	s	0.69
s	ʧ	0.167
s	ʦ	0.104
s_u	s	0.722
s_u	ʦ	0.265
t	t	0.771
t	t_e	0.093
t	ʦ	0.061
t	-	0.061
t_u	t	1.0
u	-	0.638
u	u	0.084
u	j	0.064
v	ʋ	0.629
v	b	0.142
v	f	0.099
v	ɡ	0.059
v_u	f	1.0
w	l	0.692
w	w	0.301
w_#>	#>	1.0
z	z	0.403
z	d	0.282
z	-	0.2
ɐ	a	0.828
ɐ	-	0.112
ɐ	n_a	0.054
ɐ̃	ã	0.245
ɡ	ɡ	0.687
ɡ	k	0.159
ɡ	-	0.119
ɡ_u	k	1.0
ɦ	r	0.907
ɦ	-	0.079
ɾ	r	0.8
ɾ	-	0.159
ɾ_u	r	1.0
ʃ	s	0.767
ʃ	ʧ	0.089
ʃ	p	0.067
ʃ_#>	#>	1.0
ʃ_u	s	1.0
ʎ	j	0.339
ʎ	-	0.295
ʎ	ʤ	0.295
ʒ	ʤ	0.754
ʒ	ʃ	0.133
ʒ	-	0.1
ʤ	t	0.608
ʤ	-	0.262
ʧ	t	0.383
ʧ	ʧ	0.29
ʧ	r_t	0.161
ʧ	ʦ	0.1
ˈa	ˈa	0.803
ˈa	ˈaː	0.135
ˈa_h	ˈaː	0.245
ˈe	ˈe	0.383
ˈe	ˈɛ	0.217
ˈe	-	0.204
ˈe	e	0.063
ˈẽ	ˈẽː	0.242
ˈẽ	ˈe	0.205
ˈẽ	ˈɛ̃ː	0.179
ˈẽ	-	0.118
ˈẽ	ˈy	0.084
ˈẽ	ˈãː	0.064
ˈẽ	ˈɔ	0.064
ˈi	ˈi	0.591
ˈi	-	0.176
ˈi	ˈa	0.116
ˈi	e	0.06
ˈi_ʎ	ˈi	1.0
ˈĩ	ˈi	0.406
ˈĩ	ˈĩː	0.406
ˈĩ	ˈẽː	0.187
ˈo	ˈu	0.348
ˈo	ˈɔ	0.238
ˈo	ˈø	0.164
ˈo	ˈøː	0.117
ˈo_w	ˈɔ	1.0
ˈo_ʎ	ˈø	1.0
ˈõ	ˈo	0.339
ˈõ	ˈũː	0.299
ˈõ	ˈu	0.146
ˈu	ˈy	0.289
ˈu	ˈu	0.232
ˈu	ˈyː	0.214
ˈu	ˈi	0.149
ˈu	ˈø	0.077
ˈũ	ˈy	0.5
ˈũ	ˈũː	0.287
ˈũ	ˈỹː	0.163
ˈɐ̃	ˈa	0.5
ˈɐ̃	ˈãː	0.393
ˈɐ̃	ˈa_n	0.09
ˈɐ̃_w̃	ˈãː	0.589
ˈɐ̃_w̃	ˈũː	0.339
ˈɔ	ˈɔ	0.386
ˈɔ	ˈøː	0.212
ˈɔ	ˈa	0.14
ˈɔ	ˈu	0.14
ˈɔ	ˈyː	0.102
ˈɔ_h	ˈɔ	0.495
ˈɔ_j	ˈu	1.0
ˈɛ	ˈɛ	0.592
ˈɛ	ˈe	0.404
ˈɛ_h	ˈɛ	1.0
