Nynorsk Norwegian	North Frisian	probability
ˈʊ	ˈɔ	1.0
ˈʉː_#>	ˈyː_#>	1.0
ˈɑː	ˈɒː	1.0
ˈœʏ̯	ˈiː	1.0
ˈyː	ˈiː	1.0
ˈuː_ɾ	r_d	1.0
ˈuː_#>	ˈœ_dʲ_#>	1.0
ʰkː	ŋ_k	1.0
ʋ_#>	ə_v_#>	1.0
ŋː	ŋ	1.0
tː	t	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
p	p	1.0
nː_#>	s_#>	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kʰ_ʋ	v	1.0
kʰ	k	1.0
k	k	1.0
j_ˈœ	ˈɔː	1.0
h	h	1.0
f	f	1.0
e_ɾ	ə_r	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#	<#_v	1.0
ɾ	r	0.957
ɑ	ə	0.949
n	n	0.913
tʰ	t	0.889
s	s	0.889
ˈʉ	ˈʊ	0.818
ˈæɪ̯	ˈiː	0.8
ʂ	ʃ	0.778
ʋ	v	0.773
ə	ə	0.75
nː	n	0.75
ˈiː	ˈi	0.727
ˈøː	ˈɛ	0.667
ʰtː	x_t	0.667
lː	l	0.667
ˈæʉ̯	ˈuː	0.625
t	t	0.607
ˈɔ	ˈɔ	0.6
e	-	0.591
#>	ə_#>	0.533
ˈeː	ˈɛː	0.5
ˈeː	ˈeː	0.5
ç	t	0.5
ç	k	0.5
j	h	0.5
j	d	0.5
ˈuː	ˈœ	0.429
ɡ	ɡ	0.421
ˈɪ	ˈi	0.4
ˈɪ	ˈa	0.4
ˈɔ	ˈɔː	0.4
ˈæʉ̯	ˈyː_dʲ	0.375
ˈʏ	ˈʏ	0.364
ˈɛ	ˈa	0.364
ˈøː	ˈiː	0.333
ʰtː	t	0.333
lː	lʲ	0.333
#>	n_#>	0.333
e	ə	0.318
ˈʉː	ˈyː	0.312
ˈuː	ˈɔu̯	0.286
ˈuː	ˈœi̯	0.286
ˈʏ	ˈʊ	0.273
ˈɛ	ˈeː	0.273
ˈiː	ˈiː	0.273
ˈʉː	ˈøː	0.25
ˈʉː	ˈiː	0.25
ˈoː	ˈɔu̯	0.25
ˈoː	ˈuː	0.25
ə	-	0.25
nː	nʲ	0.25
ˈɑ	ˈɒ	0.227
ˈɑ	ˈœ	0.227
ʂ	s	0.222
t	tʲ	0.214
ɡ	j	0.211
ˈɪ	ˈai̯	0.2
ˈæɪ̯	ˈɒ	0.2
ˈʉː	ˈɔː	0.188
ˈʏ	ˈeː	0.182
ˈʏ	-	0.182
ˈʉ	ˈyː	0.182
ˈɛ	ˈɒː	0.182
ˈɛ	ˈiː	0.182
ˈɑ	ˈʊ	0.182
ˈoː	ˈɛː	0.167
ˈoː	ˈɛi̯	0.167
ˈoː	ˈiː	0.167
ɡ	-	0.158
ˈɑ	ˈuː	0.136
ˈɑ	ˈa	0.136
ʋ	f	0.136
#>	t_#>	0.133
tʰ	d	0.111
t	d	0.107
ɡ	ˈɛi̯	0.105
ɡ	j_ə	0.105
ˈɑ	ˈɔː	0.091
ʋ	-	0.091
e	r	0.091
n	nʲ	0.087
t	z	0.071
s	z	0.056
s	s_v	0.056
ɑ	-	0.051
