Gothic	West Frisian	probability
a	-	0.462
a	ə	0.45
a	ˈaː	0.06
a	ˈoə̯	0.043
a_n	ə	1.0
aː	ə	1.0
b	b	0.855
b	-	0.136
d	d	0.891
d	t	0.1
e	ə	1.0
f	f	0.922
f	-	0.076
f_s	f	1.0
h	h	0.539
h	-	0.211
h	χ	0.178
h	ŋ	0.067
i	-	0.807
i	ə	0.153
i_f	ə	1.0
i_s	s	1.0
iː	-	1.0
j	j	0.416
j	-	0.225
j	r	0.124
j	ˈøə̯	0.096
k	k	0.855
k	-	0.12
k_s	k	1.0
l	l	0.884
l	l_v	0.112
l_s	l	1.0
l_θ	t	0.501
lː	l	1.0
m	m	0.914
m	-	0.083
m_s	m	1.0
n	n	0.652
n	-	0.292
n	ə_n	0.053
n_d	n	1.0
n_s	n	1.0
n_u	n	1.0
n_θ	n	1.0
nː	n	1.0
oː	ə	0.478
oː	-	0.416
oː	r	0.085
p	p	1.0
r	r	0.804
r	-	0.121
r	r_j	0.055
r	ˈɛː	0.033
r_n	n	1.0
s	-	0.558
s	s	0.384
s	ɕ	0.037
t	t	0.854
t	-	0.096
t	ʦ	0.05
t_s	t	1.0
u	-	0.711
u	ə	0.274
u_n	n	1.0
w	ʋ	0.42
w	v	0.238
w	-	0.181
w	ˈø	0.053
w	ˈɔ	0.053
x	χ	0.66
x	-	0.165
z	r	0.379
z	s	0.095
ð	d	0.35
ð	t	0.201
ð	-	0.125
ŋ	ŋ	0.392
ŋ	ˈɔ	0.392
ŋ	-	0.13
ŋ_ɡ	ŋ	1.0
ɔː	-	0.501
ɡ	ɡ	0.455
ɡ	-	0.305
ɡ	χ	0.093
ɡ	ɣ	0.07
ɡ	k	0.055
ɡʷ	ŋ	1.0
ɡːʷ	-	0.501
ɣ	χ	1.0
ʍ	v	0.683
ʍ	-	0.225
ˈa	ˈa	0.354
ˈa	ˈaː	0.164
ˈa	ˈɛ	0.097
ˈa	ˈɪə̯	0.094
ˈa	ˈɔː	0.066
ˈa_l	ˈɔː	1.0
ˈeː	ˈiə̯	0.317
ˈeː	ˈaː	0.209
ˈeː	ˈø	0.144
ˈeː	j	0.138
ˈeː	ˈoə̯	0.1
ˈi	ˈɪ	0.402
ˈi	-	0.137
ˈi	ˈi	0.119
ˈi	ˈiː	0.09
ˈi	j	0.079
ˈi_ɡ	ˈɛi̯	1.0
ˈiu̯	j	0.441
ˈiu̯	ˈɛ	0.167
ˈiu̯	ˈyː	0.158
ˈiu̯	ˈiə̯	0.104
ˈiː	ˈi	0.648
ˈiː	ˈuː	0.12
ˈiː	ˈiː	0.083
ˈiː	ˈɪ	0.083
ˈiː_s	ˈɛ	1.0
ˈoː	ˈuə̯	0.827
ˈoː	ˈoː	0.173
ˈu	ˈɔ	0.291
ˈu	ˈuː	0.198
ˈu	ˈoə̯	0.127
ˈu	ˈu	0.109
ˈu	ˈɪ	0.064
ˈuː	ˈuː	0.418
ˈuː	ˈoː	0.209
ˈuː	ˈɔ	0.209
ˈuː	ˈyː	0.138
ˈɔ	ˈoə̯	0.328
ˈɔ	ˈuə̯	0.189
ˈɔ	ˈɪə̯	0.172
ˈɔ	ˈaː	0.125
ˈɔ	ˈɪ	0.086
ˈɔː	ˈɪə̯	0.364
ˈɔː	ˈɔ	0.189
ˈɔː	ˈeː	0.1
ˈɔː	ˈɛ	0.093
ˈɔː	ˈuː	0.086
ˈɔː_s	ˈɪə̯	1.0
ˈɛ	ˈiə̯	0.189
ˈɛ	ˈɛ	0.189
ˈɛ	ˈɛi̯	0.143
ˈɛ	ˈɛː	0.143
ˈɛ	ˈɔ	0.109
ˈɛː	ˈiə̯	0.364
ˈɛː	ˈɛi̯	0.173
ˈɛː	ˈa	0.151
ˈɛː	ˈeː	0.114
ˈɛː	ˈɪ	0.114
β	-	0.583
β	v	0.398
θ	t	0.4
θ	-	0.247
θ	d	0.225
θ	l	0.064
θ	ʦ	0.064
θ_s	t	1.0
