Russian	Upper Sorbian	probability
bʲ	bʲ	1.0
d	d	1.0
j	j	1.0
kʲ	kʲ	1.0
lʲ	l	1.0
m	m	1.0
n	n	1.0
nʲ	ɲ	1.0
p	p	1.0
rʲ	ʀʲ	1.0
sʲ	s	1.0
t	t	1.0
v	β	1.0
vʲ	ɥ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ʂ	ʃ	1.0
ʊ	ˈu	1.0
ʐ	ʒ	1.0
ˈu	ˈu	1.0
ˈɨ	ˈɪ	1.0
ˈɵ	ˈɔ	1.0
dʲ	d	0.291
mʲ	m	0.301
ɪ	ˈɛ	0.281
ʦ	k	0.1
ʨ	ʧ	0.871
ɐ	ˈɔ	0.892
ɪ	-	0.162
ˈe	e	0.112
ˈi	-	0.092
ˈo	-	0.082
pʲ	p	0.513
tʲ	ʧ	0.983
ɐ	-	0.063
ə	-	0.103
ɪ	ɛ	0.233
ɫ	d_w	0.063
ˈe	ˈɔ	0.183
ˈo	ˈɔ	0.53
k	x	0.144
r	ʀ	0.914
ɪ	ˈa	0.084
ɪ	ˈɔ	0.104
ˈa	a	0.654
ˈe	ˈe	0.504
ɫ	w	0.85
ˈe	ˈɛ	0.135
k	k	0.856
r	-	0.086
ə	ɔ	0.546
ɪ	ˈe	0.136
ˈa	ˈa	0.346
ˈe	ɛ	0.066
ˈo	ˈo	0.206
pʲ	pʲ	0.487
s	s	0.967
ɫ	l	0.087
ˈo	ˈɛ	0.097
ə	a	0.318
ʦ	ʦ	0.838
ˈi	ˈi	0.908
ˈo	ˈe	0.068
dʲ	ʤ	0.709
mʲ	mʲ	0.699
ɡ	ɦ	0.99
ʨ	ʦ	0.129
