Saterland Frisian	English	probability
ˈʊ_x	ˈaɪ̯	1.0
ˈɪ_x	ˈaɪ̯	1.0
ˈɛɪ̯_t	ˈiː_t	1.0
ˈɔː_r	ˈɔː	1.0
ˈœː	ˈɪ_ŋ	1.0
ˈøː	ˈɐ	1.0
ˈuː_r	ə	1.0
ˈu	ˈaʊ̯	1.0
ˈoːu̯_d	ˈɔː	1.0
ˈoː_l	ˈəʊ̯_ɫ	1.0
ˈiːu̯	ˈɪ	1.0
ˈiː_r	ˈɑː	1.0
ˈaːi̯	ˈeɪ̯	1.0
ɣ	-	1.0
ə_l	ɫ	1.0
ŋ	ŋ	1.0
x_t	t	1.0
w	v	1.0
v_ə	v	1.0
v	w	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
r_ˈɛ	ɜː	1.0
m	m	1.0
l_j	l	1.0
k_ə	k	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoː	ˈiː	1.0
i	ˈiː	1.0
h	h	1.0
f	f	1.0
d_ˈoː	d_ˈe	1.0
b	b	1.0
a	-	1.0
t	t	0.975
s	s	0.944
n	n	0.909
k	k	0.88
ˈɪ	ˈɪ	0.855
p	p	0.827
d	d	0.805
ə_r	ə	0.8
ˈɛ	-	0.77
j	-	0.752
ˈʊ	ˈɐ	0.7
ə	-	0.683
ˈɛɪ̯	ˈiː	0.665
ˈa	ˈe	0.63
ɪ	-	0.6
ə_n	n	0.58
ˈaː	ˈɑː	0.57
z	-	0.567
x	ˈaɪ̯	0.563
ˈɛː	ˈɑː	0.536
ˈɔ	ˈæ	0.53
l	l	0.525
ˈi	ˈaɪ̯	0.502
ˈeː	ˈəʊ̯	0.494
l	ɫ	0.475
ˈɛː	ˈɪ	0.464
x	ʤ	0.437
z	z	0.433
ˈaː	-	0.43
ˈiː	ˈɪ	0.427
ˈiː	ˈaɪ̯	0.424
ə_n	ə_n	0.42
ɪ	ɪ	0.4
ˈuː	ˈaʊ̯	0.395
r	ɹ	0.384
ˈuː	ˈɐ	0.382
ˈa	ˈæ	0.37
ˈɔː	-	0.368
ˈoː	ˈiː	0.361
ˈi	ˈɪ	0.341
ˈɛɪ̯	-	0.335
r	ə	0.329
ˈoːu̯	ˈuː	0.306
ˈeː	ˈe	0.284
ˈoː	ˈe	0.279
ˈɔ	-	0.274
ˈoːu̯	ˈæ	0.263
j	ˈɪ	0.248
ˈɔː	ˈɒ	0.239
ˈɔː	ˈeɪ̯	0.234
ˈɛ	ˈɒ	0.23
ˈuː	ˈɐ_ð	0.223
ˈeː	ˈiː	0.222
ə_r	d_ə	0.2
ˈɔ	ˈɔː	0.196
ˈoːu̯	-	0.183
p	pʰ	0.173
ˈʊ	ˈʊ	0.164
ˈɔː	ˈɛ	0.159
r	-	0.158
ˈi	ˈiː	0.156
ˈiː	ˈiː	0.149
d	θ	0.149
ˈoː	ˈeɪ̯	0.146
ˈɪ	ˈe	0.145
ˈoːu̯	ˈɐ	0.138
ˈʊ	-	0.136
ə	ɪ	0.136
k	ʧ	0.12
ˈoː	-	0.116
ˈoːu̯	ˈʊ	0.11
ˈoː	ˈəʊ̯	0.098
r	ˈɔː	0.096
n	-	0.091
ə	ɡ	0.09
ə	ə	0.071
s	ʧ	0.056
