Old West Norse	Standard German	probability
θ	d	1.0
ˈɛi̯	ˈaɪ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈuː	1.0
ˈøy̯	-	1.0
ˈeː_r̥	ˈiː_ɐ	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʝː	ˈaː_ɡ	1.0
ɾ	ɐ	1.0
ɡː	-	1.0
ɟ	ɡ	1.0
ɑː	eː	1.0
ç	h	1.0
x_w	v	1.0
v_ɑ	b_n	1.0
v_u	p	1.0
u	-	1.0
tʰ	ʦ	1.0
sː	z̥	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ɐ	1.0
r_t	ɐ_ʦ	1.0
r_n	ɐ_n	1.0
r_i	ɐ	1.0
pː	f	1.0
pʰ	p͡f	1.0
p	f	1.0
n̥	n	1.0
m	m	1.0
lː	l	1.0
l_d	l_t	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ɑ	n	1.0
j	-	1.0
i_r̥	ɐ	1.0
i_r	ɐ	1.0
h	h	1.0
f_r̥	b̥	1.0
f	f	1.0
e	ˈɛ	1.0
d_r̥	d̥	1.0
cː	k	1.0
cʰ	kʰ	1.0
c	ʃ	1.0
b	b	1.0
n	n	0.97
ŋ	ŋ	0.866
ɡ	-	0.83
ˈiː	ˈaɪ̯	0.821
ˈi	ˈɪ	0.805
ð	t	0.785
i	-	0.774
t	s	0.717
k	ç	0.659
ˈuː	ˈaʊ̯	0.632
ˈeː	ˈiː	0.629
ˈɔ	-	0.628
ˈɑu̯	ˈaʊ̯	0.619
ˈoː	ˈuː	0.611
kː	k	0.61
d	tʰ	0.605
ɡ_r̥	ɡ̊	0.602
ˈɑ	ˈa	0.596
r	ɐ	0.584
nː	n	0.583
s	z	0.571
a	n	0.571
ɣ	ɡ	0.539
v	v	0.521
ˈɛː	ˈeː	0.505
ˈøː	ˈyː	0.505
ˈɛː	-	0.495
ˈøː	-	0.495
ɑ	n	0.474
ˈyː	ˈɔʏ̯	0.464
ɣ	ɡ̊	0.461
tː	t	0.436
ˈu	ˈʊ	0.433
a	ə	0.429
ɡ_r̥	ɐ	0.398
kː	ŋ_k	0.39
ˈoː	ˈʊ	0.389
ˈɑu̯	ˈoː	0.381
ˈo	ˈɔ	0.381
r	ʁ	0.38
ˈeː	ç	0.371
ˈuː	-	0.368
ˈe	ˈɛ	0.356
s	ʃ	0.338
ˈyː	-	0.333
ˈɑː	ˈaː	0.321
tː	x_t	0.312
ˈo	ˈʊ	0.306
ˈy	ˈʏ	0.265
ˈɑː	ˈoː	0.264
tː	ʦ	0.252
ˈy	ˈɪ	0.246
ˈy	ˈɔ	0.246
ˈy	ˈyː	0.243
r̥	ə	0.243
ˈɑː	ˈa	0.24
d	d	0.235
k	x	0.233
ˈe	ˈeː	0.231
ɑ	ə	0.231
ˈe	ˈɪ	0.23
nː	-	0.228
i	ə	0.226
v	b	0.224
ˈɔ	ˈa	0.21
ˈɑ	ˈaː	0.208
t	t	0.208
ˈyː	ˈiː	0.203
ˈu	ˈɔ	0.203
ˈi	-	0.195
nː	n_d	0.189
ˈe	-	0.183
r̥	ɐ	0.182
r̥	ç	0.182
ˈiː	n	0.179
ˈɑː	ˈeː	0.176
ɡ	ɡ	0.17
ɑ	ə_n	0.166
ˈɔ	ˈɪ	0.162
d	d̥	0.16
r̥	ʁ_ə	0.157
ˈo	ˈoː	0.156
ˈo	-	0.156
ˈu	-	0.144
ŋ	ɪ	0.134
v	f	0.132
ˈɑ	-	0.122
ð	d	0.121
ɑ	-	0.119
r̥	t	0.118
r̥	d̥	0.118
ˈu	ˈaʊ̯	0.113
k	-	0.109
ˈu	ˈʏ	0.106
ð	d̥	0.094
s	ˈʏ_n	0.091
ˈɑ	ˈɛ	0.075
t	ʦ	0.075
v	b̥	0.071
v	-	0.052
