Proto-Germanic	Limburgish	probability
a	-	1.0
b	b	0.981
d	d	0.773
d	t	0.188
e	ə	0.98
i	ə	0.543
i	-	0.401
iː	-	0.888
iː	ə	0.112
j	-	0.535
j	ə	0.219
j	j	0.168
jː	ˈɛːi̯	1.0
k	k	0.651
k	ʃ	0.289
kʷ	k	1.0
kː	k	1.0
l	l	0.772
l	-	0.099
l	l_ə	0.056
lː	l	1.0
m	m	0.874
m	-	0.104
mː	m	1.0
n	n	0.56
n	-	0.428
nː	n	1.0
p	p	0.911
p	ə_p	0.064
pː	p	1.0
r	ʀ	0.847
r	ʀ_ə	0.123
s	z	0.411
s	s	0.302
s	-	0.288
t	t	0.934
t	-	0.051
u	-	0.613
u	ə	0.387
w	β	0.751
w	-	0.21
wː	ˈœi̯	1.0
x	ɦ	0.603
x	-	0.263
x	x	0.105
xʷ	β	0.842
xʷ	-	0.124
z	-	0.989
ð	-	0.445
ð	j	0.221
ð	ʦ	0.18
ð	v	0.154
ŋ	ŋ	0.916
ŋ	-	0.084
ɑ	-	0.965
ɑi̯	ˈɪː	1.0
ɑ̃	-	0.953
ɔː	-	0.829
ɔː	ə	0.171
ɔːu̯	-	1.0
ɔːː	-	0.802
ɔːː	ʀ	0.198
ɔ̃ː	-	0.761
ɔ̃ː	ˈɔu̯	0.167
ɔ̃ː	j	0.072
ɛː	ə	0.824
ɛː	-	0.176
ɡ	-	0.859
ɡ	k	0.141
ɡʷ	-	1.0
ɣ	ɣ	0.631
ɣ	x	0.142
ɣ	ə_ɣ	0.131
ɣ	ɣ_ə	0.059
ɸ	v	0.868
ɸ	f	0.069
ˈe	ˈeː	0.404
ˈe	ˈæː	0.205
ˈe	ˈi	0.06
ˈeu̯	ˈeː	0.758
ˈeu̯	-	0.099
ˈeu̯	ˈiː	0.099
ˈeː	ˈeː	1.0
ˈi	ˈɪː	0.421
ˈi	-	0.171
ˈi	ˈɛ	0.092
ˈi	ˈiː	0.091
ˈi	ˈeː	0.067
ˈi	ˈʏ	0.057
ˈiu̯	ˈœi̯	0.549
ˈiu̯	ˈøː	0.415
ˈiː	ˈiː	0.7
ˈiː	ˈɛ	0.111
ˈiː	ˈɪ	0.111
ˈiː	ˈɛi̯	0.078
ˈĩː	ˈi	1.0
ˈu	ˈʊː	0.437
ˈu	ˈɔ	0.127
ˈu	ˈoː	0.07
ˈu	ˈœː	0.067
ˈu	ˈøː	0.055
ˈuː	ˈuː	0.646
ˈuː	ˈøː	0.146
ˈuː	ˈoː	0.065
ˈuː	ˈɔu̯	0.065
ˈɑ	ˈaː	0.34
ˈɑ	ˈɑ	0.206
ˈɑ	ˈɑː	0.182
ˈɑi̯	ˈɛː	0.659
ˈɑi̯	ˈɛːi̯	0.099
ˈɑi̯	ˈi	0.095
ˈɑu̯	ˈɔː	0.329
ˈɑu̯	ˈu	0.312
ˈɑu̯	ˈœi̯	0.108
ˈɑu̯	ˈyː	0.086
ˈɑu̯	ˈɔu̯	0.067
ˈɑː	ˈʊː	1.0
ˈɔ	ˈøː	1.0
ˈɔː	ˈøː	0.361
ˈɔː	ˈʊː	0.337
ˈɔː	ˈɔ	0.106
ˈɔː	ˈɪ	0.104
ˈɔː	ˈoː	0.092
ˈɛː	ˈɒː	0.967
β	v	0.682
β	f	0.148
β	b	0.112
θ	d	0.703
θ	-	0.262
