Polish	Belarusian	probability
b	b	1.0
i	i	1.0
m	m	1.0
n	n	1.0
r	r	1.0
s	s	1.0
z	z	1.0
ɔ	a	1.0
ɕ	sʲ	1.0
ɲ	nʲ	1.0
ʈ͡ʂ	ʧ	1.0
ʑ	zʲ	1.0
ʥ	ʣʲ	1.0
ʨ	ʦʲ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈɨ	1.0
d	ʣʲ	0.151
d	-	0.221
f	-	0.271
p	pʲ	0.181
w	ʌ_ɫ	0.071
ɨ	ɨ	0.921
ʦ	ʧ	0.461
ˈa	ˈa	0.191
ˈɛ	a	0.121
ˈɛ	ˈe	0.511
a	a	0.272
a	ˈa	0.592
k	kʲ	0.092
k	k_a	0.112
l	lʲ	0.862
ɡ	ɣ_ˈo	0.082
ʐ	ʐ	0.382
ˈu	ˈo	0.732
ˈɔ	ˈo	0.592
v	v	0.693
x	x	0.833
ɛ	a	0.453
j	j	0.224
ɛ	æ	0.314
ʂ	ʂ	0.364
ˈa	ˈe	0.694
ˈɔ	ˈu	0.114
ˈa	ˈɵ	0.075
ˈɔ	a	0.295
a	ˈæ	0.136
j	-	0.776
ʂ	-	0.636
t	t	0.967
v	vʲ	0.307
x	xʲ	0.167
ˈɛ	ˈo	0.057
ˈɛ	æ	0.227
d	d	0.628
k	x	0.108
k	k	0.688
l	ʌ_ɫ	0.138
w	ɫ	0.8
ɛ	e	0.188
ɡ	ɣ	0.918
ʐ	r	0.618
ˈu	a	0.268
f	vʲ	0.729
p	p	0.819
w	w	0.129
ɨ	ˈɨ	0.079
ʦ	ʦ	0.539
