Hessian	Hessian	probability
ˈɛ̃ː	ˈeː	1.0
ˈɛː	ˈeː	1.0
ˈɔ	ˈo	1.0
ˈɑ̃i̯	ˈai̯_n	1.0
ˈæ	ˈe	1.0
ˈuː	ˈuɐ̯	1.0
ˈoi̯	ˈai̯	1.0
ˈoĩ̯	ˈai̯_n	1.0
ˈĩː	ˈeɐ̯	1.0
ˈe	ˈe	1.0
ˈãː	ˈoɐ̯	1.0
ˈai̯	ˈai̯	1.0
ʦ	ʦ	1.0
ʒ̊_ə	ŋ	1.0
ʒ̊	ʃ	1.0
ʃ_t	x_d̥	1.0
ʀ	r	1.0
ɣ̊_ə	ŋ	1.0
ɡ̊	ɡ̊	1.0
ɛː	eɐ̯	1.0
ɑ	a	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	x	1.0
v̥_ə	f_a	1.0
v_ə	m	1.0
t	d̥	1.0
s_t	ʃ_d̥	1.0
pʰ	b̥͡v̥_ˈaː	1.0
p	b̥	1.0
oː	ˈou̯	1.0
m	m	1.0
l_ˈaː	l	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
j_ə	ŋ	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f	f	1.0
d̥_ˈuː	d̥_ˈu	1.0
d̥_ə	d̥_n	1.0
d̥	d̥	1.0
n	n	0.952
s	s	0.946
ʃ	ʃ	0.9
b̥	b̥	0.889
v	ʋ	0.88
æ̆	a	0.857
ˈau̯	ˈau̯	0.778
ɐ	ɐ	0.765
ˈu	ˈu	0.75
ˈo	ˈo	0.75
#>	ə_#>	0.714
ˈɛ	ˈe	0.7
ˈi	ˈi	0.7
ˈiː	ˈiɐ̯	0.692
ˈɑː	ˈɒː	0.615
ˈeː	ˈeː	0.6
ɣ̊	ɡ̊	0.6
ʃ_#>	ɡ̊_#>	0.571
ə	a	0.522
ˈæː	ˈeː	0.5
ˈæː	ˈe	0.5
l	l	0.5
ˈoː	ˈoː	0.444
l	j	0.444
ʃ_#>	#>	0.429
ˈaː	ˈoɐ̯	0.417
ˈaː	ˈaː	0.417
ˈa	ˈɑ	0.417
ˈeː	-	0.4
ɣ̊	x	0.4
ˈɑː	-	0.385
ˈoː	ˈou̯	0.333
ˈɑ	ˈɑ	0.312
ə	n	0.304
ˈɛ	ˈeː	0.3
#>	ɡ̊_#>	0.286
ˈu	ˈuɐ̯	0.25
ˈo	ˈu	0.25
ˈa	ˈo	0.25
ˈoː	ˈo	0.222
ˈau̯	-	0.222
ˈɑ	ˈɑː	0.188
ˈɑ	ˈo	0.188
ˈɑ	-	0.188
ˈaː	ˈo	0.167
ˈa	ˈɒː	0.167
ˈa	ˈa	0.167
ˈiː	ˈi	0.154
ˈiː	-	0.154
æ̆	d̥_a	0.143
ˈi	ˈu	0.133
ˈɑ	ˈɒː	0.125
v	β	0.12
ɐ	r	0.118
ɐ	-	0.118
b̥	-	0.111
ˈi	ˈiː	0.1
ʃ	ç	0.1
ə	d̥_n	0.087
ə	-	0.087
ˈi	ˈiɐ̯	0.067
l	j_d̥	0.056
s	ʃ	0.054
