Palatine German	Palatine German	probability
β_ˈɔ	ˈʊ	1.0
ˈɛ_ɐ	ʀ	1.0
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈɔ_j	1.0
ˈɑ_s	ˈɒː_d	1.0
ˈu_n	ˈʏ	1.0
ˈõː	ˈaː_n	1.0
ˈo	ˈeː	1.0
ˈĩː	ˈɛi̯_n	1.0
ˈi	ˈɔː	1.0
ˈaɪ̯_s	ˈi_t	1.0
ˈau̯̯	ˈʏ	1.0
ʣ̥	t	1.0
ʃ_β	s	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɪ	i	1.0
ɡ̊_ˈɛː	ɡ	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_d̥	lʲ	1.0
h	h	1.0
eː	ɛi̯	1.0
d̥_ˈiː	d_ˈiː	1.0
d̥_r	t_ʀ	1.0
<#_ˈɑ	<#	1.0
<#_r	<#_ʀ	1.0
ə	ə	0.95
β	v	0.929
l	l	0.918
<#_kʰ	<#_k	0.818
n	n	0.786
b̥	b	0.692
s	s	0.69
ɡ̊_#>	#>	0.667
r	ʀ	0.667
j	j	0.667
#>	n_#>	0.667
f	f	0.647
ˈu	ˈʊ	0.636
ˈeː	ˈiː	0.636
ˈau̯	ˈʏ	0.625
ʃ_#>	#>	0.545
ˈiː	ˈiː	0.5
ˈaɪ̯	ˈi	0.5
ʃ	ʃ	0.5
x	x	0.5
ɐ	ʀ	0.487
ɡ̊	ɡ	0.471
ˈɛː	ˈiː	0.462
ʃ_#>	k_#>	0.455
ɐ	ə_ʀ	0.436
ˈuː	ˈœ	0.417
ɡ̊	k	0.412
ˈɛː	-	0.385
ˈau̯	ˈœː	0.375
ˈeː	-	0.364
ˈoː	-	0.333
ɡ̊_#>	x_#>	0.333
x	k	0.333
j	w	0.333
ˈɑː	-	0.316
d̥	t	0.309
ˈiː	-	0.286
f	p	0.265
ˈɑː	ˈuː	0.263
ˈɪ	ˈi	0.25
ˈɪ	ˈa	0.25
ˈɛ	ˈɛː	0.25
ˈɛ	ˈeː	0.25
ˈuː	-	0.25
ˈaɪ̯	ˈa	0.25
ˈaɪ̯	-	0.25
d̥	d	0.236
ˈɔ	ˈɔ	0.231
ˈɔ	ˈœ	0.231
ˈɔ	-	0.231
ˈoː	ˈyː	0.222
ˈiː	ˈɛ	0.214
ʃ	s	0.214
ˈɑ	ˈɒ	0.207
ˈɑ	-	0.207
ˈɛ	ˈa	0.2
ˈɛ	-	0.2
b̥	v̥	0.192
r	d	0.185
ˈu	ˈa	0.182
ˈu	-	0.182
d̥	d̥	0.182
<#_kʰ	<#	0.182
ˈɑ	ˈœ	0.172
ˈuː	ˈɛ	0.167
ˈuː	ˈœi̯	0.167
ˈoː	ˈɛi̯	0.167
ˈoː	ˈɔu̯	0.167
x	ə	0.167
s	tʲ	0.167
#>	ç_#>	0.167
#>	v̥_#>	0.167
ˈɑː	ˈɔː	0.158
ˈɑː	ˈeː	0.158
ˈɛː	ˈɒː	0.154
ˈɔ	ˈɔː	0.154
ˈɔ	ˈaː	0.154
ˈɪ	ˈʊ	0.143
ˈɪ	-	0.143
ʃ	x	0.143
ˈɑ	ˈɒː	0.138
d̥	-	0.127
ɡ̊	j	0.118
b̥	p	0.115
ˈoː	ˈuː	0.111
ˈɑː	ˈɒː	0.105
ˈɑ	ˈʊ	0.103
ˈɑ	ˈuː	0.103
ˈɛ	ˈɒ	0.1
d̥	dʲ	0.091
f	v_ə	0.088
ɐ	ˈa_ʀ	0.077
r	dʲ	0.074
r	-	0.074
β	ˈuː	0.071
ˈɪ	ˈɔː	0.071
ˈɪ	ˈeː	0.071
ˈɪ	ˈai̯	0.071
ʃ	ŋ	0.071
ʃ	k	0.071
s	z	0.071
s	t	0.071
n	-	0.071
ˈɑ	ˈɔː	0.069
d̥	z̥	0.055
