Polish	Ukrainian	probability
m	m	1.0
s	s	1.0
x	x	1.0
z	z	1.0
ɔ	ɔ	1.0
ʑ	z	1.0
ʥ	d	1.0
ˈi	ˈɪ	1.0
ˈɨ	ˈɪ	1.0
a	ɐ	0.21
f	ʋ	0.191
l	lʲ	0.581
t	t	0.951
w	-	0.171
ɡ	ɦ	0.81
ɨ	ˈɪ_j	0.201
ʨ	tʲ	0.471
ˈu	ˈɔ	0.371
ˈɔ	ˈu	0.121
ˈɛ	ˈɔ	0.1
ɕ	s	0.382
ɛ	i	0.182
ɡ	ɦ_ˈɔ	0.092
ʈ͡ʂ	ʧ	0.892
ʨ	t	0.152
ˈu	ˈu	0.082
ˈu	ˈi	0.462
ˈɔ	ˈi	0.272
d	d	0.973
i	ˈɪ	0.063
j	ʋʲ	0.253
j	-	0.323
j	j	0.423
ɛ	ˈi	0.063
ʂ	-	0.523
ʦ	ʦʲ	0.673
ˈa	ˈɑ	0.113
b	b	0.874
p	b	0.144
w	ɫ	0.754
ɛ	ɛ	0.214
ɛ	ɐ	0.354
ɡ	-	0.084
ɲ	n	0.144
ˈu	ɔ	0.084
ˈɛ	ɔ	0.164
k	ɦ	0.095
v	w	0.15
v	ʋ	0.85
w	ɔ_ɫ	0.075
ʐ	ʒ	0.235
ʐ	rʲ	0.35
ʐ	-	0.415
ˈa	ɐ	0.115
ˈa	ˈi	0.665
ˈɛ	ˈi	0.25
b	bʲ	0.126
k	k	0.866
p	p	0.856
ɲ	nʲ	0.856
i	e_j	0.937
n	n	0.967
r	ɔ_r	0.057
r	r	0.907
ɛ	ˈɔ	0.187
ʂ	ʃ	0.477
ʦ	ʦ	0.327
ʨ	t_e	0.377
ˈa	i	0.107
ˈɛ	ɛ	0.097
ɕ	sʲ	0.618
ʈ͡ʂ	ʧ_ɔ	0.108
ˈɔ	ɔ	0.318
ˈɛ	ɐ	0.108
ˈɛ	ˈɛ	0.28
a	ˈɑ	0.79
f	w	0.809
l	ɫ	0.419
ɨ	e_j	0.799
ˈɔ	ˈɔ	0.289
