Old Frisian	Insular North Frisian	probability
ˈi_ʣ	ˈiː	1.0
ˈe_s	ˈa_s	1.0
ˈe_j	ˈaɪ̯	1.0
ʦ	s	1.0
ɡː	ç	1.0
ə_r	ɐ	1.0
ə_n	ə_n	1.0
ŋ	ŋ	1.0
ð	ɾ	1.0
z	s	1.0
v	f	1.0
tː	t	1.0
r_ˈi̯uː	r	1.0
r_ˈe	r_ˈœ	1.0
r_n	ɐ_n	1.0
r_d	ʁ̥_t	1.0
pː	p	1.0
nː	n	1.0
n_d	nʲ	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi̯aː	l	1.0
l_d	lʲ	1.0
kː	-	1.0
iː	aɪ̯	1.0
i	ɪ	1.0
h_w	v	1.0
h	h	1.0
f	f	1.0
dː	ɾ	1.0
bː	ˈɔː	1.0
b	b	1.0
k	k	0.95
s	s	0.945
n	n	0.945
l	l	0.925
ə	-	0.909
w	v	0.811
t	t	0.808
p	p	0.808
ɣ	ç	0.735
ˈuː	ˈʏ	0.708
ɡ	ɡ	0.62
x	x	0.602
ˈo	ˈɔ	0.593
j	-	0.592
ˈiː	ˈɪ	0.587
ˈi̯aː	ˈiː	0.569
ˈi̯uː	j	0.558
θ	tʰ	0.535
e	-	0.531
ˈi	ˈɪ	0.527
ˈɛː	ˈiː	0.517
ˈaː	ˈɔa̯	0.513
d	ɾ	0.504
ˈɔː	ˈuː	0.483
e	ə	0.469
ˈi̯uː	-	0.442
ˈi̯aː	ˈɛ	0.431
j	j	0.408
ˈo	-	0.407
x	ç	0.398
θ	d	0.395
ˈu	ˈʊ	0.385
ˈe	ˈɛ	0.383
ɡ	-	0.38
ˈa	-	0.373
d	-	0.364
ˈa	ˈa	0.35
r	r	0.348
ˈeː	ˈɔː	0.313
ˈiː	ˈiː	0.293
ˈuː	ˈyː	0.292
ɣ	-	0.265
ˈɛː	-	0.255
r	ɐ	0.253
ˈɛː	ˈɛ	0.228
ˈu	ˈœ	0.227
ˈoː	ˈɔ	0.22
ˈoː	-	0.22
ˈoː	ˈoː	0.209
ˈaː	ˈoː	0.207
ˈoː	ˈʏ	0.206
t	d	0.192
p	pʰ	0.192
ˈe	ˈeː	0.188
ˈi	ˈʊ	0.181
ˈeː	ˈɛ	0.177
ˈaː	ˈʊ	0.176
ˈa	ˈɔː	0.158
ˈeː	-	0.157
ˈu	ˈʏ	0.154
ˈeː	ˈeː	0.147
ˈu	-	0.146
ˈoː	ˈʊ	0.146
ˈi	ˈɛ	0.144
ˈɔː	ˈœ	0.138
ˈɔː	ˈa	0.136
ˈɔː	-	0.136
d	t	0.132
ˈeː	ˈiː	0.124
r	ʁ̥	0.124
ˈiː	ˈʏ	0.12
ˈa	ˈɔa̯	0.119
r	r_ə	0.118
r	-	0.108
ˈɔː	ˈʊ	0.107
ˈaː	ˈɔː	0.105
ˈi	-	0.098
w	ˈuː	0.096
ˈe	ˈa	0.094
w	-	0.094
ˈe	ˈɛː	0.089
ˈe	r	0.089
ˈu	ˈɔ	0.088
ˈeː	ˈøː	0.081
θ	tʲ	0.07
ˈe	ˈaɪ̯	0.068
ə	ə	0.059
s	ʃ	0.055
n	-	0.055
