Saterland Frisian	Saterland Frisian	probability
ˈʊ_r	ˈɔː	1.0
ˈɪ	ˈɪ	1.0
ˈœː	ˈɔʏ̯	1.0
ˈøː	ˈuː	1.0
ˈyː	ˈyː	1.0
ˈu	-	1.0
ˈoːu̯_n	ˈa_n	1.0
ˈoː_l	ˈaː_f	1.0
ˈiː_w	ˈiː	1.0
ˈiː_n	ˈɪ_n	1.0
ˈeːu̯	ˈeː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɡ	ɡ	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z_ə	z	1.0
z	z̥	1.0
v_ə	m	1.0
t_#>	#>	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
p_ə	b_m	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈoː	l_ˈoː	1.0
l_d	l_d	1.0
l	l	1.0
k_s	s	1.0
k	k	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈoː	ˈaɪ̯	1.0
j_ˈi	ˈɛː	1.0
j_ə	n	1.0
i	aɪ̯	1.0
h	h	1.0
f	f	1.0
d_r	d_r	1.0
d_#>	#>	1.0
b	b	1.0
a	-	1.0
<#_ˈoː	<#_ˈaʊ̯	1.0
<#_ˈa	<#	1.0
<#_r	<#_r	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
n	n	0.947
d	d	0.939
v	v	0.933
<#_t	<#_tʰ	0.818
p	b	0.75
t	d	0.722
ˈaː	ˈa	0.714
k_ə	ɡ	0.714
ˈoː	ˈaʊ̯	0.684
ˈʊ	ˈʊ	0.667
ɣ	ɡ	0.647
ˈi	ˈiː	0.643
k_#>	ɡ_#>	0.643
t_ə	d_n	0.625
ˈɛ	-	0.6
ˈa	ˈa	0.6
ˈɛː	ˈʏ	0.556
ˈoːu̯	ˈaʊ̯	0.526
ˈiː_r	ˈoː_ɐ	0.5
ˈiː_r	ˈaː	0.5
x	ç	0.5
ə	n	0.438
ˈuː	ˈuː	0.435
#>	n_#>	0.429
s	z	0.426
r	r	0.424
d_ə	ɐ	0.417
ˈeː	ˈaɪ̯	0.412
ˈɛ	ˈœ	0.4
ˈa	-	0.4
ɪ	ɪ	0.4
ɪ	-	0.4
r	ɐ	0.394
t_ə	d	0.375
j	ɡ	0.375
j	-	0.375
ˈɔː	ˈoː	0.368
k_#>	#>	0.357
ɣ	-	0.353
x	x	0.35
ˈɛɪ̯	ˈɔʏ̯	0.333
ˈɔ	ˈɔ	0.333
ˈɔ	ˈa	0.333
ˈɔ	-	0.333
s	ʃ	0.319
ˈaː	-	0.286
k_ə	ɡ_n	0.286
#>	ç_#>	0.286
#>	f_#>	0.286
t	t	0.278
ˈiː	ˈɪ	0.25
ˈiː	ˈɛɪ̯	0.25
ˈiː	ˈiː	0.25
ˈiː	ˈeː	0.25
p	p	0.25
j	ʒ	0.25
d_ə	d	0.25
ˈeː	-	0.235
ˈɛː	ˈaː	0.222
ˈɛː	ˈa	0.222
ˈɛɪ̯	ˈoː	0.222
ˈɛɪ̯	ˈaɪ̯	0.222
ˈi	-	0.214
ˈɔː	ˈa	0.211
ɪ	i	0.2
s	s	0.191
ə	-	0.188
<#_t	<#	0.182
ˈeː	ˈɔʏ̯	0.176
ˈeː	ˈeː	0.176
ˈʊ	ˈʏ	0.167
ˈʊ	-	0.167
d_ə	n	0.167
d_ə	d_n	0.167
ˈɔː	ˈɔ	0.158
ˈɔː	-	0.158
x	-	0.15
ˈi	ˈeɪ̯	0.143
ˈuː	ˈʊ	0.13
ə	ɐ	0.125
ə	ŋ	0.125
ə	m	0.125
r	-	0.121
ˈɛɪ̯	ˈiː	0.111
ˈɛɪ̯	-	0.111
ˈɔː	ˈɛ	0.105
ˈoːu̯	ˈʊ	0.105
ˈoːu̯	ˈoː	0.105
ˈoːu̯	ˈaʊ̯_ɐ	0.105
ˈoːu̯	-	0.105
ˈoː	ˈøː	0.105
ˈoː	ˈoː	0.105
ˈoː	ˈaɪ̯	0.105
ˈuː	ˈøː	0.087
ˈuː	ˈyː	0.087
ˈuː	ˈoː	0.087
ˈuː	ˈaʊ̯_d	0.087
ˈuː	-	0.087
v	-	0.067
s	kʰ	0.064
r	d	0.061
d	ˈuː_d	0.061
ˈoːu̯	ə	0.053
n	ˈʏ_n	0.053
