Afrikaans	Saterland Frisian	probability
b	b	1.0
j	j	1.0
v	v	1.0
ɦ	h	1.0
ˈyː	ˈuː	1.0
ˈæ	ˈɛ	1.0
ˈæː	ˈiː	1.0
ˈœɪ̯	ˈuː	1.0
ˈɛ	ˈa	1.0
ˈɪø̯	ˈuː	1.0
d̥	d	0.931
f	f	0.931
k	k_ə	0.121
p	p_ə	0.231
s	s_t	0.081
t	t_ə	0.171
w	v	0.741
ˈa	ˈɔ	0.161
ˈi	ˈi	0.241
ˈœ	ˈɛː	0.791
ˈœu̯	ˈoːu̯	0.551
ˈə	j_ˈʊ	0.101
ˈə	ˈɪ	0.751
ˈɪə̯	j_ˈeː	0.051
ˈɪə̯	ˈoː	0.091
χ	ɣ_ə	0.221
ˈa	k_#>	0.082
ˈi	j_ˈoː	0.342
ˈɑː	ˈoː	0.262
m	m	0.753
ŋ	ŋ	0.613
ˈɔ	ˈoːu̯	0.123
ˈʊə̯	ˈoː	0.593
χ	ɣ	0.3
n	n	0.864
s	s	0.84
ˈu	ˈoːu̯	0.434
ˈɔ	ˈuː	0.184
ˈɔ	ˈʊ	0.484
ˈəɪ̯	ˈiː	0.124
χ	x_t	0.164
d	-	0.155
ŋ	n	0.115
ˈa	d_#>	0.055
ˈa	ˈɔː	0.085
ˈa	ˈaː	0.105
ˈɑː	ˈoːu̯	0.135
ˈɔ	ˈɔː	0.05
ˈɪə̯	ˈeː	0.675
ə	ə	0.776
ˈɑː	ˈɛɪ̯	0.126
d	t	0.157
m	m_ə	0.247
n	n_ə	0.097
ə	ə_n	0.057
ɫ	l	0.877
ˈu	ˈɛɪ̯	0.477
ˈɪə̯	ˈiː	0.067
ˈɪə̯	ˈi	0.067
ˈʊə̯	ˈeː	0.247
d	d	0.688
r	r	0.928
ə	-	0.138
ˈa	ə_#>	0.158
ˈɑː	ˈɔː	0.188
ˈəɪ̯	ˈi	0.638
d̥	d_ə	0.069
f	v	0.069
k	k	0.879
p	p	0.769
t	t	0.829
w	ˈeː	0.259
ŋ	ŋ_ə	0.229
ɫ	l_ə	0.109
ˈa	ˈoːu̯	0.199
ˈi	ˈyː	0.089
ˈi	j	0.159
ˈi	ˈɛɪ̯	0.169
ˈu	ˈuː	0.089
ˈœ	ˈʊ	0.209
ˈœu̯	ˈoː_l	0.449
ˈɑː	ˈiː	0.289
ˈɔ	ˈɔ	0.159
ˈə	ˈiː	0.149
ˈəɪ̯	ˈeː	0.239
ˈʊə̯	ˈuː	0.159
χ	x	0.279
