Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	#>	1.0
ʦ	ʦ	1.0
ʊ_ˈ	ˈ	1.0
ʊ_#>	#>	1.0
ʃ	-	1.0
ɪ_ˈ	ɛ	1.0
ɪ_ʦ	ʦ	1.0
ɪ_#>	#>	1.0
ɡ	ɡ	1.0
ɛ̃_t	ɛ_t	1.0
ɛ̃	ɛ	1.0
ɔ̃_ˈ	u_ˈ	1.0
ɔ_#>	o_#>	1.0
ɑ	a	1.0
æ_ˈ	ɛ	1.0
v_ʊ	f	1.0
v	v	1.0
u	u	1.0
t_ʊ_#>	t_#>	1.0
t_ɪ_#>	t_#>	1.0
t_i_#>	ɛ_#>	1.0
s_ʊ_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
r_ʊ_#>	r_#>	1.0
r_ɪ	r̩	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m_ɪ	u_m	1.0
m	m	1.0
l_ʊ_#>	ɫ_#>	1.0
k_ʊ_#>	k_#>	1.0
k	k	1.0
j	j	1.0
i_ˈ	i	1.0
i	i	1.0
d	d	1.0
b_ʊ	b̥	1.0
b	b	1.0
a	a	1.0
<#_ɔ	<#_o	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#	<#_j	1.0
#>	n_#>	1.0
ˈ	ˈ	0.926
ɔ	o	0.833
t	t	0.833
r	r	0.812
ʒ	ʒ	0.778
ɯ	i	0.778
z	z	0.75
x_ʊ	f	0.75
ɔ̃	a	0.714
d_ʊ	d̥	0.714
ʧ	ʧ	0.667
ʊ	-	0.667
ɡ_ʊ	ɡ̊	0.667
ɛ	ɛ	0.667
x	-	0.6
l_ɪ	o	0.6
l	ɫ	0.556
æ	ɛ	0.545
ɪ	a	0.5
x	v	0.4
l_ɪ	ɫ_a	0.4
ʧ	-	0.333
ʊ	o	0.333
ɡ_ʊ	k	0.333
ɛ	ɛ_ˈ	0.333
l	l	0.333
æ	ɛ_ˈ	0.318
ɔ̃	a_ˈ	0.286
d_ʊ	d_o	0.286
ɪ	ɛ	0.25
ɪ	-	0.25
x_ʊ	x	0.25
ʒ	ʒ̊	0.222
ɯ	-	0.222
ɔ	ɔ	0.167
t	-	0.167
æ	-	0.136
z	ʣ	0.125
z	-	0.125
r	r̩	0.125
l	o	0.111
ˈ	-	0.074
r	ɾ	0.062
